"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","393954","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","S. R. Hill","A. Krapovickas","12816","1967","05","03","South America","Brazil","Bahia","Jacobina","-40.5181","-11.1808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393954","NY00393954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1550949","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","S. R. Hill","W. R. Anderson","9091","1973","04","18","South America","Brazil","Minas Gerais",NA,"-44.73","-15.52","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1838415' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550949","NY01550949_01","About 1 km E of Rio Pandeiros, near road to Januária","520","520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","393956","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","S. R. Hill","P. A. Fryxell","4321","1984","01","21","South America","Venezuela","Lara","Palavecino",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393956","NY00393956_01","S of Barquisimeto on road from Agua Viva to Caserio Terepaima","870","870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1550951","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","S. R. Hill","V. Assis","214","1945","12","13","South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1838418' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550951","NY01550951_01","Santa Luzia, Fazenda da Chicaca","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","393952","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","P. A. Fryxell","S. Tsugaru","2129","1987","11","22","South America","Brazil","São Paulo","Tanabi","-49.6397","-20.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393952","NY00393952_01","50km NW from Sao José do Rio Preto; near Cargo do Meio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","393953","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","S. R. Hill","I. Silberbauer-Gottsberger","15-26173","1973","01","26","South America","Brazil","Bahia","Poçoes","-40.3653","-14.5297","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393953","NY00393953_01","Perto de Vitória da Conquista, estrada para Boa Nova, 5 km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1550938","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","S. R. Hill","L. A. Mattos Silva","267","1979","02","16","South America","Brazil","Bahia","Manoel Vitorino","-40.2425","-14.1456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1838295' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550938","NY01550938_01","Rod. M. Vitorino/Caatingal, km 4. Folha SD 24 (14-40c).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00942181","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","S. R. Hill","W. R. Anderson","9091","1973","04","18","South America","Brazil","Minas Gerais",NA,"-44.73","-15.52","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942181","NY00942181_01","About 1 km E of Rio Pandeiros, near road to Januária","520","520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","687397","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","P. A. Fryxell","J. G. Jardim","3227","2001","03","30","South America","Brazil","Bahia","Caculé","-42.1997222","-14.5116667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687397","NY00687397_01","Ca. 4.7 km E da sede municipal, estrada que leva àtoree de televisão.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","393955","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","G. L. Esteves","D. J. N. Hind","H50447","1992","12","27","South America","Brazil","Bahia","Abaíra","-41.8","-13.3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393955","NY00393955_01","Brejo do Engenho","950","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1550937","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","S. R. Hill","W. R. Anderson","37127","1972","03","17","South America","Brazil","Bahia","Cocos","-44.53","-14.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1838293' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550937","NY01550937_01","Ca. 5 km W of Cocos, near limestone boulders","530","530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1550948","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","S. R. Hill","W. R. Anderson","9135","1973","04","19","South America","Brazil","Minas Gerais",NA,"-44.45237","-15.56637","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1838414' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550948","NY01550948_01","13 km by road W of Januária on road to Serra das Araras, ca. 2 km E of large limestone hill","575","575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
