"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","class","typeStatus","eventTime","minimumElevationInMeters","individualCount","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","1144573","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","almasensis","Senecio almasensis","Mattf.","J. R. Pirani","CFCR1655","1981","07","21","South America","Brazil","Bahia","Mucugê","Margem da Estrada Andaraí-Mucugê. Estrada nova, a 13 km de Mucugê, proximo a uma grande pedreira na margem esquerda.","-41.3706","-13.0056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1293467' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:35:04-03","EAO","IAN","24564","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Senecio","almasensis","Senecio almasensis","Mattf.","Luetzelberg, P von","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN024564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2014-10-14 15:56:24-03","BS","M","M-0030320","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","almasensis","Senecio almasensis","Mattf.","Luetzelburg, P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Rio de Contras, Staat Bahia: Almas. 1500 m.",NA,NA,NA,NA,"M0030320","Magnoliopsida","SYNTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2014-10-14 15:56:24-03","BS","M","M-0030321","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","almasensis","Senecio almasensis","Mattf.","Luetzelburg, P. von",NA,"1913","07","31",NA,"Brasil",NA,NA,"Brasilia: Bahia. Serra das Almas.",NA,NA,NA,NA,"M0030321","Magnoliopsida","TYPE","21:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","3255444","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Senecio","almasensis","Senecio almasensis","Mattf.","R. M. Harley, B. L. Stannard & D. J. N. Hind","26577","1988","12","3","South America - Neotropics","Brazil","Bahia",NA,"Rio de Contas, Pico das Almas, vertente leste, Vale ao sudeste do Campo do Queiroz","-41.95","-13.53",NA,NA,"US01838726","Dicotyledonae",NA,NA,"1500","1","US01838726_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","3255443","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Senecio","almasensis","Senecio almasensis","Mattf.","R. M. Harley, B. L. Stannard & D. J. N. Hind","26577","1988","12","3","South America - Neotropics","Brazil","Bahia",NA,"Rio de Contas, Pico das Almas, vertente leste, Vale ao sudeste do Campo do Queiroz","-41.95","-13.53",NA,NA,"US01838724","Dicotyledonae",NA,NA,"1500","1","US01838724_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3255445","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Senecio","almasensis","Senecio almasensis","Mattf.","R. M. Harley, B. L. Stannard & D. J. N. Hind","26577","1988","12","3","South America - Neotropics","Brazil","Bahia",NA,"Rio de Contas, Pico das Almas, vertente leste, Vale ao sudeste do Campo do Queiroz","-41.95","-13.53",NA,NA,"US01838723","Dicotyledonae",NA,NA,"1500","1","US01838723_01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","3255442","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Senecio","almasensis","Senecio almasensis","Mattf.","R. M. Harley, B. L. Stannard & D. J. N. Hind","26577","1988","12","3","South America - Neotropics","Brazil","Bahia",NA,"Rio de Contas, Pico das Almas, vertente leste, Vale ao sudeste do Campo do Queiroz","-41.95","-13.53",NA,NA,"US01838727","Dicotyledonae",NA,NA,"1500","1","US01838727_01",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3255441","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Senecio","almasensis","Senecio almasensis","Mattf.","R. M. Harley, B. L. Stannard & D. J. N. Hind","26577","1988","12","3","South America - Neotropics","Brazil","Bahia",NA,"Rio de Contas, Pico das Almas, vertente leste, Vale ao sudeste do Campo do Queiroz","-41.95","-13.53",NA,NA,"US01838725","Dicotyledonae",NA,NA,"1500","1","US01838725_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-07 09:11:58-03","UEFS","HUEFS","112521","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Senecio","almasensis","Senecio almasensis","Mattf.","Conceição, A.A.","1826","2006","09","15",NA,"Brasil","Bahia","Mucugê","Morro do Beco. Chapada Diamantina.","-41.5","-12.75",NA,"Transição cerrado para campo rupestre.","HUEFS0112521","Asteranae",NA,NA,NA,NA,"HUEFS0112521 HUEFS0112521_01 HUEFS0112521_02 HUEFS0112521_03","A.M.Teles","2013","09","41W30'","12S45'",NA,NA,NA
"11","2019-09-04 19:34:47-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Senecio","almasensis","Senecio almasensis",NA,"P. von Luetzelburg",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-07-23 11:59:29-03","CEPLAC","CEPEC","48877","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","almasensis","Senecio almasensis",NA,"R. M. Harley","26577","2004","04","04",NA,"Brasil","Bahia","RIO DE CONTAS","Pico das Almas. Vertente leste. Vale ao SW do Campo do Qureiroz.","-41.95","-13.533333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D. J. N. Hind",NA,NA,"41W57'","13S32'","30/05/1989",NA,NA
"13","2020-07-23 11:59:29-03","CEPLAC","CEPEC","45094","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","almasensis","Senecio almasensis",NA,"L. A. Mattos-Silva","2820","1989","05","20",NA,"Brasil","Bahia","ANDARAÍ","Km 30 Rod. Andaraí/Mucuge, próximo ao Parque Nacional da Chapada Diamantina.","-41.3314018249512","-12.8072004318237",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D. J. N. Hind",NA,NA,NA,NA,"28/01/1991","58558","auto"
"14","2019-10-03 10:03:25-03","UFSCar","SORO","1473","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","almasensis","Senecio almasensis","Mattf.",NA,"396","1995","09","18",NA,"Brasil","Bahia","Rio de Contas","Quintal de Rita","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49773","auto"
