"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","typeStatus","dayIdentified","class","previousCatalogNumber","fieldNumber","infraspecificEpithet","relatedCatalogItem"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2585","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","melissarum","Solanum melissarum","Bohs.","Bohs, L.","2011","05","Agra, M.F.; Bohs, L.; Giacomin, L. L.;Guidicelli, G. C.; Jorge, T. B.","AGRA7381","2011","05","04","Brasil","São Paulo","São José do Barreiro","Parque Nacional Serra da Bocaina. Main road through park from entrance at alojamento past Fazenda Das Posses. Turnoff on trail to Fazenda do Simeon.","-44.5699996948242","-22.6399993896484","44º36'15,82","22º47'04,76","30784","1198","1198","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2584","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","melissarum","Solanum melissarum","Bohs.","Bohs, L.","2011","05","Agra, M.F.; Bohs, L.; Giacomin, L. L.;Guidicelli, G. C.; Jorge, T. B.","AGRA7381","2011","05","04","Brasil","São Paulo","São José do Barreiro","Parque Nacional Serra da Bocaina. Main road through park from entrance at alojamento past Fazenda Das Posses. Turnoff on trail to Fazenda do Simeon.","-44.5699996948242","-22.6399993896484","44º36'15,82","22º47'04,76","30784","1198","1198","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","669222","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","melissarum","Solanum melissarum","(Mart.) Bohs",NA,NA,NA,"L. Riedel","409",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647409' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00669222","NY00669222_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","684565","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","melissarum","Solanum melissarum","(Mart.) Bohs","L. A. Bohs",NA,NA,"J. G. Jardim","3890","2001","09","12","Brazil","Bahia","Jussari","Entrada 7.5 km da Rod. Jussari/Palmira. Faz. Teimoso 1.7 km da entrada, Reserva Particular do Patrimonio Natural (RPPN) Serra do Teimoso.","-39.5311111","-15.1544444",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832150' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00684565","NY00684565_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","669212","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","melissarum","Solanum melissarum","(Mart.) Bohs",NA,NA,NA,"D. A. Folli","557","1985","11","21","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. Louro Ant. 351, km 0,829, lado direito.","-40.0719","-19.3911",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647411' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00669212","NY00669212_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2447085","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","melissarum","Solanum melissarum","(Mart.) Bohs","L. A. Bohs",NA,NA,"R. A. X. Borges","574","2007","01","21","Brazil","Bahia","Arataca","Serra das Lontras, ca. 7 km no ramal que liga o distrito de Itatinguí à Serra, ramal de acesso à Fazenda Véu de Noiva, de propiedade de José Marques.","-39.4081","-15.2028",NA,NA,NA,"1000","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2343412' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY02447085","NY02447085_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669220","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","melissarum","Solanum melissarum","(Mart.) Bohs",NA,NA,NA,"P. K. H. Dusén","17509","1916","01","21","Brazil","Paraná","Três Barras do Paraná",NA,"-53.1806","-25.4192",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647418' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00669220","NY00669220_01",NA,NA,NA,NA,NA,NA,NA
"8","2017-02-01 14:51:00-02","NY","NYBG","721593","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","melissarum","Solanum melissarum",NA,NA,NA,NA,"L. C. Stutz de Ortega","2193","1985","01","21","Paraguay",NA,NA,"C.F.A.P., Pto Stroessner, km 12.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858741' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00721593",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","669217","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","melissarum","Solanum melissarum","(Mart.) Bohs",NA,NA,NA,"P. K. H. Dusén","15949","1914","11","26","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647415' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00669217","NY00669217_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00809650","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","melissarum","Solanum melissarum","(Mart.) Bohs",NA,NA,NA,"Y. E. J. Mexia","5310","1930","11","17","Brazil","Minas Gerais","Viçosa","Viçosa. Road to Cajurý; Fazenda F. Lopez","-42.8817","-20.7542",NA,NA,NA,"700","700",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828726' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00809650","NY00809650_01",NA,NA,NA,NA,NA,NA,NA
