"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1013532","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","warmingii","Oxypetalum warmingii","(E.Fourn.) Fontella & Marquette","D. L. Spellman","H. S. Irwin","22535","1969","01","24","South America","Brazil","Minas Gerais","Datas","Serra do Espinhaço, vicinity of Datas","-43.6556","-18.44535","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096440' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013532","NY01013532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1013531","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","warmingii","Oxypetalum warmingii","(E.Fourn.) Fontella & Marquette","A. Rapini","H. S. Irwin","28332","1970","03","25","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 2 km N. of São João da Chapada","-43.7833","-18.0833","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096435' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013531","NY01013531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1013527","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","warmingii","Oxypetalum warmingii","(E.Fourn.) Fontella & Marquette","A. Rapini","W. R. Anderson","8695","1973","04","12","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, 25 km by road NE of Diamantina, ca. 1.5 km from Rio Jequití","-43.4328","-18.0903","790","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096425' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013527","NY01013527_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1013524","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","warmingii","Oxypetalum warmingii","(E.Fourn.) Fontella & Marquette","R. Callejas Posada","W. R. Anderson","9253","1973","04","20","South America","Brazil","Minas Gerais",NA,"15 km by road W of Januária on road to Serra das Araras","-44.46555","-15.57915","575","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096412' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013524","NY01013524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1013522","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","warmingii","Oxypetalum warmingii","(E.Fourn.) Fontella & Marquette","M. C. Garcia Kirkbride","D. R. Gifford","912","1980","05","14","South America","Brazil","Distrito Federal","Brasília",NA,"-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096395' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013522","NY01013522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1013533","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","warmingii","Oxypetalum warmingii","(E.Fourn.) Fontella & Marquette","D. L. Spellman","H. S. Irwin","22746","1969","01","28","South America","Brazil","Minas Gerais",NA,"Ca. 12 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.18","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096442' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013533","NY01013533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1013528","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","warmingii","Oxypetalum warmingii","(E.Fourn.) Fontella & Marquette","A. Rapini","H. S. Irwin","21853","1969","01","13","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 30 km S.W. of Diamantina on road to Gouveia","-43.7215","-18.4293","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096427' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013528","NY01013528_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1013523","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","warmingii","Oxypetalum warmingii","(E.Fourn.) Fontella & Marquette","A. Rapini","W. W. Thomas","5935","1988","02","13","South America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabrál, hills above Joaquim Felício, along or near road to TV tower.","-44.2","-17.75",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096401' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013523","NY01013523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1013529","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","warmingii","Oxypetalum warmingii","(E.Fourn.) Fontella & Marquette","A. Rapini","H. S. Irwin","26339","1970","02","08","South America","Brazil","Minas Gerais","Paracatú","Serra da Tiririca, ca. 35 km N.W. of Paracatú","-47.1541","-17.05385","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096430' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013529","NY01013529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1013525","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","warmingii","Oxypetalum warmingii","(E.Fourn.) Fontella & Marquette","A. Rapini","W. R. Anderson","8573","1973","04","10","South America","Brazil","Minas Gerais",NA,"6 km by road N of Gouvêia on road to Diamantina. Serra do Espinhaço.","-43.7117","-18.4","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096417' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013525","NY01013525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
