"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","phylum","order","scientificNameAuthorship","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","typeStatus","eventTime","individualCount","relatedCatalogItem"
"1","2020-09-23 10:44:20-03","E","E","81807","PreservedSpecimen","Plantae","Verbenaceae","Lippia","alnifolia","Lippia alnifolia","Harley, R.","26989","1988","11","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:90552","<a href=http://data.rbge.org.uk/herb/E00081807 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00081807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:20-03","E","E","165314","PreservedSpecimen","Plantae","Verbenaceae","Lippia","alnifolia","Lippia alnifolia","Ganev, W.","2932","1994","02","03","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:203335","<a href=http://data.rbge.org.uk/herb/E00165314 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165314","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:44:20-03","E","E","165336","PreservedSpecimen","Plantae","Verbenaceae","Lippia","alnifolia","Lippia alnifolia","Ganev, W.","1929","1993","07","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:203539","<a href=http://data.rbge.org.uk/herb/E00165336 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165336","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:44:20-03","E","E","165332","PreservedSpecimen","Plantae","Verbenaceae","Lippia","alnifolia","Lippia alnifolia","Ganev, W.","184","1992","04","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:203509","<a href=http://data.rbge.org.uk/herb/E00165332 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00165332","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:44:20-03","E","E","304888","PreservedSpecimen","Plantae","Verbenaceae","Lippia","alnifolia","Lippia alnifolia","Stannard, B.; Harley, R.M.; Queiroz, R.F.",NA,"1992","02","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:315236","<a href=http://data.rbge.org.uk/herb/E00304888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00304888","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","686928","PreservedSpecimen","Plantae","Verbenaceae","Lippia","alnifolia","Lippia alnifolia","W. Ganev","1311","1992","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=846260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686928","Bahia","Magnoliophyta","Lamiales","Schauer","S. Atkins","Abaíra","Serra das Brenhas.","-41.87","-13.32","1860","1860","NY00686928_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","571543","PreservedSpecimen","Plantae","Verbenaceae","Lippia","alnifolia","Lippia alnifolia","R. M. Harley","26135","1988","11","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571543","Bahia","Magnoliophyta","Lamiales","Schauer",NA,"Rio de Contas","Pico das Almas. Vertente leste. Trilho Faz.Silvina - Queiroz","-41.93","-13.53","1400","1400","NY00571543_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","571549","PreservedSpecimen","Plantae","Verbenaceae","Lippia","alnifolia","Lippia alnifolia","R. M. Harley","26424","1988","11","12","South America","Brazil","sheet",NA,"Material em álcool <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571549","Bahia","Magnoliophyta","Lamiales","Schauer",NA,"Rio de Contas","Pico das Almas. Vertente leste. Subida do pico do Campo do Queiroz","-41.97","-13.53","1600","1750","NY00571549_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","686922","PreservedSpecimen","Plantae","Verbenaceae","Lippia","alnifolia","Lippia alnifolia","W. Ganev","3536","1994","07","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=846247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686922","Bahia","Magnoliophyta","Lamiales","Schauer","S. Atkins","Abaíra","Caminho Jambeiro-Belo Horizonte.","-41.85","-13.3","1100","1150","NY00686922_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","686927","PreservedSpecimen","Plantae","Verbenaceae","Lippia","alnifolia","Lippia alnifolia","W. Ganev","2241","1993","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=846254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686927","Bahia","Magnoliophyta","Lamiales","Schauer","S. Atkins","Abaíra","Guarda Mor, próximo a Serrinha.","-41.85","-13.32","1270","1270","NY00686927_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","571546","PreservedSpecimen","Plantae","Verbenaceae","Lippia","alnifolia","Lippia alnifolia","R. M. Harley","25765","1988","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=525056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571546","Bahia","Magnoliophyta","Lamiales","Schauer",NA,"Rio de Contas","Pico das Almas: vertente leste. Trilho Faz.Silvina - Queiroz","-41.93","-13.53","1350","1450","NY00571546_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
