"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","infraspecificEpithet","relationshipType","relatedCatalogItem","individualCount","typeStatus","fieldNumber","previousCatalogNumber","sex"
"1","2021-04-05 14:34:11-03","UNESC","CRI","5414","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora","(Pohl) D.Don","Vanilde Citadini-Zanette","Maria Rebelo","1996","09","17","Brasil","Santa Catarina","Jaguaruna","-49.025","-28.618611","49º1'30''W","28º37'7''S","CRI007550","CRI007550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","5006","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora","(Pohl) D.Don","Jaqueline P. Vitoretti","Jaqueline P. Vitoretti","1996","10","20","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI007545","CRI007545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:07-03","UNESC","CRI","10912","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora","(Pohl) D.Don","Humberto de Bona Martins","Humberto de Bona Martins","2014","10","01","Brasil","Santa Catarina","Urussanga","-49.3175","-28.522778","49º19'3''W","28º31'22''S","CRI013702","CRI013702","2014","10","01","Rio Maior.","Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:08-03","UNESC","CRI","600","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora","(Pohl) D.Don","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","10","24","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI007552","CRI007552",NA,NA,NA,"Rio Novo.",NA,"950","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:11-03","UNESC","CRI","11920","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora","(Pohl) D.Don","Vanilde C. Zanette","Melânia de Mattia Pierini","2011","06","07","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI008765","CRI008765","2016","07","14","Vila Macarini.",NA,NA,"58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:11-03","UNESC","CRI","8879","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora","(Pohl) D.Don","Vanilde C. Zanette","Alencar Luzzietti Semier","2010","11","25","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI007549","CRI007549","2010","12","10","Horto florestal UNESC.",NA,NA,"58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:11-03","UNESC","CRI","11395","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora","(Pohl) D.Don","M. Sobral","J.L. Schmitt; C. Cristofolini & E. Caglioni","2009","10","27","Brasil","Santa Catarina","Presidente Nereu","-49.231389","-27.181389","49º13'53''W","27º10'53''S","CRI007551","CRI007551","2010","01","25","Braço do Salão - Fazenda Sabiá.","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","340","533","533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:26:08-03","UNESC","CRI","15215","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora","(Pohl) D.Don","Aline Votri Guislon & Felipe Seron","Aline V. Guislon; Altamir R. Antunes; Suelane C. Fenali & Josué Nicolau","2018","10","30","Brasil","Santa Catarina","Criciúma","-49.391667","-28.740556","49º23'30''W","28º44'26''S","CRI014630","CRI014630","2018","10","30","APA Morro Albino e Esteves Área L8 Bairro Sangão","Flor roxa. Habito: Arbustivo",NA,"29","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:08-03","UNESC","CRI","13259","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora","(Pohl) D.Don","Farias, D.M.","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","2017","09","29","Brasil","Santa Catarina","Rio Fortuna","-49.136944","-28.080556","49º8'13''W","28º4'50''S","CRI011867",NA,"2017","10","20",NA,"flor roxa Habitat: interior do fragmento Habito: arbusto","1091","276","276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:11-03","UNESC","CRI","6557","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora","(Pohl) D.Don","Dolores Bosa","Dolores Bosa; Magali Romagna","1999","10","17","Brasil","Santa Catarina","Morro Grande","-49.721111","-28.801111","49º43'16''W","28º48'4''S","CRI007547","CRI007547","1999","10","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
