"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","fieldNumber","individualCount","infraspecificEpithet","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00487217","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D.Dietr.","J. A. Mears","Y. E. J. Mexia","5692","1931","04","22","South America","Brazil","Minas Gerais","Corinto","Corinto. Fazenda do Diamante; Corriga do Angico","-44.4564","-18.3808","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00838052","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D.Dietr.","J. A. Mears","J. E. B. Warming","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia. Ad Lagoa Santa",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 08:22:00-03","NY","NYBG","487218","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula",NA,"J. A. Mears","E. L. Ekman","124","1907","11","22","South America","Argentina","Misiones",NA,"Posadas. La Granja",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","487219","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D.Dietr.","L. Y. T. Westra","J. C. Lindeman","1775","1966","06","26","South America","Brazil","Paraná","Altônia","Pôrto Byington","-53.9017","-23.8744",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487219","NY00487219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","487216","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D.Dietr.","K. M. Becker","H. S. Irwin","8891","1965","10","03","South America","Brazil","Distrito Federal","Brasília","Vicinity of Planaltina","-47.9296989440918","-15.7797002792358","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487216","NY00487216_01","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:33:11-03","EAO","IAN","105345","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D.Dietr.","Barreto, M","Magalhães, MG","260","1940","06","06","Southern America","Brasil","Minas Gerais","Indianápolis","Ruderal.",NA,NA,NA,NA,NA,"Erva 0,80-1m de altura, flor alva.","IAN105345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:54:07-03","NBC","NL-BOTANY","U.1052863","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D.Dietr.",NA,"Lindeman JC; Haas JH de",NA,"1966","06","26","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis. Est. Paraná. Pôrto Byington; edge of forest on high bank of Rio Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1052863 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1052863","NL-U1052863",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:54:07-03","NBC","NL-BOTANY","U.1054583","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D.Dietr.","Pedersen TM","Vanni RO; Kurtz D; Titievsky A",NA,"1997","08","15","Southern America","Argentina","Misiones",NA,"Argentina, Prov. Misiones, Dep. Iguazú. Pto. Esperanza. Antiguo Puerto. Costa rio Paraná,lugares alterados.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1054583 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1054583","NL-U1054583",NA,NA,"Magnoliopsidae","U 0119816",NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:02:17-03","UNICAMP","UEC","38453","S","Plantae","Magnoliopsida",NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D.Dietr.","Senna, LR","Trigo, JR","16153","1984","07","23",NA,"Brazil","São Paulo","Mogi Guaçu","Mata da Pedra - Estação experimental Cam","-46.9421997070312","-22.372200012207",NA,NA,NA,"flor, Herbácea mais ou menos 50 cm. Flores brancas.","UEC119259",NA,"39309","auto",NA,NA,"2015","07",NA,NA,NA,NA
"10","2019-08-20 10:02:17-03","UNICAMP","UEC","68084","S","Plantae","Magnoliopsida",NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D.Dietr.","Senna, LR","Tamashiro, JY; Belinello, R; Stranghetti, V; Galvão, JC; Ivanauskas, NM; Vieira, AOS","242","1994","06","28",NA,"Brazil","São Paulo","Paulo de Faria","Estação ecológica.","-49.3800010681152","-20.0300006866455",NA,NA,NA,"flor, Caule volúvel. Inflorescência branca. Mata.","UEC119241",NA,"29574","auto",NA,NA,"2015","07",NA,NA,NA,NA
