"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","continentOcean","locality","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","imagecode","fieldNumber","preparationType","typeStatus"
"1","2020-11-04 12:17:40-03","ESALQ","ESA","61684","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Agalinis","nana","Agalinis nana","Elias, S.I. ; Rolim, G.S.","325.0","1999","03","28","Brasil","Minas Gerais","São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","ESA061684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:41:12-03","UFJF","CESJ","41484","PreservedSpecimen","Plantae","Angiosperma","Orobanchaceae","Agalinis","nana","Agalinis nana","H.C. de Sousa","s.n.","2002","08","23","Brasil","Minas Gerais","São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","CESJ041484","auto","S. I. Elias & V.C.Souza","V.C. Souza","2002","08","23","América do Sul","P.N.Serra da Canastra","Campos altimontanos (campo limpo). Erva, 15 a 20 cm alt. Flores róseas. Frequente na área do esconderijo da samambaia.",NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:37:26-03","UNICAMP","UEC","14607","S","Plantae","Magnoliopsida","Orobanchaceae","Agalinis","nana","Agalinis nana","Shepherd, GJ; Semir, J; Andrade, JB; Salgado, PR","7158","1978","02","21","Brazil","Minas Gerais",NA,NA,NA,NA,"UEC002092",NA,"S.I.Elias & V.C.Souza","Elias, SI","1999","06","16",NA,"Parque nacional da Serra da Canastra., entre Piumhi e Araxá, ca. 80km de Piuhmi.","Subarbusto de 40cm., flores lilases.; Campo com lugares brejosos.","1400","1400","UEC002092",NA,NA,NA
"4","2019-08-20 10:22:20-03","UNICAMP","UEC","65571","S","Plantae","Magnoliopsida","Orobanchaceae","Agalinis","nana","Agalinis nana","Stehmann, JR; Oliveira, AO; Falkenberg, DB","1338","1994","01","21","Brazil","Rio Grande do Sul","Caçapava do Sul","-53.4914016723633","-30.5121994018555","50525","UEC002168","auto","S.I.Elias & V.C.Souza","Scatigna, AV","2014","04",NA,NA,"Rodovia Caçapava do Sul - Bagé, BR-153,","flor, Erva ereta, flores rosadas.",NA,NA,"UEC002168",NA,NA,NA
"5","2020-12-21 16:44:58-03","MBM","MBM","175903","PreservedSpecimen","Plantae",NA,"Scrophulariaceae","Agalinis","nana","Agalinis nana","Souza, H.C. de","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,"MBM175903",NA,"S.I. Elias & V.C. Souza","Elias, S.I.",NA,NA,NA,"Southern America","Serra da Canastra",NA,NA,NA,"MBM175903",NA,NA,NA
"6","2015-09-04 08:50:58-03","MNHN","RECOLNAT_MNHN_P","P03005774","PreservedSpecimen",NA,NA,"Orobanchaceae","Agalinis","nana","Agalinis nana","Saint-Hilaire, A.",NA,"1816","1","1","Brasil","Rio de Janeiro",NA,NA,NA,NA,"P03005774",NA,"S.I.Elias & V.C.Souza",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03005774' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P03005774_01","C1 377","hb",NA
"7","2020-12-11 11:39:52-03","UFMG","BHCB","17976","PreservedSpecimen","Plantae","Dicotyledon","Orobanchaceae","Agalinis","nana","Agalinis nana","Sousa, HC de","s.n.","1990","03","15","Brasil","Minas Gerais","São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","BHCB000383","auto","S.I.Elias & V.C.Souza",NA,"1991","04",NA,"Southern America","Parque Nacional da Serra da Canastra","Erva de 15 a 20 cm de altura. Flores róseas. Planta frequente na área do esconderijo da samambaia.; Campos altimoantanos (campo limpo)",NA,NA,"BHCB000383",NA,NA,"Paratypus"
"8","2020-12-11 11:39:52-03","UFMG","BHCB","17942","PreservedSpecimen","Plantae","Dicotyledon","Orobanchaceae","Agalinis","nana","Agalinis nana","Sousa, HC","s.n.","1990","03","20","Brasil","Minas Gerais","São Roque de Minas","-46.3657989501953","-20.2453002929688","57119",NA,"auto","S.I.Elias & V.C.Souza",NA,NA,NA,NA,"Southern America","Serra da Canastra.",NA,NA,NA,NA,NA,NA,NA
"9","2019-05-06 12:01:23-03","UFU","HUFU","8228","S","Plantae",NA,"Orobanchaceae","Agalinis","nana","Agalinis nana","Romero, R.; Nakajima, J.N.; Zanini, E. & Cesar, R.","1958","1995","03","17","Brasil","Minas Gerais","São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","HUFU00070272","auto","S.I.Elias & V.C.Souza","Souza, V.C.","1995","11",NA,NA,"Parque Nacional da Serra da Canastra, Estrada para Sacramento, 3km da sede administrativa.","Subarbusto, ca. de 0,30 m. Cálice esverdeado, corola rósea, internamente creme, estames brancos.; Campo limpo.",NA,NA,NA,NA,NA,"Paratype"
"10","2019-05-06 12:01:23-03","UFU","HUFU","14026","S","Plantae",NA,"Orobanchaceae","Agalinis","nana","Agalinis nana","Nakajima, J.N.; Romero, R.; Furlan, A. & Farinaccio, M.A.","2270","1997","02","22","Brasil","Minas Gerais","São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","HUFU00035367","auto","S.I.Elias & V.C.Souza","Andrade, T.","2005","03","10",NA,"Parque Nacional da Serra da Canastra, Estrada São Roque de Minas - Sacramento, 55km.","Herbáceo, ca. 0,2 m. Cálice vinho, corola lilás, internamente guia-de-néctar com manchas brancas.; Campo limpo com afloramento rochoso. Solo hidromórfico.",NA,NA,"HUFU00035367",NA,NA,NA
