"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","typeStatus"
"1","2019-10-09 11:21:41-03","UFBA","ALCB","131403","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Neomitranthes","pereireana","Neomitranthes pereireana","(Mattos & D.Legrand) M.Souza & Sobral","Souza, MC","2017","09","Toscano de Brito, ALV","6","1978","07","14","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca. horto Florestal.","-43.2075004577637","-22.9027996063232","57442","ca 3,5m de altura, casca rugosa, umbrófila, flores alvas perfumadas, folha verde discolor.; Mata.","ALCB048164","ALCB048164","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 10:03:37-03","FURB","FURB","42561","PreservedSpecimen","Plantae",NA,"Myrtaceae","Neomitranthes","pereireana","Neomitranthes pereireana","(Mattos & D.Legrand) M.Souza & Sobral","Sobral, M","2015","07","Uhlmann, A.","521","2012","08","22",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0008333","-19.1388889",NA,"Habitat: Floresta Ombrófila Densa; Estágio Primário; sub bosque Habito: arvoreta; flor creme","FURB33863","FURB33863",NA,"10","-40.0008333","-19.1388889","35","35",NA,NA,NA
"3","2020-06-29 09:31:39-03","UFRRJ","RBR","44126","S","Plantae",NA,"Myrtaceae","Neomitranthes","pereireana","Neomitranthes pereireana","(Mattos & D.Legrand) M.Souza & Sobral","M.C. Souza","2018","04","R.A. Coelho; M.C. Souza, J. Costa","7","2018","03","27",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Campus Fiocruz Mata Atlântica. Próximo ao rio roncador. Parque Estadual da Pedra Branca","-43.418333","-22.947222",NA,NA,"RBR00044126",NA,NA,"05","43º25'6''W","22º56'50''S",NA,NA,NA,NA,NA
"4","2020-06-29 09:31:39-03","UFRRJ","RBR","44439","S","Plantae",NA,"Myrtaceae","Neomitranthes","pereireana","Neomitranthes pereireana","(Mattos & D.Legrand) M.Souza & Sobral","M.C. Souza","2015","07","D.A. Folli","6746","2010","11","18",NA,"Brasil","Espírito Santo","Domingos Martins","Domingos Martins - DOMINGOS MARTINS - ES - BRASIL","-40.615","-20.412222",NA,NA,"RBR00044439","RBR00044439",NA,"02","40º36'54''W","20º24'44''S","398","398",NA,NA,NA
"5","2020-06-29 09:31:39-03","UFRRJ","RBR","44907","S","Plantae",NA,"Myrtaceae","Neomitranthes","pereireana","Neomitranthes pereireana","(Mattos & D.Legrand) M.Souza & Sobral",NA,NA,NA,"A.T.L. Brandão; M.C. Souza","341","2016","09","23",NA,"Brasil","Espírito Santo","Domingos Martins","Estação Verde e Água.","-40.615","-20.412222",NA,NA,"RBR00044907","RBR00044907",NA,NA,"40º36'54''W","20º24'44''S","517","517",NA,NA,NA
"6","2020-06-29 09:31:39-03","UFRRJ","RBR","44971","S","Plantae",NA,"Myrtaceae","Neomitranthes","pereireana","Neomitranthes pereireana","(Mattos & D.Legrand) M.Souza & Sobral","R.A. Coelho","2018","08","R.A. Coelho","28","2018","08","27",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parte alta do vale do Rio Roncador, na Estação Biológica Fiocruz Mata Atlântica.","-43.419167","-22.946389",NA,NA,"RBR00044971",NA,NA,"27","43º25'9''W","22º56'47''S","116","116",NA,NA,NA
"7","2020-06-29 09:31:39-03","UFRRJ","RBR","45256","S","Plantae",NA,"Myrtaceae","Neomitranthes","pereireana","Neomitranthes pereireana","(Mattos & D.Legrand) M.Souza & Sobral",NA,NA,NA,"M.C. Souza; A. Carvalho","1082","2012","06","27",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca. Trilha para o Bico do Papagaio.","-43.2075004577637","-22.9027996063232","57442",NA,"RBR00045256","RBR00045256","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-01-25 16:41:00-02","MO","MOBOT","2482016","PreservedSpecimen","Plantae",NA,"Myrtaceae","Calyptranthes","pereireana","Calyptranthes pereireana","Mattos & D. Legrand",NA,NA,NA,"E. Pereira","Pereira 7642","1963","7","21","South America","Brazil","Rio de Janeiro",NA,"Matas de Horto Florestal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:48:00-03","MBML","MBML-HERBARIO","14885",NA,"Plantae",NA,"Myrtaceae","Neomitranthes","pereireana","Neomitranthes pereireana","(Mattos & D. Legrand.) Sobral & M. C. Souza","Marcelo C. Souza/2012",NA,NA,"L. Kollmann; et al","4300","2001","08","09",NA,"Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,"Arvoreto 6m na sombra. Botões brancos.","MBML014885","MBML014885",NA,NA,"40W30'25","19S56'10",NA,NA,NA,NA,NA
"10","2020-07-10 09:48:00-03","MBML","MBML-HERBARIO","30620",NA,"Plantae",NA,"Myrtaceae","Neomitranthes","pereireana","Neomitranthes pereireana","(Mattos & D. Legrand.) Sobral & M. C. Souza","Marcelo C. Souza/2012",NA,NA,"R.R. Vervloet; V. Demuner, E. Bausen, T. A. Cruz","2871","2007","07","17",NA,"Brasil","Espírito Santo","Santa Leopoldina","Fazenda Caioaba.","-40.470556","-20.059167",NA,"Arbusto 1,5m, botões de cor branca.","MBML030620","MBML030620",NA,NA,"40W28'14","20S3'33","150","150",NA,NA,NA
