"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","phylum","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","class","order","individualCount"
"1","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","9080","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","Pabst, G.","1973","04","06","Amaral Jr., A.","1493","1973","03","18","Brasil","São Paulo","Botucatu","Bairro Faxinal, + - 20 km de Botucatu pela estrada do Monte Alegre","9999","9999","BOTU009080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:26:38-03","PUCPR","HUCP","20379","S","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.",NA,NA,NA,NA,"Kersten, RA","760",NA,NA,NA,"Brasil","Paraná","Piraquara","Haras Santo Antônio",NA,NA,"HUCP00003921","Monocotiledonea","-49.0633010864258","-25.4416999816895","12577","HUCP00003921","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:38-03","PUCPR","HUCP","20894","S","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","Kersten, RA",NA,NA,NA,"Michelon, C","588","2009","10","28","Brasil","Paraná","Araucária","Parque Estadual José Wachwicz",NA,NA,"HUCP00003903","Monocotiledonea","-49.4103012084961","-25.5930995941162","21346","HUCP00003903","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:38-03","PUCPR","HUCP","22769","S","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","Kersten, RA",NA,NA,NA,"Kersten, RA","1558","2011","03","15","Brasil","Paraná","Piraquara",NA,NA,NA,"HUCP00003935","Monocotiledonea","-49.0633010864258","-25.4416999816895","12577","HUCP00003935","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:38-03","PUCPR","HUCP","21288","S","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","Michelon, C",NA,NA,NA,"Michelon, C","696","2010","03","28","Brasil","Paraná","Tibagi","Parque Estadual do Guartelá",NA,NA,"HUCP00003883","Monocotiledonea","-50.4136009216309","-24.5093994140625","56988","HUCP00003883","auto",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:09-03","MN","R","43902","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","Pabst, G.F.J.",NA,NA,NA,"Rosa, M.",NA,"1946","06",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-10-14 10:04:16-03","FURB","FURB","14066","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb.Rodr.","Cadorin, TJ","2009","09","16","Schmitt, J.L.; Cadorin, T.J. & Gasper, A.L. de","58","2009","09","16","Brasil","Santa Catarina","Porto Belo","Margem da BR 101.","-48.6019444","-27.1494444","FURB02825",NA,"-48.6019444","-27.1494444",NA,"FURB02825",NA,"3","3","Epífita IFFSC E8002a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: epífita de tronco caído; flor amarela",NA,NA,NA,NA
"8","2020-10-14 10:04:16-03","FURB","FURB","31415","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb.Rodr.","Mancinelli, WS; Engels, ME; Smidt, EC","2012","04",NA,"Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1669","2010","03","16","Brasil","Santa Catarina","Presidente Nereu","Braço do Salão - Fazenda Sabiá.","-49.2313889","-27.1813889","FURB35787",NA,"-49.2313889","-27.1813889",NA,"FURB35787",NA,"533","533","Epífita IFFSC e518b (Acima de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; Fruto seco;",NA,NA,NA,NA
"9","2020-10-14 10:04:16-03","FURB","FURB","44058","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb.Rodr.","Caetano, JO","2014","03",NA,"Caetano, J.O.; Henschel, S.","74","2014","03","07","Brasil","Santa Catarina","Benedito Novo","ao lado da empresa Alta Papéis.","-49.4219445","-26.7813889","FURB35784",NA,"-49.4219445","-26.7813889",NA,"FURB35784",NA,"443","443",NA,NA,NA,NA,NA
"10","2020-12-21 16:38:39-03","MBM","MBM","15193","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb.Rodr.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","24111","1970","04","06","Brazil","Paraná","Arapoti","Rio das Perdizes",NA,NA,"MBM015193",NA,"-49.8266983032227","-24.1578006744385","41852",NA,"auto",NA,NA,NA,"Southern America",NA,NA,NA
