"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount","infraspecificEpithet"
"1","2021-04-05 14:25:30-03","UNESC","CRI","11205","PreservedSpecimen","Plantae","Melastomataceae","Leandra","echinata","Leandra echinata","Cogn.","A. Korte","2010","06","03","A. Korte; A. Kniess","3589","2010","06","03","Brasil","Santa Catarina","Vitor Meireles","Barra da Prata.","-49.860833","-26.730278","49º51'39''W","26º43'49''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI004197","CRI004197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","685357","PreservedSpecimen","Plantae","Melastomataceae","Leandra","echinata","Leandra echinata","Cogn.","R. Goldenberg",NA,NA,NA,"R. Goldenberg","743","2005","10","17","Brazil","Paraná","Tunas do Paraná","Estrada Tunas - Parque das Lauráceas","-49.0856","-24.9744",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685357","NY00685357_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","685358","PreservedSpecimen","Plantae","Melastomataceae","Leandra","echinata","Leandra echinata","Cogn.","R. Goldenberg",NA,NA,NA,"R. Goldenberg","706","2005","10","17","Brazil","Paraná","Campina Grande do Sul","Margem do Rio Capivari","-49.0553","-25.3058",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685358","NY00685358_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","478345","PreservedSpecimen","Plantae","Melastomataceae","Leandra","echinata","Leandra echinata","Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","21682","1969","07","03","Brazil","Paraná","Antonina","S. Sebastiao","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478345","NY00478345_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","478412","PreservedSpecimen","Plantae","Melastomataceae","Leandra","echinata","Leandra echinata","Cogn.","R. Goldenberg",NA,NA,NA,"R. Reitz","9694","1959","07","05","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf, Blumenau","-49.0658","-26.9194",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478412","NY00478412_01","Magnoliophyta","Myrtales","South America","sheet","600","600",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","478347","PreservedSpecimen","Plantae","Melastomataceae","Leandra","echinata","Leandra echinata","Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","21682","1969","07","03","Brazil","Paraná","Antonina","S. Sebastiao","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478347","NY00478347_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","478411","PreservedSpecimen","Plantae","Melastomataceae","Leandra","echinata","Leandra echinata","Cogn.","R. Goldenberg",NA,NA,NA,"R. Reitz","8972","1959","08","21","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf, Blumenau","-49.0658","-26.9194",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478411","NY00478411_01","Magnoliophyta","Myrtales","South America","sheet","450","450",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1017216","PreservedSpecimen","Plantae","Melastomataceae","Leandra","echinata","Leandra echinata","Cogn.","G. G. Hatschbach",NA,NA,NA,"J. M. Silva","450","1987","12","22","Brazil","Paraná","Sao José dos Pinhais","Serra dos Castelhanos.","-49.2064","-25.5347",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200938' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017216","NY01017216_01","Magnoliophyta","Myrtales","South America","sheet","850","850",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","478413","PreservedSpecimen","Plantae","Melastomataceae","Leandra","echinata","Leandra echinata","Cogn.","R. Goldenberg",NA,NA,NA,"G. G. Hatschbach","7156","1960","08","21","Brazil","Paraná","Campina Grande do Sul","Jaguatirica; em mata da Araucaria","-49.0553","-25.3058",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478413","NY00478413_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","478414","PreservedSpecimen","Plantae","Melastomataceae","Leandra","echinata","Leandra echinata","Cogn.","R. Goldenberg",NA,NA,NA,"G. G. Hatschbach","7104","1960","07","03","Brazil","Paraná","Cerro Azul","Morro Grande","-49.2608","-24.8236",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478414","NY00478414_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
