"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","950274","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Galianthe","pseudopeciolata","Galianthe pseudopeciolata","E.L.Cabral","E. L. Cabral","G. G. Hatschbach","26128","1971","01","25","South America","Brazil","Mato Grosso do Sul","Rio Brilhante","Fda. Bela Vista","-54.5464","-21.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00950274","NY00950274_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-19 10:25:14-03","CPAP","CPAP","13699","PreserverdSpecimen","Plantae",NA,NA,"Rubiaceae","Galianthe","pseudopeciolata","Galianthe pseudopeciolata","Cabral","E. Cabral","Hatschbach, G.","58622","1993","02","07",NA,"Brasil","MS","Iguatemi","Rodovia MS-295, rio Panduí","-54.5611000061035","-23.6802997589111",NA,"Ereta, 2,50m de altura. FLOR: alva. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Brejo. SUBSTRATO: . RELEVO: .",NA,NA,"71460","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:39:29-03","UNICAMP","UEC","97934","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Galianthe","pseudopeciolata","Galianthe pseudopeciolata","E.L.Cabral","Freitas, FO","Chung, F; Matos, J; Schmidt, M; Gandara, F; Ivanauskas, NM; Vanini, A; et al.","124","1997","12","13",NA,"Brazil","São Paulo","Apiaí","Estrada do pinhalzinho/11Km de Bom sucesso de Itararé.","-49.077222","-24.335278",NA,"Erva de 80 cm, inflorescência branca com estamens pretos.; Floresta Ombrófila Densa.","UEC111692","UEC111692",NA,NA,"1998","01","15","-49.077222","-24.335278",NA,NA,NA,NA
"4","2020-12-21 16:43:19-03","MBM","MBM","159146","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Galianthe","pseudopeciolata","Galianthe pseudopeciolata","E.L. Cabral","Cabral, E.L.","Hatschbach, G.; Schinini, A.; Silva, J.M.; Schinini, A.; Silva, J.M.","58622",NA,NA,NA,"Southern America","Brazil","Mato Grosso do Sul","Iguatemi","Rod. MS-295, Rio Panduí","-54.5611000061035","-23.6802997589111",NA,NA,"MBM159146","MBM159146","71460","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:43:19-03","MBM","MBM","255455","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Galianthe","pseudopeciolata","Galianthe pseudopeciolata","E.L. Cabral","Cabral, E.L.","Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","71782",NA,NA,NA,"Southern America","Brazil","Santa Catarina","Grão Pará","Serra do Corvo Branco, próximo ao alto","-49.2146987915039","-28.1849994659424",NA,NA,"MBM255455","MBM255455","24844","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:43:19-03","MBM","MBM","203789","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Galianthe","pseudopeciolata","Galianthe pseudopeciolata","E.L. Cabral","Scaramuzza, CA de M","Sakuragui, V.C.; et al.; et al.","2339",NA,NA,NA,"Southern America","Brazil","São Paulo","Itararé","Fazenda do IAC","-49.3400001525879","-24.1100006103516",NA,NA,"MBM203789","MBM203789","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-03-09 17:11:56-03","MNHN","RECOLNAT_MNHN_P","P02285155","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Galianthe","pseudopeciolata","Galianthe pseudopeciolata","E.L.Cabral",NA,"Hassler, E.",NA,"1907",NA,NA,NA,"Paraguay",NA,NA,"Sierra de Amambay",NA,NA,"hb","Reçu le 27 juillet 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02285155' target='other'> <mi>dwc_moreinfo</mi></a>","P02285155","P02285155_01",NA,NA,NA,NA,NA,NA,NA,"isotype","10102",NA,NA
"8","2015-09-04 11:23:32-03","MNHN","RECOLNAT_MNHN_P","P03323026","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Galianthe","pseudopeciolata","Galianthe pseudopeciolata","E.L.Cabral",NA,"Hassler, E.",NA,"1907","1","1",NA,"Paraguai",NA,NA,"Sierra de Amambay.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03323026' target='other'> <mi>dwc_moreinfo</mi></a>","P03323026","P03323026_01",NA,NA,NA,NA,NA,NA,NA,NA,"10102",NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","1264842","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Galianthe","pseudopeciolata","Galianthe pseudopeciolata","E.L. Cabral","Elsa Cabral (CTES)","Elsa M. Zardini|M. Vera","Zardini 47793","1998","1","14","South America","Paraguay","Canindeyú",NA,"Mbaracayú Natural Reserve, administered by Fundación Moises Bertoni. Peatbog.","-55.27916","-24.18777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1126","4",NA
"10","2017-08-29 08:53:00-03","MO","MOBOT","1580220","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Galianthe","pseudopeciolata","Galianthe pseudopeciolata","E.L. Cabral","E. Cabral (CTES)","Elsa M. Zardini|A. Acosta","Zardini 56237","2001","2","28","South America","Paraguay","Amambay",NA,"Trail to Indian Reserve around Cerro Corá.","-56.16","-22.6702778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1229","4",NA
