"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","phylum","order","individualCount","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","11778","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.","Peterson T. Padilha","2016","01","31","Vanilde C. Zanette","2016","01","31","Brasil","Santa Catarina","Içara","Condominio Portal da Lagoa - Balneário Rincão.","-49.300556","-28.713889","49º18'2''W","28º42'50''S","52","52","Restinga Habito: epifítica","CRI001772","CRI001772_1 CRI001772_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:04-03","UNESC","CRI","12518","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.","Peterson T. Padilha","2017","07","25","Alexandre Medeiros","2017","05","28","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro","-48.585","-27.023333","48º35'6''W","27º1'24''S",NA,NA,"Coleta 389. Habito: Epífita","CRI010725","CRI010725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:04-03","UNESC","CRI","10403","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.","Marcos Sobral","2011",NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos & Aurélio José de Aguiar","2000","10","31","Brasil","Santa Catarina","Governador Celso Ramos","Praia de Palmas.","-48.558889","-27.315833","48º33'32''W","27º18'57''S",NA,NA,"Habitat: Terrícola Habito: Herbácea","CRI014166","CRI014166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:22-03","UNESC","CRI","6525","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.","Sabrina Keli Zanin","1999","10","02","Sabrina Keli Zanin","1999","10","02","Brasil","Santa Catarina","Urussanga","Bairro da Estação.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","Habitat: Floresta Ombrófila Densa Habito: epífita","CRI001774","CRI001774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:22-03","UNESC","CRI","4730","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.","J. L. Waechter","1996","08","08","Vanilde Citadini Zanette; Jucelia C. Caetano","1996","01","24","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24",NA,"CRI001770","CRI001770","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:04-03","UNESC","CRI","7529","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.","Telma Elyta V. Azeredo","2006","11","07","Telma Elyta V. Azeredo","2006","11","07","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,NA,"CRI001767","CRI001767","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:04-03","UNESC","CRI","10673","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.",NA,NA,NA,NA,"Thiago de Souza","2002","10","16","Brasil","Santa Catarina","Nova Veneza","Barragem do Rio São Bento.","-49.498333","-28.636944","49º29'54''W","28º38'13''S",NA,NA,NA,"CRI001726","CRI001726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:22-03","UNESC","CRI","5000","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.","Alexandra Tonetto",NA,NA,NA,"Alexandra Toneto","1996","10","05","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","Habitat: mata atlântica Habito: epífita terrícola","CRI001769","CRI001769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:04-03","UNESC","CRI","14565","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.","Ronaldo dos Santos","2011","10","10","Ronaldo dos Santos","2011","10","10","Brasil","Santa Catarina","Criciúma","Satc","-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,"Habito: Epífita","CRI013869","CRI013869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:04-03","UNESC","CRI","10672","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","(L.) Griseb.",NA,NA,NA,NA,"Alecsandro S. Klein; Elísio A. O.","2002","07","16","Brasil","Santa Catarina","Nova Veneza","Barragem.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","179","179","Habito: epífita","CRI001723","CRI001723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
