"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00804934","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenachaenium","macrocephalum","Stenachaenium macrocephalum","DC.","R. A. Wasum","8300","1992","02","19","South America","Brazil","Rio Grande do Sul","Flores da Cunha","Flores da Cunha - Otavio Rocha","-51.26034","-29.061484","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2795690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804934","NY00804934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00804935","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stenachaenium","macrocephalum","Stenachaenium macrocephalum","DC.","B. Rambo","51638","1951","12","27","South America","Brazil","Rio Grande do Sul",NA,"Passo do Socorro, near Vacaria",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2795691' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804935","NY00804935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-20 14:40:19-03","UPM","MACK","1282","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stenachaenium","megapotamicum","Stenachaenium megapotamicum","Baker","S. Dreveck; et al.","179","2008","03","18",NA,"Brasil","SC","Capão Alto","Fazenda Moraes, floresta ombrofila mista.","-50.5119018554688","-27.9368991851807",NA,NA,NA,NA,NA,NA,"A. C. Fernandes","2012","03","05","S","W","41668","auto",NA,NA,NA,NA
"4","2020-02-08 08:51:37-03","NBC","NL-BOTANY","U.1138431","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Stenachaenium","macrocephalum","Stenachaenium macrocephalum","Benth. ex Benth. & Hook.f.","Rosengurtt B",NA,"1945","03","19","Southern America","Uruguay",NA,NA,"Cerro Largo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1138431 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1138431","NL-U1138431",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"5","2019-08-27 13:27:57-03","IAP","PACA-AGP","9070","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Stenachaenium","macrocephalum","Stenachaenium macrocephalum","Benth. ex Benth. & Hook. f.","Rambo, B.",NA,"1942","01","16",NA,"Brasil","RS","Bom Jesus",NA,"-50.4166984558105","-28.6678009033203",NA,NA,NA,"VULNERÁVEL Habitat: in campestribus siccis graminosis Fenofase: flor","PACA009070",NA,"Emrich-Rambo","1954","07","08",NA,NA,"55856","auto","Magnoliatae",NA,NA,NA
"6","2019-08-27 13:27:57-03","IAP","PACA-AGP","53334","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Stenachaenium","macrocephalum","Stenachaenium macrocephalum","Benth. ex Benth. & Hook. f.","Rambo, B.",NA,"1952","11","24",NA,"Brasil","RS","São Luiz das Missões","Caaro",NA,NA,NA,NA,NA,"VULNERÁVEL Habitat: in campestribus graminosis Fenofase: flor","PACA053334",NA,"S. M. Marodin","1995","04","13",NA,NA,NA,NA,"Magnoliatae",NA,NA,NA
"7","2019-08-27 13:27:57-03","IAP","PACA-AGP","30997","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Stenachaenium","macrocephalum","Stenachaenium macrocephalum","Benth. ex Benth. & Hook. f.","Rambo, B.",NA,"1946","01","04",NA,"Brasil","RS","Caxias do Sul","Vila Oliva","-51.1794013977051","-29.1681003570557",NA,NA,NA,"VULNERÁVEL Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA030997",NA,"Emrich-Rambo","1954","07","08",NA,NA,"49662","auto","Magnoliatae",NA,NA,NA
"8","2019-08-27 13:27:57-03","IAP","PACA-AGP","59955","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Stenachaenium","macrocephalum","Stenachaenium macrocephalum","Benth. ex Benth. & Hook. f.","Camargo, O. R.","1165","1957","03","18",NA,"Brasil","RS","Farroupilha",NA,"-51.3478012084961","-29.2250003814697",NA,NA,NA,"VULNERÁVEL&nf;SEM MATERIAL Habitat: in dumetosis Fenofase: flor","PACA059955",NA,"Emrich-Rambo","1957","05","05",NA,NA,"19545","auto","Magnoliatae",NA,NA,NA
"9","2019-08-27 13:27:57-03","IAP","PACA-AGP","60597","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Stenachaenium","macrocephalum","Stenachaenium macrocephalum","Benth. ex Benth. & Hook. f.","Camargo, O. R.","1388","1957","05","07",NA,"Brasil","RS","Farroupilha",NA,"-51.3478012084961","-29.2250003814697",NA,NA,NA,"VULNERÁVEL&nf;SEM MATERIAL Habitat: in campestribus dumetosis Fenofase: flor","PACA060597",NA,"Emrich-Rambo","1957","05","20",NA,NA,"19545","auto","Magnoliatae",NA,NA,NA
"10","2019-08-27 13:27:57-03","IAP","PACA-AGP","70956","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Stenachaenium","macrocephalum","Stenachaenium macrocephalum","Benth. ex Benth. & Hook. f.","Sehnem, A.",NA,"1950","02","03",NA,"Brasil","RS","Porto Alegre","Gloria","-51.2299995422363","-30.0331001281738",NA,NA,NA,"VULNERÁVEL&nf;det. (B. Rambo SJ): Stenachaenium riedelii Baker Habitat: in campestribus","PACA070956",NA,"S. M. Marodin","1995","04","13",NA,NA,"29946","auto","Magnoliatae",NA,NA,NA
