"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","645311","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Gosselin) Buxb.","N. P. Taylor; D. C. Zappi","J. N. Rose","19785","1915","06","07","South America","Brazil","Bahia","Barrinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645311","NY00645311_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1240089","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Gosselin) Buxb.","N. P. Taylor; D. C. Zappi","J. N. Rose","19785","1915","06","07","South America","Brazil","Bahia","Barrinha","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1505350' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240089","NY01240089_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645310","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Gosselin) Buxb.","N. P. Taylor; D. C. Zappi","J. N. Rose","19785","1915","06","07","South America","Brazil","Bahia","Barrinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645310","NY00645310_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 21:31:57-03","UFBA","ALCB","128700","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol-Goss.) F.Bux.","Guedes, ML","Valadão, R de M","s/n","2017","08","12","Southern America","Brasil","Bahia","Caminho para o Rio Verde.",NA,"Suculento. Flores de antese noturna com cefálio lateral desenvolvido muito aprofundado com cerdas douradas, finissimas.","ALCB045890","ALCB045890","2017","12","Ipupiara","-42.6","-11.816667","-42.6","-11.816667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:35:49-02","IPA","IPA","29842","S","Plantae","Plantae",NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Gosselin) Buxb.","Taylor, N.P.; Zappi, D.C.","Andrade-Lima","74-7565","1974","02",NA,"Southern America","Brasil","Bahia","viagem com Delamare (provalvemente BR 407, entre Senhor do Bonfim e Juazeiro).",NA,NA,"IPA0029842",NA,"1990","02",NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:35:49-02","IPA","IPA","29843","S","Plantae","Plantae",NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Gosselin) Buxb.","Taylor, N.P.; Zappi, D.C.","Andrade-Lima","74-7565A","1974","02",NA,"Southern America","Brasil","Bahia","viagem com Delamare.",NA,NA,"IPA0029843",NA,"1990","02",NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-04 11:04:45-03","UFRB","HURB","10570","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.","C.D.P.Vitório","Aona, L.Y.S.; Costa, G.; Marinho, L.","3927","2015","02","07",NA,"Brasil","Bahia","Serra do Voador;",NA,NA,"HURB000010570","HURB000010570",NA,NA,"Contendas do Sincorá","-41.048889","-13.781667","41º02'56W","13°46'54S",NA,"315","315",NA,NA,NA,NA,NA,NA
"8","2021-03-04 11:04:45-03","UFRB","HURB","8396","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.",NA,"Peixoto, M.R.; Medeiros, B.M.; Gomes, V.F.; Silva, G.P. da&nf;edeiros, B.M.; Gomes, V.F.; Silva, G.P.da","6","2014","07","23",NA,"Brasil","Bahia","Floresta Nacional Contendas do Sincorá (Flona); Serra da Volta",NA,NA,"HURB000008396","HURB000008396",NA,NA,"Contendas do Sincorá","-13.779167","-41.0525","13°46'45W","41°03'09S",NA,"300","300",NA,NA,NA,NA,NA,NA
"9","2021-03-04 11:04:45-03","UFRB","HURB","11264","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.",NA,"Peixoto, M.R.",NA,"2015","11","02",NA,"Brasil","Bahia","Flamengo; Prox. Ao Km 70 da BR 407",NA,NA,"HURB000011264",NA,NA,NA,"Jaguarari","-40.19580078125","-10.2638998031616",NA,NA,NA,NA,NA,"60045","auto",NA,NA,NA,NA
"10","2021-03-04 11:04:45-03","UFRB","HURB","10571","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.",NA,"Peixoto, M.R.",NA,"2015","11","02",NA,"Brasil","Bahia","Flamengo; Próximo ao Km 70 da BR 407",NA,NA,"HURB000010571","HURB000010571",NA,NA,"Jaguarari","-40.19580078125","-10.2638998031616",NA,NA,NA,NA,NA,"60045","auto",NA,NA,NA,NA
