"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","885662","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Hexachlamys","hamiltonii","sehnemiana","Hexachlamys hamiltonii sehnemiana","Mattos","J. R. Mattos","K. Hagelund","13707","1981","10","15","South America","Brazil","Rio Grande do Sul","Arroio dos Ratos","Fazenda Faxinal.","-51.7292","-30.0772","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885662","NY00885662_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","885662","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Hexachlamys","hamiltonii","sehnemiana","Hexachlamys hamiltonii sehnemiana","Mattos","J. R. Mattos","K. Hagelund","13707","1981","10","15","South America","Brazil","Rio Grande do Sul","Arroio dos Ratos","Fazenda Faxinal.","-51.7292","-30.0772","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885662","NY00885662_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:06:37-03","NBC","NL-BOTANY","L.4149826","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos",NA,"Hagelund K",NA,"1981","10","15","Southern America","Brazil",NA,NA,"Fazenda Faxinal - Arroio dos Ratos - RS.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4149826 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4149826","NL-L4149826","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:14:33-03","ESALQ","ESA","9293","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Kuntz, J.","Souza, V.C.; Scaramuzza, C.A.M.; Shimabukuro, M.T.","3548.0","1993","05","01",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA009293","ESA009293",NA,"2011","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:33-03","ESALQ","ESA","11878","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Kuntz, J.","Souza, V.C.; Sakuragui, C.M.; Miyagi, P.H.; Levensteinas, B.; Bérgamo, P.; Cardoso, W.P.","4186.0","1993","09","06",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA011878","ESA011878",NA,"2011","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:14:33-03","ESALQ","ESA","21066","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Kuntz, J.","Souza, V.C.; Miyagi, P.H.; Souza, J.P.; Nakagomi, M. Y.","7382.0","1994","11","14",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA021066","ESA021066",NA,"2011","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:33-03","ESALQ","ESA","23541","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Kuntz, J.","Souza, V.C.; Sakuragui, C.M.; Souza, J.P.; Sanches, C.D.; Wongtschowski, M.; Scalon, V.R.; Farah, F.T.","8726.0","1995","08","18",NA,"Brasil","São Paulo","Itapeva","Estação Ecológica de Itapeva. Transição campo-cerrado.","-48.8699989318848","-23.9799995422363",NA,"Subarbusto, até 10cm alt.; cálice avermelhado; corola alva.","ESA023541","ESA023541",NA,"2011","42926","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:18:36-03","UFV","VIC","43225","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos",NA,NA,"s.n.","2012","10","13",NA,"Brasil","Rio Grande do Sul","Cidreira","Fazenda da Azaléia","-50.2056007385254","-30.1811008453369",NA,"10 m.; Em campo sujo","VIC043225",NA,NA,NA,"19547","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-16 17:53:52-03","UCS","HUCS","39684","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Grizzon, M.","Gonzatti, F.","614a","2012","10","13",NA,"Brasil","Rio Grande do Sul","Cidreira","Fazenda da Azaléia","-50.233611","-30.084444",NA,"arbusto com 1m de altura; em campo sujo",NA,NA,NA,"2012",NA,NA,"10","31","-50.233611","-30.084444","10","10",NA,NA
"10","2021-03-16 17:53:52-03","UCS","HUCS","41662","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Grizzon, M.","Valduga, E.","461","2012","10","12",NA,"Brasil","Rio Grande do Sul","Cidreira","Próximo a lagoa da Tapera","-50.2056007385254","-30.1811008453369",NA,"arbustiva em meio a formação arbustiva de Psidium",NA,NA,NA,"2014","19547","auto","07",NA,NA,NA,NA,NA,NA,NA
