"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","class","infraspecificEpithet","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:41:40-03","E","E","196791","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","salicifolia","Mollinedia salicifolia","Bohrer, C.","105","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:228500","<a href=http://data.rbge.org.uk/herb/E00196791 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","454290","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","salicifolia","Mollinedia salicifolia","M. Leitman","390","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454290","Magnoliophyta","Laurales","Perkins","1990","08","17","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Sitio Hum New Baccus","-42.05","-22","1100","1100","NY00454290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","454292","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","salicifolia","Mollinedia salicifolia","H. C. de Lima","3485","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454292","Magnoliophyta","Laurales","Perkins","1989","03","10","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores","-42.5311","-22.2819",NA,NA,"NY00454292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","454289","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","salicifolia","Mollinedia salicifolia","A. F. M. Glaziou","17769","South America","Brazil","sheet",NA,"[handwriting unclear - see label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454289","Magnoliophyta","Laurales","Perkins","1888","02","22","Rio de Janeiro","Nova Friburgo","Alto Macahé","-42.5308","-22.2819",NA,NA,"NY00454289_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","454293","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","salicifolia","Mollinedia salicifolia","H. C. de Lima","3505","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454293","Magnoliophyta","Laurales","Perkins","1989","04","02","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Sítio Hum New Baccus","-42.5311012268066","-22.2819004058838",NA,NA,"NY00454293_01","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","454291","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","salicifolia","Mollinedia salicifolia","S. de V. A. Pessôa","450","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454291","Magnoliophyta","Laurales","Perkins","1989","08","01","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores","-42.05","-22",NA,NA,"NY00454291_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:07-03","ESALQ","ESA","24185","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","salicifolia","Mollinedia salicifolia","Barreto, K.D. et al.","3303.0",NA,"Brasil",NA,NA,NA,"ESA024185","Magnoliophyta",NA,"Perk.","1994","11","30","São Paulo","Juquiá",NA,"-47.6300010681152","-24.3199996948242",NA,NA,"ESA024185","32505","auto","Peeixoto, A.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-12 01:35:50-03","UFPI","TEPB","1781","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","salicifolia","Mollinedia salicifolia","H. F. Leitão Filho",NA,NA,"Brasil",NA,NA,"Arbusto com flor esverdeada Ambiente: Bosque",NA,NA,NA,NA,"1977","09","05","São Paulo","Campinas","Bosque dos Jequiribás","-47.060001373291","-22.8999996185303",NA,NA,NA,"23900","auto","H. F. Leitão Filho","1977","09","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:18:29-03","UFV","VIC","31021","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","salicifolia","Mollinedia salicifolia","Teixeira, R.N.C.; et al.","82",NA,"Brasil",NA,NA,"Àrvore de 7m, com frutos verde-escuros","VIC031021",NA,NA,"Perkins","2005","07","23","Espirito Santo","Santa Maria de Jetibá.","Fragmento Florestal, A 5km do Municipio de Santa Maria de Jetibá ( Propriedade do Senhor Paulo Sick) coletada no interior da mata","-40.7461013793945","-20.040599822998",NA,NA,"VIC031021","31867","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 09:31:15-03","UFRRJ","RBR","7638","S","Plantae","Monimiaceae","Mollinedia","salicifolia","Mollinedia salicifolia","H.C. Lima","3692",NA,"Brasil",NA,NA,NA,"RBR00007638",NA,NA,"Perkins","1989","09","12","Rio de Janeiro","Nova Friburgo","Macaé de Cima, estrada para o sítio Sophronites próximo a segunda ponte sobre o Rio Macaé.","-42.5311012268066","-22.2819004058838","1100","1100",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
