"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","identifiedBy","yearIdentified","monthIdentified","individualCount","fieldNumber","typeStatus","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","813903","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C.Chr.","J. N. Rose","21281","1915","07","26","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaya","-44.5631","-22.4961","2700","3000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=808496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00813903","NY00813903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","813902","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C.Chr.","A. C. Brade","6484","1913","06","04","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaya","-44.5631","-22.4961","2800","2800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=808493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00813902","NY00813902_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:19:11-03","UFRJ","RFA","18069","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C.Chr.","A.C. Brade","14540","1935","05","27",NA,"Brasil","Rio de Janeiro","Itatiaia","Agulhas Negras","-44.5633010864258","-22.4960994720459","2800","2800",NA,NA,"RFA40866",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:34:35-03","IAP","PACA-AGP","99379","PreservedSpecimen","Plantae","Não Informado","Não Informado","Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","Brade","14540","1935","05","27",NA,"Brasil","RJ",NA,"Agulhas Negras, Serra do Itatiaia.",NA,NA,"2700","2700",NA,"Jardim Botânico do Rio de Janeiro n° 30792. Habitat: Terrestre numa gruta sombria.","PACA099379",NA,NA,NA,"Não Informado","Brade","1935",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:51:33-03","UFJF","CESJ","3368","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Blechnaceae","Austroblechnum","andinum","Austroblechnum andinum","(Baker) Gasper & V.A.O. Dittrich","A.C. Brade","s.n.","1935",NA,NA,"América do Sul","Brasil","Rio de Janeiro","Itatiaia","Agulhas Negras, 2800m. Terrestre.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"CESJ003368","CESJ003368","19648","auto",NA,"V.A.O. Dittrich","2017","01",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:18:38-03","MBM","MBM","4715","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum",NA,"Brade, A.C.","449","1950",NA,NA,"Southern America","Brazil","Minas Gerais","Itatiaia","Itatiaia",NA,NA,NA,NA,NA,NA,"MBM004715","MBM004715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","2418212","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","Stephan G. Beck","Beck 22780",NA,NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-11-18 05:19:00-02","MO","MOBOT","100167249","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","Iván Jiménez|Alfredo F. Fuentes|Rosember Hurtado","Jiménez Pérez 2849","2005","6","20","South America","Bolivia","La Paz","Franz Tamayo","Bajando desde Puina antiguo, río abajo, para luego continuar por un sendero abandonado. Ceja de Monte y Páramo Yungueño. Bosque siempreverde, disturbado en borde de sendero.","-69.0958333","-14.5769445","3200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"I. Jimenez",NA,NA,"1",NA,NA,NA,NA,NA
"9","2017-11-18 05:19:00-02","MO","MOBOT","100225301","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","I. Loza|A. T. Fernández C.|Iván Jiménez|R. Sonco","Loza Rivera 718","2009","4","13","South America","Bolivia","La Paz","Bautista Saavedra","Parque Nacional Madidi, Hilo Hilo, a una hora de la mina Kapalaya en la localidad de Laji Sorapata.","-68.8714723","-14.8603056","4182.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"A.R. Smith (UC)",NA,NA,"4","09-11",NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","13827","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","Alice Fay|Louis Fay","Fay 2458","1989","7","27","South America","Bolivia","La Paz","Nor Yungas","Cotapata, roadside behind gas station.","-67.83333","-16.25","3225.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"A. R. Smith (UC)",NA,NA,"2","41",NA,NA,NA,NA
