"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","class","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1345","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) Ritter","Nygel Taylor","Fernando Moreira Fernandes;","Brasil","Minas Gerais","Grão Mogol","Serra das Escuras","-42.8897018432617","-16.5594005584717","67219","800","800","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00996970","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) F.Ritter","D. C. Zappi","H. S. Irwin","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, ca. 18 km west of Grão Mogol","-42.9909","-16.65775",NA,"950","950",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140737' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"23676","1969","02","21","South America","sheet","NY00996970",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00996971","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) F.Ritter","T. N. Taylor; D. C. Zappi","H. S. Irwin","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, ca. 18 km west of Grão Mogol","-42.9909","-16.65775",NA,"950","950",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140743' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"23684","1969","02","21","South America","sheet","NY00996971","NY00996971_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U 0252771","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) F.Ritter",NA,"Horst L; Buining AFH","Brazil","Minas Gerais",NA,"Serra do Espinhaçu, Minas Gerais, Brasil.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200252771 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Southern America",NA,"NL-U0252771","NL-U0252771","Magnoliopsidae","holotype",NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:27:17-03","UNICAMP","UEC","114875","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus fulvilanatus","(Buining & Brederoo) F.Ritter","Aona, LYS","Aona, LYS; Belinello, R","Brazil","Minas Gerais","Grão Mogol","Parque Estadual G.M., trilha da Serra do Barão.","-42.894167","-16.551667",NA,"855","855",NA,"2m de altura, cefálio 80 cm, com pelos dourados, fruto esverdeado.",NA,"706","2000","08","16",NA,NA,"UEC041069","UEC041069",NA,NA,"fulvilanatus","-42.894167","-16.551667",NA,NA,NA
"6","2021-03-01 16:27:17-03","UNICAMP","UEC","114879","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus fulvilanatus","(Buining & Brederoo) F.Ritter","Aona, LYS","Aona, LYS; Belinello, R","Brazil","Minas Gerais","Grão Mogol","28,4 Km de Caveira em direção a Salinas, BR 251, afloramento localizado ao lado de uma torre de rádio.","-42.873333","-16.215278",NA,"850","850",NA,"Flor 5,5x3,0cm, semi-aberta as 11:30H, fruto com diâmetro 8,5-9,5cm.",NA,"712","2000","08","17",NA,NA,"UEC041070","UEC041070",NA,NA,"fulvilanatus","-42.873333","-16.215278",NA,NA,NA
"7","2021-03-01 16:27:17-03","UNICAMP","UEC","114874","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus fulvilanatus","(Buining & Brederoo) F.Ritter","Aona, LYS","Aona, LYS; Belinello, R","Brazil","Minas Gerais","Grão Mogol","Estrada p/ Cristália, afloramento. 13 Km de Grão-Mogol.","-45.886111","-16.653056",NA,"620","620",NA,"3m, aréola 0,5cm, cefálio com pelos dourados, flor 5,5-6,5x3,5cm, fruto 8cm diâmetro.",NA,"695","2000","08","16",NA,NA,"UEC041067","UEC041067",NA,NA,"fulvilanatus","-45.886111","-16.653056",NA,NA,NA
"8","2020-12-21 16:19:46-03","MBM","MBM","416226","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buin.) & BuderooRitter","Cordeiro, J.","Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","Brazil","Minas Gerais","Grão Mogol","Serra Periperi","-42.929167","-16.536667",NA,"1026","1026",NA,"Erva ereta com 90 cm de altura; flor amarelo-claro, caule azul-acinzentado.; Campo rupestre com elementos de Caatinga.",NA,"3031","2018","11","15","Southern America",NA,"MBM416226",NA,NA,NA,NA,"-42.929167","-16.536667","2019","02","05"
"9","2020-12-21 16:19:46-03","MBM","MBM","151589","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buin.) & BuderooRitter",NA,"Cavalcanti, T.B.; et al.; et al.","Brazil","Minas Gerais","Grão Mogol","Vale do Rio Itacambiruçu","-42.8897018432617","-16.5594005584717","67219",NA,NA,NA,NA,"auto","8348","1985","09","04","Southern America",NA,"MBM151589","MBM151589",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:34:16-03","UFMG","BHCB","202256","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) Ritter",NA,"Meyer, PB","Brasil","Minas Gerais","Botumirim","Parque Estadual Botumirim","-43.030278","-16.917222",NA,NA,NA,NA,NA,NA,"3693","2019","10","11","Southern America",NA,"BHCB202256","BHCB202256",NA,NA,NA,"-43.030278","-16.917222",NA,NA,NA
