"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00498602","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","blanchetii","Eriope blanchetii","(Benth.) Harley","R. M. Harley","R. P. Belém","256","1965","01","24","South America","Brazil","Bahia","Salvador","Salvador; Lagoa Abaeté","-38.357405","-12.944359","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498602","NY00498602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00498608","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","blanchetii","Eriope blanchetii","(Benth.) Harley","R. M. Harley","R. Callejas Posada","1740","1983","11","12","South America","Brazil","Bahia","Salvador","3 km de la ciudad de Salvador, al oeste del aeropuerto","-38.5106","-12.9711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498608","NY00498608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01128535","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","blanchetii","Eriope blanchetii","(Benth.) Harley","R. M. Harley","J. S. Blanchet","987",NA,NA,NA,"South America","Brazil",NA,NA,"Probably Bahia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1286037' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128535","NY01128535_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00498607","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","blanchetii","Eriope blanchetii","(Benth.) Harley","R. M. Harley","T. C. Plowman","12779","1983","01","27","South America","Brazil","Bahia","Salvador","Salvador. Along road (Av. Otávio Mangabeira = BA-033) from Itapua to Aeroporto 2 de Julho at first large traffic circle (intersection with Av. Luiz Viana Filho)","-38.35","-12.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467299' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498607","NY00498607_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00498609","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","blanchetii","Eriope blanchetii","(Benth.) Harley","R. M. Harley","G. P. Lewis","999","1982","01","02","South America","Brazil","Bahia","Salvador","Ca. 30 km. N. da cidade. Arredores do Aeroporto","-38.3","-12.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498609","NY00498609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00498605","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","blanchetii","Eriope blanchetii","(Benth.) Harley","R. M. Harley","S. A. Mori","14079","1981","05","23","South America","Brazil","Bahia","Salvador","Bairro of Itapua, vicinity of airport, Dois de Julho","-38.326094","-12.909706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498605","NY00498605_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02692300","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","blanchetii","Eriope blanchetii","(Benth.) Harley",NA,"W. Morawetz","110-5978","1978","09","05","South America","Brazil","Bahia","Salvador","ca. 35 km NE of the city of Salvador, 3 km NE of ItapoÃ¡. Dunes of white sand, in a distance of 1-2 km from the shore.","-38.510799407959","-12.9710998535156","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2984749' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692300","NY02692300_01","26018","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00498606","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","blanchetii","Eriope blanchetii","(Benth.) Harley","R. M. Harley","G. C. P. Pinto","284/83","1983","07","14","South America","Brazil","Bahia","Salvador","Itapoa. Folha SD.24-X-A. Ponto 01.","-38.33","-12.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498606","NY00498606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00498604","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","blanchetii","Eriope blanchetii","(Benth.) Harley","R. M. Harley","S. A. Mori","14184","1981","05","29","South America","Brazil","Bahia","Entre Rios","10-13 kms W of Subaúma","-38.08","-11.94","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498604","NY00498604_01",NA,NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00498603","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Eriope","blanchetii","Eriope blanchetii","(Benth.) Harley","R. M. Harley","A. M. V. de Carvalho","688","1981","05","22","South America","Brazil","Bahia","Salvador","Ca. 30 km a N do centro da cidade. Dunas nos arredores da lagôa de Abaeté","-38.352556","-12.93708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498603","NY00498603_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
