"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","eventTime","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","169169","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eupatorium","polycladum","Eupatorium polycladum","Dusén ex Malme","type","P. K. H. Dusén","18010","1916","03","25","South America","Brazil","Paraná","[Jaguaria..]","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169169","NY00169169_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","802139","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M.King & H.Rob.",NA,"G. G. Hatschbach","14204","1966","04","14","South America","Brazil","Paraná","Carambei, Rio S. Joao.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795987' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802139","NY00802139_01","Castro","-50.152803","-24.908517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:37:05-03","EAO","IAN","34346","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","polycladum","Eupatorium polycladum","Dusén ex Malme",NA,"Dusén, PKH","s.n.","1904","02","01","Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN034346","IAN034346_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:34:47-03","EAO","IAN","61431","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","polycladum","Eupatorium polycladum","Dusén ex Malme",NA,"Dusén, PKH","18010",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN061431","IAN061431_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:34:47-03","EAO","IAN","73568","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","polycladum","Eupatorium polycladum","Dusén ex Malme",NA,"Dusén, PKH","18010",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN073568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-27 21:09:00-03","PUCPR","HUCP","25379","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dúsen ex Malme)",NA,"Felitto, G; E.D. Lozano","509","2013","03","14",NA,"Brasil","Parana","Fazenda Boiada",NA,NA,NA,"Subarbusto, 1 m, capítulos alvos. Campo sujo.","HUCP00025379",NA,"Palmeira","-50.0064010620117","-25.4293994903564","E.Barboza","2013","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:10:30-03","UFBA","ALCB","86113","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén & Malme) R.M.King & H.Rob.",NA,"Silva, JM; Ribas, OS","6372","2008","04","01","Southern America","Brasil","Paraná","Recanto dos Papagaios",NA,NA,NA,"50 cm. Capítulo alvo.",NA,NA,"Palmeira","-50.0064010620117","-25.4293994903564","Hatschbach, G","2008","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:49:37-03","NBC","NL-BOTANY","WAG.1234277","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Eupatorium","polycladum","Eupatorium polycladum","Dusén",NA,"Hatschbach GG",NA,"1966","04","14","Southern America","Brazil",NA,"Caranveu, Rio S. Joao (mun. Castro).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1234277 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1234277","NL-WAG1234277",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:49:55-03","NBC","NL-BOTANY","U.1125400","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M.King & H.Rob.",NA,"Hatschbach GG",NA,"1971","04","21","Southern America","Brazil",NA,"Rio dos Papagaios (mun. Palmeira) Parana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1125400 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1125400","NL-U1125400",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:49:55-03","NBC","NL-BOTANY","WAG.1876819","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M.King & H.Rob.",NA,"Silva JM; Cordeiro J",NA,"1989","03","10","Southern America","Brazil",NA,"Rio dos Papagaios (mun. Palmeira) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1876819 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1876819","NL-WAG1876819",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
