"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","10595","Plantae","Bromeliaceae","Vriesea","menescalii","Vriesea menescalii","E.Pereira & Leme","G. Martinelli/03-05-1995","Cintia C. Chamas; et al","397","1995","03","10","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Epífita, inflorescência ereta, brácteas escapais vermelhas, fruto esverdeado. Trilha palmito, sol, altitude aprox. 920m.","MBML010595","MBML010595",NA,NA
"2","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","16113","Plantae","Bromeliaceae","Vriesea","menescalii","Vriesea menescalii","E.Pereira & Leme","L. Kollmann/08-03-2002","L. Kollmann; et al","5421","2002","01","31","Brasil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito","-40.583333","-19.984167","40W34'60","19S59'3","Epífita. Brácteas vermelhas. Sépalas e pétalas branco-esverdeadas.","MBML016113","MBML016113",NA,NA
"3","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","18962","Plantae","Bromeliaceae","Vriesea","menescalii","Vriesea menescalii","E.Pereira & Leme","L. Kollmann/08-04-2003","R.R. Vervloet; et al","1464","2002","12","10","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","Epífita a 2m do solo, frutos jovens e botões amarelo claro,escapo e brácteas de cor vermelha, folhas verde com base interna vinho escuro, topo de morro, dossel 10m, altitude 950m.","MBML018962","MBML018962",NA,NA
"4","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","22210","Plantae","Bromeliaceae","Vriesea","menescalii","Vriesea menescalii","E.Pereira & Leme","L. Kollmann/21-07-2005","L. Kollmann; et al","6551","2004","03","27","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775278","-19.796944","40W46'31","19S47'49","Epífita na sombra. Brácteas vermelhas, botões brancos esverdeados.","MBML022210","MBML022210",NA,NA
"5","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","24132","Plantae","Bromeliaceae","Vriesea","menescalii","Vriesea menescalii","E.Pereira & Leme","A. P. Fontana/13-12-2004","A. P. Fontana; et al","1084","2004","11","15","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775278","-19.796944","40W46'31","19S47'49","Epífita sobre Velloziaceae, heliófila, folhas vermelhas, inflorescência com base vermelha e ápice verde.","MBML024132","MBML024132",NA,NA
"6","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","47029","Plantae","Bromeliaceae","Vriesea","menescalii","Vriesea menescalii","E.Pereira & Leme","A. P. Fontana/06-06-2007","A. P. Fontana; K.A. Brahim & L.C. Bissoli","3495","2007","06","06","Brasil","Espírito Santo","Itaguaçu","Serra do Caparaó. Mata Nebular","-40.973333","-19.747778","40W58'24","19S44'52","Epífita na sombra. Folhas verdes com base vinácea e com máculas. Inflorescência vermelhas com brácteas escapais vermelhas. Frutos imaturos verdes. Projeto CORES - Conservação das Orquídeas em risco de extinção.","MBML047029","MBML047029","1300","1300"
