"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","class","order","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount"
"1","2016-02-02 14:39:16-02","BGBM","B","B 10 0247952","S","Plantae","Umbelliferae","Eryngium","ramboanum","Eryngium ramboanum","Mathias & Constance","isotype","B. Rambo","32438","1946","02","28","Middle and South America","Brazil","RGS, Serra da Rocinha p. Bom. Jesus; in rupestribus parce humosis.","Herbarium Anchieta, Florae Brasiliae australis, B. Rambo S.J. - Colégio Anchieta, Pôrto Alegre <a href=http://herbarium.bgbm.org/object/B100247952 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247952","B100247952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:33:47-03","IAP","PACA-AGP","32438","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","ramboanum","Eryngium ramboanum","Mathias & Constance",NA,"Rambo, B.",NA,"1946","02","28",NA,"Brasil","Serra da Rocinha","CRITICAMENTE EM PERIGO&nf;fl. Habitat: in rupestribus parce humosis Fenofase: flor","PACA032438",NA,"Magnoliophyta","Magnoliatae","Umbellales","Constance","1954","09","25","RS","Bom Jesus","-50.4166984558105","-28.6678009033203","55856","auto",NA
"3","2019-08-27 13:33:47-03","IAP","PACA-AGP","8679","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","ramboanum","Eryngium ramboanum","Mathias & Constance",NA,"Rambo, B.",NA,"1942","01","14",NA,"Brasil","Serra da Rocinha","CRITICAMENTE EM PERIGO&nf;fr. Habitat: in rupestribus parce humosis Fenofase: fruto","PACA008679",NA,"Magnoliophyta","Magnoliatae","Umbellales","Emrich-Rambo","1954","09","25","RS","Bom Jesus","-50.4166984558105","-28.6678009033203","55856","auto",NA
"4","2019-08-27 13:33:47-03","IAP","PACA-AGP","35209","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","ramboanum","Eryngium ramboanum","Mathias & Constance","Paratipo","Rambo, B.",NA,"1947","02","14",NA,"Brasil","Serra da Rocinha","CRITICAMENTE EM PERIGO&nf;PARATYPUS. Habitat: in rupestribus parce humosis Fenofase: fruto","PACA035209","PACA035209","Magnoliophyta","Magnoliatae","Umbellales","Matthias & Constance",NA,NA,NA,"RS","Bom Jesus","-50.4166984558105","-28.6678009033203","55856","auto",NA
"5","2021-03-16 17:50:07-03","UCS","HUCS","05480","PreservedSpecimen","Plantae","Apiaceae","Eryngium","ramboanum","Eryngium ramboanum","Mathias & Constance",NA,"Rambo, B.","s.n.","1942","01","14",NA,"Brasil","Serra da Rocinha","Herbário PACA 8679; in rupestris parce humosis",NA,NA,"Angiospermae",NA,"Apiales","Lucas, D.","2016","10","13","Rio Grande do Sul","Bom Jesus","-50.4166984558105","-28.6678009033203","55856","auto",NA
"6","2020-09-12 05:00:02-03","US","US","2248501","PreservedSpecimen","Plantae","Apiaceae","Eryngium","ramboanum","Eryngium ramboanum","Mathias & Constance","Isotype","B. Rambo","32438",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,"US00127034","US00127034_01",NA,"Dicotyledonae","Apiales",NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,"1"
