"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","phylum","identifiedBy","yearIdentified","recordNumber","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0102293","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","perumbilicata","Frailea perumbilicata","F.Ritter","holotype","Ritter F; Horst L","1966","01","01","Southern America","Brazil","Rio Grande do Sul","Brazil, Rio Grande do Sul, Passo da Guarda.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102293 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102293","NL-U0102293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0102294","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","perumbilicata","Frailea perumbilicata spinosior","F.Ritter","holotype","Ritter F; Horst L","1966","01","01","Southern America","Brazil","Rio Grande do Sul","Brazil, Rio Grande do Sul, Livramento.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102294 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102294","NL-U0102294","spinosior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:04:12-03","ESALQ","ESA","56062","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Frailea","schilinzkyana","Frailea schilinzkyana","(F. Haage ex K. Schum.) Britton & Rose",NA,"Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","2007","01","18",NA,"Argentina","Corrientes","Ruta 34, 12km do Destacamento Policial Santo Tomás em direção à ruta 12. Solo rochoso com vegetação graminosa com ilhas de arvoretas e arbustos, mata de galeria adjacente","Flores amarelas","ESA056062","ESA056062",NA,"Magnoliophyta","Schinini, A.","2007","7404.0","Ituzaingó",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-07 11:42:03-03","UFMS","CGMS","51935","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Frailea","schilinzkyana","Frailea schilinzkyana","(K.Schum.) Britton & Rose",NA,"V.J. Pott; A. Pott","2004","10","24",NA,"Brasil","Mato Grosso do Sul","Fazenda Santo Antônio, 5 km W na estrada vicinal de acesso à Fazenda Amonguijá que sai da Rodovia BR-267 para Oeste, a 50 km NE de Porto Murtinho.","Flor amarela. Fruto ausente. Antese diurna, à tarde. Fruto avermelhado na base; semente marrom. Flores eFrutos coletados em IX/2015. Habitat: Savana espinescente de Chaco com cactáceas e Selaginella convoluta. Solo siltoso cascalhent","CGMS1081922",NA,NA,NA,"V.J. Pott",NA,"7090","Porto Murtinho","-57.4294445","-21.7058333","-57,4294445","-21,7058333","180","180",NA,NA
"5","2021-04-07 11:42:03-03","UFMS","CGMS","68945","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Frailea","schilinzkyana","Frailea schilinzkyana","(K.Schum.) Britton & Rose",NA,"V.J. Pott; A. Pott","2015","09","14",NA,"Brasil","Mato Grosso do Sul","Fazenda São Fernando, Reserva Legal, ao longo do Rio Amonguijá.","Flor amarela. Fruto ausente. Habitat: Chaco, savana estépica, com Selaginella sellowii e Cactaceae (Stetsonia coryne). Relevo plano. Habito: Cacto discóide, cônico no solo. Mancha ocasional.","CGMS1101903",NA,NA,NA,"V.J. Pott",NA,"11884","Porto Murtinho","-57.7588889","-21.6261111","-57,7588889","-21,6261111","93","93",NA,NA
"6","2011-10-17 18:51:00-02","MO","MOBOT","2428595","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Frailea","schilinzkyana","Frailea schilinzkyana","(F. Haage) Britton & Rose",NA,"Sara G. Tressens",NA,NA,NA,"South America","Argentina","Corrientes","Ea. Las Delicias, cercanías del ayo. Itá Corá",NA,NA,NA,NA,NA,"Kiesling, R., //",NA,"Tressens 6728","Mercedes","-58.21083","-28.86166",NA,NA,NA,NA,NA,NA
"7","2020-03-04 08:51:00-03","MO","MOBOT","295596","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Frailea","schilinzkyana","Frailea schilinzkyana","(F. Haage) Britton & Rose",NA,"Elsa M. Zardini","1990","5","19","South America","Paraguay","Cordillera","Eastern side of Río Piribebuy basin, 17 km W of Arroyos y Esteros. Scrub on basalt.",NA,NA,NA,NA,NA,"R. Kiesling",NA,"Zardini 20099",NA,"-57.25","-25.1333333",NA,NA,NA,NA,"315","4"
