"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","typeStatus","fieldNumber","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","1750224","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Drepanolejeunea","bischleriana","Drepanolejeunea bischleriana","K.C.Pôrto & Grolle","D. M. Vital","20630","1991","07","27","South America","Brazil","São Paulo","Santo André","slopes of Serra Paranapiacaba just SW of city of Paranapiacaba","-46.28","-23.78","850","850","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1966322' target='other'> <mi>dwc_moreinfo</mi></a>","NY01750224","NY01750224_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01776818","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(K.C.Pôrto & Grolle) R.M.Schust. & Giancotti","A. Schäfer-Verwimp","13410","1990","12","27","South America","Brazil","Paraná",NA,"Litoral Sul, Guaratuba, an der Straße nach Joinville (6 km vor der Grenze zu Santa Catarina).","-48.67","-25.97",NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1994927' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776818",NA,"A. Schäfer-Verwimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1776820","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(K.C.Pôrto & Grolle) R.M.Schust. & Giancotti","A. Schäfer-Verwimp","13425","1990","12","28","South America","Brazil","Santa Catarina",NA,"Ilha de San Francisco, bei Ubatuba (am Rande des Campingplatzes Portal do Sul).","-48.6","-26.23","5",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1994972' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776820",NA,"A. Schäfer-Verwimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1776819","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(K.C.Pôrto & Grolle) R.M.Schust. & Giancotti","A. Schäfer-Verwimp","9505","1988","03","19","South America","Brazil","São Paulo",NA,"Serra do Mar bei Ubatuba, Regenwald der Fazenda Capricornio, am Ufer des Rio Indaia.","-45.07","-23.4","70",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1994970' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776819",NA,"R. Grolle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1776821","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(K.C.Pôrto & Grolle) R.M.Schust. & Giancotti","A. Schäfer-Verwimp","12640","1990","04","20","South America","Brazil","São Paulo",NA,"Serra de Paranapicaba, Fazenda Intervales sudlich Capao Bonito, in feuchtem Sekundarwald nahe der Sede de pesquias.","-48.42","-24.27","800",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1994974' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776821",NA,"A. Schäfer-Verwimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01776822","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(K.C.Pôrto & Grolle) R.M.Schust. & Giancotti","R. M. Schuster","79-10-275","1979","07","03","South America","Brazil","Amazonas",NA,"Along the Rio Negro between Manaus and Sao Gabriel, along Rio Cauaburi between Rio Negro and Cachoeira do Carangueijo","-65.92","-0.25",NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1994976' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776822","NY01776822_01","A. L. Ilkiu-Borges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:27:06-03","UFBA","ALCB","77513","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(Pôrto & Grolle) R.M.Schust. & Giancotti","Bastos, C","4918","2007","02","07","Southern America","Brasil","Bahia","Igrapiúna",NA,"-39.166667","-13.8",NA,NA,NA,"corticícolo Ceratolejeunea sp.",NA,NA,NA,"-39.166667","-13.8",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:27:06-03","UFBA","ALCB","79840","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(Pôrto & Grolle) R.M.Schust. & Giancotti","Oliveira, HC de","604","2007","02","08","Southern America","Brasil","Bahia","Igrapiúna",NA,"-39.166667","-13.8",NA,NA,NA,"corticícolo",NA,NA,NA,"-39.166667","-13.8",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:27:06-03","UFBA","ALCB","120118","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(Pôrto & Grolle) R.M.Schust. & Giancotti","Rodrigues, K","206","2015","09","17","Southern America","Brasil","Bahia","Santa Teresinha","Povoado de Pedra Branca, Serra da Jiboia, Morro da Pioneira, entrada da mata.","-39.475","-12.855278",NA,NA,NA,"Drepanolejeunea anoplantha (Spruce) Steph.",NA,NA,"Bastos, C","-39.475","-12.855278",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-05-19 10:31:00-03","UFBA","ALCB","130848","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(Pôrto & Grolle) R.M.Schust. & Giancotti","Vilas Bôas-Bastos, SB","3294","2017","12","03","Southern America","Brasil","Bahia","Wenceslau Guimarães","Povoado de Nova Esperança, Estação Ecológica de Wenceslau Guimarães, Trilha Água Vermelha. Corticícola. Floresta ombrófila, Domínio Floresta Atlântica.","-39.707778","-13.578333","443","443",NA,"Corticícola Drepanolejeunea anoplantha (Spruce) Steph.","ALCB071454","ALCB071454_m1","Vilas Bôas-Bastos, SB","-39.707778","-13.578333",NA,NA,NA,NA,NA,NA,NA,NA
