"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","sex"
"1","2021-04-05 14:33:19-03","UNESC","CRI","292","PreservedSpecimen","Plantae","Bignoniaceae","Amphilophium","crucigerum","Amphilophium crucigerum","(L.) L.G.Lohmann","Vanilde C. Zanette","Vanilde C. Zanette; Silva Caznok","513","1982","01","14","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.425278","-28.598889","49º25'31''W","28º35'56''S","111","111","Habitat: interior da mata","CRI001500","CRI001500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:19-03","UNESC","CRI","13655","PreservedSpecimen","Plantae","Bignoniaceae","Amphilophium","crucigerum","Amphilophium crucigerum","(L.) L.G.Lohmann","Alexandre Medeiros","Alexandre Medeiros",NA,"2018","02","19","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras Coleta 852","-48.637778","-27.001389","48º38'16''W","27º0'5''S",NA,NA,"Habito: Trepadeira","CRI012262","CRI012262","2018","02","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","406","PreservedSpecimen","Plantae","Bignoniaceae","Amphilophium","crucigerum","Amphilophium crucigerum","(L.) L.G.Lohmann","Vanilde C. Zanette","Vanilde C. Zanette; V. P. Boff","823","1987","12","18","Brasil","Santa Catarina","Turvo","Morro da Boa Vista.","-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30",NA,"CRI001493","CRI001493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:02-03","UNESC","CRI","614","PreservedSpecimen","Plantae","Bignoniaceae","Amphilophium","crucigerum","Amphilophium crucigerum","(L.) L.G.Lohmann","Luis R. M. Baptista","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","964","1990","10","31","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001502","CRI001502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:19-03","UNESC","CRI","11172","PreservedSpecimen","Plantae","Bignoniaceae","Amphilophium","crucigerum","Amphilophium crucigerum","(L.) L.G.Lohmann",NA,"J. Durigon","722","2011","11","11","Brasil","Rio Grande do Sul","Lindolfo Collor","estrada para Ivoti.","-51.216389","-29.581944","51º12'59''W","29º34'55''S","34","34","Habito: trepadeira com gavinhas","CRI001501","CRI001501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 15:16:31-03","UNESC","CRI","13582","PreservedSpecimen","Plantae","Bignoniaceae","Amphilophium","crucigerum","Amphilophium crucigerum","(L.) L.G.Lohmann","Renato Colares & Aline Votri Guislon","Alexandre Medeiros",NA,"2017","06","26","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Fruto verde. Coleta 570. Habito: Trepadeira","CRI012189",NA,"2018","07","20","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:36:29-03","E","E","202690","PreservedSpecimen","Plantae","Bignoniaceae","Pithecoctenium","crucigerum","Pithecoctenium crucigerum",NA,NA,"Simon, M.F.; Lima, J.C.M.; Eiten, G.; de Carvalho, A.M.","148","1999","02","10","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202690 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202690",NA,NA,NA,NA,NA,NA,"E. Tropical South America","fruit collection/cone collecti","BGBASE:216387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:36:29-03","E","E","202681","PreservedSpecimen","Plantae","Bignoniaceae","Pithecoctenium","crucigerum","Pithecoctenium crucigerum",NA,NA,"Simon, M.F.; Lima, J.C.M.; Eiten, G.; de Carvalho, A.M.","148","1999","02","10","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202681",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:216397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","569053","PreservedSpecimen","Plantae","Bignoniaceae","Amphilophium","crucigerum","Amphilophium crucigerum","(L.) L.G.Lohmann",NA,"T. S. dos Santos","574","1970","02","05","Brazil","Bahia",NA,"Coaraci, Almadina, 18 km de estrada.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=279165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569053","NY00569053_01",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1128334","PreservedSpecimen","Plantae","Bignoniaceae","Amphilophium","crucigerum","Amphilophium crucigerum","(L.) L.G.Lohmann",NA,"G. Eiten","4627B","1962","05","19","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Balsas & Parnaíba Rivers. By main house of Fazenda Morros, ca. 35 km south of Lorêto.","-45.07","-7.38",NA,NA,"300","300","Part 2 of 2 pts. [Barcode 00859807 of NYBG Herbarium with same collection and locality information is determined as Diplopterys lutea (Griseb.) W. R. Anderson & C. Cav. Davis] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1278610' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128334","NY01128334_01",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
