"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","locality","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"16","2021-03-01 16:18:54-03","UNICAMP","UEC","185759","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2014","Campos-Rocha, A; Borchsenius Kristensen, F; Saka, MN","Brazil","Bahia","Ilhéus","-39.273972","-15.012297",NA,NA,"herbácea bulbosa, ca. 20-25 cm de altura, folhas eventualmente com máculas alvo-esverdeadas adaxialmente, flores lilases, alvas na base; coletado estéril, floração em cultivo (24-II-2015)",NA,"1494","2014","10","28",NA,"Fazenda Ponta Grossa, mata à margem da Lagoa Encantada",NA,"UEC109151","UEC109151","62","62","10","28","-39.273972","-15.012297",NA
"17","2021-03-01 16:18:54-03","UNICAMP","UEC","185757","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2014","Campos-Rocha, A; Borchsenius Kristensen, F; Saka, MN","Brazil","Bahia","Itacaré","-39.167383","-14.560078",NA,NA,"herbácea bulbosa, ca. 20 cm de altura, folhas eventualmente com máculas alvo-esverdeadas adaxialmente, flores lilases, alvas na base; coletado estéril, floração em cultivo (19-XII-2014)",NA,"1492","2014","10","27",NA,"estrada para Taboquinhas, seringal",NA,"UEC109149","UEC109149","60","60","10","27","-39.167383","-14.560078",NA
"18","2021-03-01 16:18:54-03","UNICAMP","UEC","185755","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2014","Campos-Rocha, A; Meerow, A; Lima, DAV","Brazil","Bahia","Ituberá","-39.303858","-14.337578",NA,NA,"herbácea bulbosa, ca. 20-35 cm de altura, folhas eventualmente com máculas alvo-esverdeadas adaxialmente, flores lilases, alvas na base; coletado estéril, floração em cultivo (13-XI-2014)",NA,"1480","2014","10","07",NA,"Reserva Ecológica Michelin, Trilha das Andorinhas, próximo ao rio Mariana",NA,"UEC109147","UEC109147","97","97","10","07","-39.303858","-14.337578",NA
"19","2021-03-01 16:18:54-03","UNICAMP","UEC","185670","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2012","Campos-Rocha, A","Brazil","Bahia","Itapebi","-39.5339012145996","-15.9507999420166","43726",NA,"herbácea bulbosa, ca. 20 cm de altura, folhas com máculas róseas adaxialmente, flores alvas na base e lilases no ápice","auto","833","2012","02","03",NA,"em cultivo no Jardim Botânico Plantarum",NA,"UEC109177","UEC109177",NA,NA,"12","03",NA,NA,NA
"20","2021-03-01 16:18:54-03","UNICAMP","UEC","185655","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2015","Kirizawa, M","Brazil","Bahia","Una","-39.0752983093262","-15.2932996749878","36070",NA,"folhas verde-escuras, pontuadas de branco, carnosas, . Pedúnculo ereto-encurvado. Flores alvo-lilases, alvo externamente, ovário verde, brilhante.","auto","3373","1998","12","18",NA,"Reserva Biológica do Mico-leão (IBAMA) doada ao SP por André Carvalho em 1998, floresceu em cultivo no IBt",NA,"UEC109180","UEC109180",NA,NA,"06",NA,NA,NA,NA
"21","2021-03-01 16:18:54-03","UNICAMP","UEC","185674","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2013","Campos-Rocha, A; Meerow, A; Dutilh, JHA; Garcias, N","Brazil","Espírito Santo","Jaguaré","-40.076099395752","-18.9055995941162","43085",NA,"herbácea bulbosa, ca. 25 cm de altura, flores alvas na base e lilases no ápice","auto","1089","2013","01","23",NA,"em cultivo em propriedade particular no município de Mogi das Cruzes - SP",NA,"UEC109181","UEC109181",NA,NA,"01","23",NA,NA,NA
"22","2021-03-01 16:18:54-03","UNICAMP","UEC","185665","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Campos-Rocha, A","2013","Campos-Rocha, A; Shimizu, GH; Saka, MN","Brazil","Espírito Santo","Jaguaré","-40.076099395752","-18.9055995941162","43085",NA,"herbácea bulbosa, ca. 20-30 cm de altura, folhas com máculas verde-claro adaxialmente, flores alvas na base e lilases no ápice, frutos imaturos esverdeados","auto","1367","2013","12","15",NA,"em cultivo em propriedade particular, proveniente da localidade de Caximbau, Jaguaré - ES",NA,"UEC109170","UEC109170",NA,NA,"12","15",NA,NA,NA
"23","2019-08-20 09:58:56-03","UNICAMP","UEC","171094","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E.Morren","Dutilh, JHA","2014","Dutilh, JHA","Brazil","São Paulo","Campinas","-47.060001373291","-22.8999996185303","23900",NA,NA,"auto","s.n.","2000","04","07",NA,"Cultivada, sem procedência.",NA,"UEC045171","UEC045171",NA,NA,"03",NA,NA,NA,NA
"24","2020-04-27 16:08:29-03","UFES","VIES","8412","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","Alves-Araújo, A.","2013","Pereira, O.J.; Gomes, J.M.L. & Simões, J.M.","Brasil","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094",NA,NA,"auto","4055","1992","10","20",NA,"Comboios.",NA,"VIES008412","VIES008412",NA,NA,"04","05",NA,NA,NA
"25","2019-06-27 10:23:49-03","UFES","VIES","16719","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren",NA,NA,"Pereira, O.J.; Espindula, E.","Brasil","Espírito Santo","Santa Maria de Jetibá","-40.7461013793945","-20.040599822998","31867",NA,NA,"auto","6525","2000","10","30",NA,"Rio Santa Maria da Vitória.",NA,"VIES016719","VIES016719",NA,NA,NA,NA,NA,NA,NA
