"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-04-05 14:24:50-03","UNESC","CRI","13303","PreservedSpecimen","Plantae","Apocynaceae","Temnadenia","odorifera","Temnadenia odorifera","(Vell.) J.F.Morales","Peterson T. Padilha","2018","03","21","Alexandre Medeiros","822","2017","12","03","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro","-48.585","-27.023333","48º35'6''W","27º1'24''S","Flores brancas e lilás. Habitat: Terrestre Habito: Trepadeira","CRI011910","CRI011910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:50-03","UNESC","CRI","13756","PreservedSpecimen","Plantae","Apocynaceae","Temnadenia","odorifera","Temnadenia odorifera","(Vell.) J.F.Morales","Alexandre Medeiros","2018","07","09","Alexandre Medeiros","926","2018","07","09","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Fruto de cor castanho Habitat: Terrestre Habito: Trepadeira","CRI012363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:50-03","UNESC","CRI","3571","PreservedSpecimen","Plantae","Apocynaceae","Temnadenia","odorifera","Temnadenia odorifera","(Vell.) J.F.Morales","Marcos Sobral","1995","01","01","Maria Costa Rebelo; C. Londero",NA,"1994","09","18","Brasil","Santa Catarina","Jaguaruna","Morro Bonito - Sítio do Sr. Luiz Patrício.","-49.025833","-28.615556","49º1'33''W","28º36'56''S","Habitat: mata Atlântica (formação terras baixas) Habito: trepadeira","CRI000517","CRI000517","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:12-03","E","E","202691","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","hirsuta","Mandevilla hirsuta",NA,NA,NA,NA,NA,"Simon, M.F.; Lima, J.C.M.; Eiten, G.; de Carvalho, A.M.","182","1999","02","13","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202691",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:216389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:36:12-03","E","E","205491","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","hirsuta","Mandevilla hirsuta",NA,NA,NA,NA,NA,"De Carvalho, V.M.; Farias, R.; Milhomens Fonseca, L.C.; Potzernheim, M.L.; Proença, C.; Cardoso Rosa, L.O.G.; de Carvalho, A.M.; de Carvalho, J.A.","26","1998","09","08","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00205491 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205491",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:218453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:12-03","E","E","105126","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","tomentosa","Mandevilla tomentosa",NA,NA,NA,NA,NA,"Glaziou, M.",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00105126 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00105126",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:114208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4194835","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","hirsuta","Mandevilla hirsuta","(Rich.) K.Schum.",NA,NA,NA,NA,"J. J. Pipoly","9119","1986","12","04","Guyana","Essequibo Islands-West Demerara",NA,"Area W of Demerara River, N and S of Wales.","-58.18","6.67",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4517332' target='other'> <mi>dwc_moreinfo</mi></a>","NY04194835",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4194785","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","hirsuta","Mandevilla hirsuta","(Rich.) K.Schum.",NA,NA,NA,NA,"J. A. Steyermark","104489","1970","12","22","Venezuela","Bolívar",NA,"selva húmeda de los árboles con un promedio de 25-30 metros de altura, en el drenaje del Río Cuyuní, al sur de El Dorado",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4517282' target='other'> <mi>dwc_moreinfo</mi></a>","NY04194785",NA,"1300","1380","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1183195","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","hirsuta","Mandevilla hirsuta","(Rich.) K.Schum.","F. Markgraf",NA,NA,NA,"G. T. Prance","5875","1968","07","12","Brazil","Rondônia",NA,"0-3 km. west of rio Madeira along road Abunã, to Rio Branco. Secondary forest on terra firme.","-65.4583696","-9.6680864",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1420039' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183195","NY01183195_01 NY01183195_02",NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1183277","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","hirsuta","Mandevilla hirsuta","(Rich.) K.Schum.","F. Markgraf",NA,NA,NA,"H. S. Irwin","12664","1966","02","12","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1421720' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183277","NY01183277_01","1000","1000","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
