"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","infraspecificEpithet","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"11","2020-12-20 21:16:31-03","UFV","VIC","39939","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera rubra","(A.F.H. Buining & Bredoree) P.J.","Santos, M.R.",NA,"Brasil","Minas Gerais","Campo rupestre.","Ciliindrico, alongado a globoso, sobre areia ou rocha.","VIC039939","Santos, M.R.","2011","07","15","124","2011","07","15","Penha do França",NA,NA,NA,"VIC039939",NA,"rubra",NA,NA,NA,NA,NA
"12","2020-12-20 21:16:31-03","UFV","VIC","39948","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera rubra","(A.F.H. Buining & Bredoree) P.J.","Santos, M.R.",NA,"Brasil","Minas Gerais","Campo rupestre.","Cilindrico, alongado a globoso,sobre areia ou rocha.","VIC039948","Santos, M.R.","2011","07","15","125","2011","07","15","Penha do França",NA,NA,NA,"VIC039948",NA,"rubra",NA,NA,NA,NA,NA
"13","2020-12-20 21:16:31-03","UFV","VIC","39950","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera rubra","(A.F.H. Buining & Bredoree) P.J.","Santos, M.R.",NA,"Brasil","Minas Gerais","Campo rupestre.","Cilindrico ,alongado a globoso, sobre areia ou rocha.","VIC039950","Santos, M.R.","2011","07","15","s.n.",NA,NA,NA,"Penha do França",NA,NA,NA,"VIC039950",NA,"rubra",NA,NA,NA,NA,NA
"14","2020-12-20 21:16:31-03","UFV","VIC","39951","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera rubra","(A.F.H. Buining & Bredoree) P.J.","Santos, M.R.",NA,"Brasil","Minas Gerais","Campo rupestre.","Cilindrico, alongado a globoso, sobre areia ou rocha","VIC039951",NA,NA,NA,NA,"125-a","2011","07","15","Penha do França",NA,NA,NA,NA,NA,"rubra",NA,NA,NA,NA,NA
"15","2021-03-04 11:06:37-03","UFRB","HURB","112","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera","(Backeb. & Voll) Buining","Aona, L.Y.S.; Moraes, E.M.; Silva, S.R.; Rodrigues, G. Resende, F.O.",NA,"Brasil","Minas Gerais","Varjão, Santa Joana-1","STJ-1.","HURB000000112",NA,NA,NA,NA,"3575","2014","07","27","Itamarandiba","-42.814222","-18.022639",NA,NA,NA,NA,"Anthophyta","42°48'51,2W","18°01'21,5S","974","974"
"16","2021-03-04 11:04:47-03","UFRB","HURB","7136","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera","(Backeb. & Voll) Buining","Teixeira, V.D.",NA,"Brasil","Minas Gerais","Troma D'anta;","células de mucilagem sobre cada costela, tricomas marrons-esbranquiçados.","HURB000007136",NA,NA,NA,NA,"6","2012","09","15","Itamarandiba","-42.9225","-18.007778",NA,NA,NA,NA,NA,"42º55'21W","18º00'28S",NA,NA
"17","2020-06-15 15:29:46-03","UNESP-RC","HRCB","13047","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera","(Backeb. & Voll) Buining","Eggli, U.",NA,"Brasil","Minas Gerais",NA,"very frequent, mostly in full sun, with many seedlings and young plants. Seedlings globular, older plant shrtly cerois, to 60 cm high (and thne often slghtly leaning to one side, and with neotonic off",NA,NA,NA,NA,NA,"1062","1988","08","04","Itamarandiba","-42.8588981628418","-17.8572006225586","39586",NA,"auto",NA,NA,NA,NA,"950","950"
"18","2020-06-15 15:29:46-03","UNESP-RC","HRCB","13049","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera","(Backeb. & Voll) Buining","Eggli, U.",NA,"Brasil","Minas Gerais",NA,"few plants, mostly hidden at the base of large Vellozias or bromeliads, few seedilngs. Flowers golden yellow, larger than typical Uebelmannia gummifera. Plant body with jelly ducts. Distribuited as Ue",NA,NA,NA,NA,NA,"1069","1988","08","04","Itamarandiba","-42.8588981628418","-17.8572006225586","39586",NA,"auto",NA,NA,NA,NA,"850","850"
"19","2021-03-15 18:26:23-03","USP","SPF","209296","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera","(Backeb. & Voll) Buining","Antar, GM; et al.",NA,"Brasil","Minas Gerais","Serra do Ambrósio, Vargem do anjo, virando para Mato Virgem.","Planta ca. 20 cm alt. Flores amareladas.; Campo rupestre. Solo arenoso seco.","SPF00209296","Antar, GM","2013","08",NA,"194","2013","06","21","Rio Vermelho","-43.03725","-18.144139",NA,NA,NA,NA,NA,"-43.03725","-18.144139","1008","1008"
"20","2019-11-13 11:17:26-03","USP","SPF","49364","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera","(Backeb. & Voll) Buining","Zappi, DC",NA,"Brasil","Minas Gerais","Pedra Menina",NA,"SPF00049364","Zappi, DC","1990","06",NA,"CFCR11821","1988","03","06","Rio Vermelho","-42.1","-18.566667",NA,NA,NA,NA,NA,"-42.1","-18.566667","1270","1270"
"21","2019-11-13 11:17:26-03","USP","SPF","33324","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera","(Backeb. & Voll) Buining","Giulietti, AM",NA,"Brasil","Minas Gerais","Pedra Menina",NA,"SPF00033324","Anônimo",NA,NA,NA,"CFCR4511","1984","07","15","Rio Vermelho","-43.0092010498047","-18.2936000823975","26996",NA,"auto",NA,NA,NA,NA,NA,NA
"22","2019-11-01 14:55:53-03","UnB","UB","119052","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera","(Backeb. & Voll) Buining","Splett, S","Southern America","Brasil","Minas Gerais","Ca. de 100km ao nordeste de Diamantina",NA,NA,NA,NA,NA,NA,"854","1995","03","11","Penha da França","-43.083333","-18.083333",NA,NA,NA,NA,"Dicotyledoneae","-43.083333","-18.083333",NA,NA
"23","2019-10-03 10:03:31-03","UFSCar","SORO","4554","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera gummifera","Uebelmannia gummifera gummifera","(Backeb. & Voll) Buining","Moraes, E. M.; Nascimento, C. S. I.; Madia, F. A. R.",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"2011","07","13","Tromba D'anta","-42.96375","-18.016833",NA,NA,NA,NA,NA,"42°57'49,5''W","18°01'00,6''S","1118","1118"
"24","2019-10-03 10:03:31-03","UFSCar","SORO","4551","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera meninensis","Uebelmannia gummifera meninensis","(Buining) P. J. Braun & Esteves","Moraes, E. M.; Nascimento, C. S. I.; Madia, F. A. R.",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"2011","07","14","Pedra Menina","-43.0445","-18.13625",NA,NA,NA,NA,NA,"43°02'40,2''W","18°08'10,5''S","811","811"
"25","2019-10-03 10:03:31-03","UFSCar","SORO","4552","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera meninensis (rubra)","Uebelmannia gummifera meninensis (rubra)",NA,"Moraes, E. M.; Nascimento, C. S. I.; Madia, F. A. R.",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"2011","07","15","Penha de França","-43.069694","-18.092417",NA,NA,NA,NA,NA,"43°04'10,9''W","18°05'32,7''S","1091","1091"
"26","2019-11-21 10:03:02-03","IBt","SP","199344","S","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera","(Backeb. & Voll) Buining","Giulietti, AM; Harley, RM; Wanderley, MGL; Varanda, E; Furlan, A",NA,"Brasil","Minas Gerais","Pedra Menina, Morro do Ambrósio",NA,NA,NA,NA,NA,NA,"CFCR4511","1984","07","15","Rio Vermelho","-43.0092010498047","-18.2936000823975","26996",NA,"auto",NA,NA,NA,NA,NA,NA
