"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","continentOcean","barcode","imagecode","class","typeStatus","individualCount","minimumElevationInMeters"
"1","2021-03-16 17:54:13-03","UCS","HUCS","8657","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Dyckia","irmgardiae","Dyckia irmgardiae","L. B. Smith","Spencer, M.A.","1992","11","Wasum, R.A.","s.n.","1992","09","27","Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869","30776","No campo, junto às rochas","auto",NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:19:23-03","MBM","MBM","158994","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","irmgardiae","Dyckia irmgardiae","L.B.Sm.","Spencer, M.A.",NA,NA,"Wasum, R.; et al.; et al.","8657","1992","09","27","Brazil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869","30776","Terrícola.","auto","Southern America","MBM158994","MBM158994",NA,NA,NA,NA
"3","2015-01-25 12:34:00-02","MO","MOBOT","2452935","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","irmgardiae","Dyckia irmgardiae","L.B. Sm.",NA,NA,NA,"Lyman B. Smith|et al.","Smith s.n.","1964","11","20","Brazil","Rio Grande do Sul",NA,"Caracol",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2457547","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Dyckia","irmgardiae","Dyckia irmgardiae","L.B. Sm.",NA,NA,NA,"L. B. Smith, R. C. Smith & T. Schultz","s.n.","1964","11","20","Brazil",NA,NA,NA,NA,NA,NA,"Two sheets, USNH 2457546 & 2457547, are labeled as sheet 1 and sheet 2, respectively; unclear whether these are holotype & isotype, or holotype mounted on 2 sheets.",NA,"South America - Neotropics","US01094594","US01094594_01","Monocotyledonae","Isotype","1",NA
"5","2020-09-12 05:00:02-03","US","US","3227484","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Dyckia","irmgardiae","Dyckia irmgardiae","L.B. Sm.",NA,NA,NA,"R. Wasum & et al.",NA,"1992","9","27","Brazil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869","30776",NA,"auto","South America - Neotropics","US01935354","US01935354_01","Monocotyledonae",NA,"1","1050"
"6","2020-09-12 05:00:02-03","US","US","2457546","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Dyckia","irmgardiae","Dyckia irmgardiae","L.B. Sm.",NA,NA,NA,"L. B. Smith, R. C. Smith, T. Schultz & -. Oyara","s.n.","1964","11","20","Brazil","Rio Grande do Sul",NA,"Caracol.",NA,NA,NA,NA,NA,"South America","US00089061","US00089061_01","Monocotyledonae","Holotype","1",NA
"7","2021-02-08 12:50:44-03","UFRGS","ICN","004111","S","Plantae","Monocotyledon",NA,"Bromeliaceae","Dyckia","irmgardiae","Dyckia irmgardiae","L.B.Sm.","Baptista, LRM",NA,NA,"Schultz, AR","4111","1966","10","14","Brasil","RS","Canela","Caracol","-50.815601348877","-29.3656005859375","16452","Espécie ameaçada de extinção (Em perigo).","auto","América do Sul","ICN00029996",NA,NA,NA,NA,NA
"8","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","93452","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","irmgardiae","Dyckia irmgardiae","L.B. Sm.","Strehl, T.",NA,NA,"Strehl, T.","s.n.","2006","10",NA,"Brasil","Rio Grande do Sul","Canela",NA,"-50.815601348877","-29.3656005859375","16452",NA,"auto",NA,"HAS0093452",NA,NA,NA,NA,NA
"9","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","66488","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","irmgardiae","Dyckia irmgardiae","L.B. Sm.",NA,NA,NA,"Strehl, T.","1337","1994","10",NA,"Brasil","Rio Grande do Sul","Canela","Canela, Cascata do Caracol","-50.815601348877","-29.3656005859375","16452","gravatá; Floresceu em cultivo.","auto",NA,"HAS0066488",NA,NA,NA,NA,NA
"10","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","66521","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","irmgardiae","Dyckia irmgardiae","L.B. Sm.","Strehl, T.",NA,NA,"Strehl, T.","1275","1995","01",NA,"Brasil","Rio Grande do Sul","Canela","Canela, no barranco acima da Cascata do Caracol","-50.815601348877","-29.3656005859375","16452","Te 161","auto",NA,"HAS0066521",NA,NA,NA,NA,NA
