"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:26:13-03","UNESC","CRI","11603","PreservedSpecimen","Plantae","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers","A. L. de Gasper","2009","01","22","A.L. de Gasper; S. Dreveck & F.E. Carneiro","2010","2009","01","22","Brasil","Santa Catarina","Irani","Lajeado Cordeiro.","-51.93","-27","51º55'48''W","27º0'0''S","102","102","Floresta Ombrófila Mista Habitat: banhado Habito: arbórea","CRI008563","CRI008563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:15-03","UNESC","CRI","4129","PreservedSpecimen","Plantae","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers","Marcos Sobral",NA,NA,NA,"V. Boff",NA,"1995","09","08","Brasil","Santa Catarina","Fraiburgo",NA,"-50.922222","-27.023333","50º55'20''W","27º1'24''S",NA,NA,NA,"CRI007914","CRI007914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:13-03","UNESC","CRI","11600","PreservedSpecimen","Plantae","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers","M. Verdi","2010","11","24","M. Verdi; E. M. Martins e O. N. Veiga","5559","2010","08","27","Brasil","Paraná","Guaratuba","Morro dos Perdidos / APA Estadual de Guaratuba.","-48.966667","-25.868889","48º58'0''W","25º52'8''S","954","954","Floresta Ombrófila Densa","CRI008773","CRI008773",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:15-03","UNESC","CRI","8540","PreservedSpecimen","Plantae","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers","M. Verdi","2009","01","21","M. Verdi; R.P. Hascker & G. Klemz","1355","2009","01","21","Brasil","Santa Catarina","Anita Garibaldi","Arrozal.","-51.162778","-27.633333","51º9'46''W","27º38'0''S",NA,NA,"Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista","CRI007913","CRI007913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:13-03","UNESC","CRI","11770","PreservedSpecimen","Plantae","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers","M. Verdi","2010","03","08","M. Verdi; N. L. de Souza & D. H. Klettenberg","3817","2010","03","08","Brasil","Santa Catarina","Urubici","RPPN Leão da Montanha.","-49.375","-28.01","49º22'30''W","28º0'36''S","105","105","Floresta Ombrófila Mista","CRI008779","CRI008779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:15-03","UNESC","CRI","10349","PreservedSpecimen","Plantae","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers",NA,NA,NA,NA,"Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete",NA,"2000","01","01","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,NA,"CRI007915","CRI007915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:15-03","UNESC","CRI","3991","PreservedSpecimen","Plantae","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow; J. L. Waechter, M. H. A. Oliveira e Souza & J. F. Prado","1320","1989","09","09","Brasil","Rio Grande do Sul","Cambará do Sul","borda do Planalto na orla da estrada Cambará- Praia Grande.","-50.145","-29.048333","50º8'42''W","29º2'54''S","1019","1019","Habitat: mata nebular Habito: arbusto","CRI007917","CRI007917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:26:13-03","UNESC","CRI","11602","PreservedSpecimen","Plantae","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers","A. Korte","2010","10","14","A. Korte; A. Kniess","4147","2010","08","19","Brasil","Santa Catarina","Joinville","Serra Queimada.","-49.049722","-26.100278","49º2'59''W","26º6'1''S","116","116","Floresta Ombrófila Densa Alto Montana Habitat: interior do fragmento Habito: arvoreta","CRI008561","CRI008561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:13-03","UNESC","CRI","12193","PreservedSpecimen","Plantae","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers","Korte. A","2009","11","28","Korte, A; Kiniess, A",NA,"2009","11","28","Brasil","Santa Catarina","Alfredo Wagner","Soldadinho.","-49.410833","-27.629167","49º24'39''W","27º37'45''S",NA,NA,"Doação Herbário Furb (17150) Habito: Arbóreo","CRI010371","CRI010371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:15-03","UNESC","CRI","6275","PreservedSpecimen","Plantae","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers","Vanilde C. Zanette",NA,NA,NA,"Átila Portal",NA,"1997","01","15","Brasil","Santa Catarina","Praia Grande","Beira Canyon Malacara.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","1010","1010",NA,"CRI007919","CRI007919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
