"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1017514","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.","P. G. Delprete","G. Gottsberger","63-10966","1966","09","10","South America","Brazil","Rio de Janeiro","Serra da Mantiqueira, Macico de Itatiaia, National Park, Prateleiras.","-44.83","-22.42","2400","2700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214952' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017514","NY01017514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","880190","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.",NA,"S. J. da Silva Neto","1873","2005","06","23","South America","Brazil","Rio de Janeiro","Parque Nacional de Itatiaia. Prateleiras, vertente sudeste das Prateleiras.","-44.5633010864258","-22.4960994720459","2400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880190","NY00880190_01","Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","397614","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.","J. H. Kirkbride Jr.","G. Eiten","6581","1965","11","04","South America","Brazil","Rio de Janeiro","Planalto. East slope of south end of rock outcrop, Prateleiras","-44.5633010864258","-22.4960994720459","2300","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=140639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397614","NY00397614_01","Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:50-03","UFRJ","RFA","22841","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hindsia","itatiaiae","Hindsia itatiaiae","Dusén","A. Curt Brade","F. Segadas-Vianna","40","1943","06",NA,NA,"Brasil","Rio de Janeiro","Caminho das Prateleiras","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RFA18735",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:50-03","UFRJ","RFA","22840","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hindsia","itatiaiae","Hindsia itatiaiae","Dusén","A. Curt Brade","F. Segadas-Vianna","40b","1943","06",NA,NA,"Brasil","Rio de Janeiro","Caminho das Prateleiras","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RFA18734",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:50-03","UFRJ","RFA","22842","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hindsia","itatiaiae","Hindsia itatiaiae","Dusén","A. Curt Brade","F. Segadas-Vianna","40a","1943","06","00",NA,"Brasil","Rio de Janeiro","Caminho das Prateleiras","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RFA18736",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:39:34-03","UNICAMP","UEC","175514","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.","Meireles, LD","Meireles, LD; Nunes, JA; Castanho, GG","2382","2006","06","07",NA,"Brazil","Minas Gerais","Serra fina, Pedra da Mina,","-44.847861","-22.414056",NA,NA,NA,"Arbustocom cc.50, cm flores roxas.","UEC021338","UEC021338","Passa Quatro",NA,NA,"2009","-44.847861","-22.414056",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:39:34-03","UNICAMP","UEC","175515","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.",NA,"Meireles, LD; Nunes, JA; Cordeiro, TR","1700","2005","05","16",NA,"Brazil","Minas Gerais","Serra fina, Pedra da Mina,","-44.847833","-22.421194",NA,NA,NA,"Subarbusto, flores roxa, frutos secos.","UEC021337","UEC021337","Passa Quatro",NA,NA,NA,"-44.847833","-22.421194",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:39:34-03","UNICAMP","UEC","175516","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.",NA,"Meireles, LD; Nunes, JA; Cordeiro, TR","1634","2005","05","15",NA,"Brazil","Minas Gerais","Serra fina, Pedra da Mina,","-44.847861","-22.414056",NA,NA,NA,"Subarbusto, cc. 40cm, flores vináceas,","UEC021340","UEC021340","Passa Quatro",NA,NA,NA,"-44.847861","-22.414056",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:39:34-03","UNICAMP","UEC","175517","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.","Meireles, LD","Meireles, LD; Nunes, JA; Neto, JOC","3131","2007","04","24",NA,"Brazil","Minas Gerais","Serra fina, Pedra da Mina,","-44.893222","-22.442056",NA,NA,NA,"Arbusto, cc. 30cm, flor violeta.","UEC021339","UEC021339","Passa Quatro",NA,NA,"2009","-44.893222","-22.442056",NA,NA,NA,NA,NA,NA
"11","2020-06-29 09:31:59-03","UFRRJ","RBR","24761","S","Plantae",NA,NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.",NA,"F.R. Di-Maio","132","1995","06","10",NA,"Brasil","Rio de Janeiro","Parque Nacional, Vertente SE da Serra das Prateleiras 2200 m. s. m.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RBR00024761",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 09:31:59-03","UFRRJ","RBR","24762","S","Plantae",NA,NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.",NA,"F.R. Di-Maio","135","1996","04","18",NA,"Brasil","Rio de Janeiro","Parque Nacional, vertentes SE da Serra das Prateleiras, 2200 m s m.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RBR00024762",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:43:28-03","MBM","MBM","406601","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K. Schum.","Völtz, R.R.","Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","958","2016","09","05","Southern America","Brazil","São Paulo","Serra Fina, região da Pedra da Mina","-44.823611","-22.433056","2480","2480",NA,"Arvoreta 1 m alt; botões e flores azuladas; fisionomia herbáceo-arbustiva de encosta rochosa.; Refúgio Vegetacional Altomontano.","MBM406601","MBM406601","Queluz",NA,NA,"2016","-44.823611","-22.433056","09","14",NA,NA,NA,NA
"14","2020-12-21 16:43:28-03","MBM","MBM","144487","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K. Schum.","Smith, S.F.","Hatschbach, G.; Hatschbach, M.; Guimarães, D.; Hatschbach, M.; Guimarães, D.","55489",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Parque Nacional do Caparaó, Vale Encantado","-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"MBM144487","MBM144487","Caparaó","15056","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-11-06 14:39:44-02","MNHN","RECOLNAT_MNHN_P","P01900512","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.",NA,"Glaziou, A.",NA,"1871","6","5",NA,"Brésil",NA,"Province de Rio Janeiro, Itatiaia",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01900512' target='other'> <mi>dwc_moreinfo</mi></a>","P01900512","P01900512_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","4834",NA,NA
"16","2015-11-06 14:45:55-02","MNHN","RECOLNAT_MNHN_P","P01900513","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.",NA,"Glaziou, A.",NA,"1871","6","5",NA,"Brésil",NA,"Province de Rio Janeiro, Itatiaia",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01900513' target='other'> <mi>dwc_moreinfo</mi></a>","P01900513","P01900513_01",NA,NA,NA,NA,NA,NA,NA,NA,"type","4834",NA,NA
"17","2021-02-11 17:21:33-03","UFPR","UPCB","89881","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K.Schum.","Völtz, R.R.","Völtz, R.R. | Brotto, M.L.","958","2016","09","05",NA,"Brasil","São Paulo","Serra Fina, região da Pedra da Mina","-44.823611","-22.432778","2480","2480",NA,"Arvoreta 1 m alt; botões e flores azuladas; fisionomia herbáceo-arbustiva de encosta rochosa..","UPCB0028250","UPCB0028250","Queluz",NA,NA,"2016","-44.823611","-22.432778","09",NA,NA,NA,NA,NA
"18","2018-08-29 14:45:00-03","MO","MOBOT","3138596","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hindsia","glabra","Hindsia glabra","K. Schum.","S.F. Smith","Gert G. Hatschbach|Maria M. Hatschbach|D.D. Guimarães","Hatschbach 55489","1991","6","14","South America","Brazil","Minas Gerais","Parque Nacional do Caparaó, Vale Encantado",NA,NA,"2100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
