"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","typeStatus","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","786948","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi","E. J. Judziewicz","P. K. H. Dusén","10478","1910","10","25","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786948","NY00786948_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","786947","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi","E. J. Judziewicz","J. C. Lindeman","2488","1966","09","16","South America","Brazil","Paraná",NA,"Vicinity of Vila Velha","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786947","NY00786947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","786946","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi",NA,"J. R. Swallen","8480","1946","02","06","South America","Brazil","Paraná",NA,"Fazenda de Criacao, Ponta Grossa",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786946","NY00786946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:20:43-03","UNICAMP","UEC","17136","S","Plantae","Liliopsida",NA,"Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi","Clayton, WD","Hatschbach, G","12825","1965","09","29",NA,"Brazil","Paraná","Ponta Grossa","Parque Vila Velha.","-50.1618995666504","-25.0949993133545",NA,"Do campo.","UEC056430","UEC056430","1966","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-06 09:57:08-03","UFOP","OUPR","20081","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Ness ex Trin.) Parodi",NA,"Borges, R.A.X.","74","2004","05","08",NA,"Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco","-43.607778","-20.505",NA,"Erva, n.19. Campo sujo próximo a mata de galeria",NA,NA,NA,NA,NA,"-43.607778","-20.505","1105","1105",NA,NA,NA,NA
"6","2020-12-21 16:40:52-03","MBM","MBM","100","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","repandum","Paspalum repandum","Nees","Clayton, W.D.","Hatschbach, G.","12823","1965","09","29","Southern America","Brazil","Paraná","Ponta Grossa","Parque Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"MBM000100","MBM000100",NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:41:06-03","MBM","MBM","224624","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi","Longhi-Wagner, H.","Dombrowski, L.T.","6668","1976","11","09","Southern America","Brazil","Paraná","Lapa",NA,"-49.7158012390137","-25.7696990966797",NA,"Em campo. Pouco frequente.","MBM224624","MBM224624","2008","49965","auto",NA,NA,NA,NA,"10",NA,NA,NA
"8","2020-12-21 16:41:06-03","MBM","MBM","208926","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi","Dombrowski, L.T.","Dombrowski, L.T.","13334",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Fazenda Santa Rita","-50.0064010620117","-25.4293994903564",NA,NA,"MBM208926",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:41:06-03","MBM","MBM","208927","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi","Dombrowski, L.T.","Dombrowski, L.T.","14077",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,"MBM208927",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:41:06-03","MBM","MBM","27201","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi","Valls, J.F.M.","Hatschbach, G.","32956",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Fazenda Cambiju","-50.1618995666504","-25.0949993133545",NA,NA,"MBM027201","MBM027201",NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:41:06-03","MBM","MBM","99","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi","Clayton, W.D.","Hatschbach, G.","12825","1965","09","29","Southern America","Brazil","Paraná","Ponta Grossa","Parque Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"MBM000099","MBM000099",NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:41:06-03","MBM","MBM","208925","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi","Renvoize, S.A.","Dombrowski, L.T.","6518",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Próximo a Furnas","-50.1618995666504","-25.0949993133545",NA,NA,"MBM208925",NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:41:06-03","MBM","MBM","208924","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi","Renvoize, S.A.","Dombrowski, L.T.","6468",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Próximo de Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"MBM208924",NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:41:06-03","MBM","MBM","10623","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Thrasyopsis","repanda","Thrasyopsis repanda","(Nees) Parodi","Lindeman, J.","Lindeman, J.; et al.; et al.","2488",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"MBM010623","MBM010623",NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA
