"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","verbatimLongitude","verbatimLatitude","relatedCatalogItem","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","787110","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","ionanthum","Paspalum ionanthum","Chase","J. R. Swallen","7285","1945","11","02","South America","Brazil","Rio Grande do Sul","Instituto Agronomico do Sul, Pelotas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787110","NY00787110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-28 14:35:00-03","NY","NYBG","787111","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","ionanthum","Paspalum ionanthum",NA,"F. O. Zuloaga","5373","1996","04","11","South America","Argentina","Corrientes","De Santo Tomé a Virasoro, Ruta Nac. 14","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108197' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787111",NA,"O. Morrone","Santo Tome","-56.1","-28.18","60","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","787108","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","ionanthum","Paspalum ionanthum","Chase","J. da Costa Sacco","234","1954","12","01","South America","Brazil","Rio Grande do Sul","I.A.S. - Pelotas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787108","NY00787108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","787109","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","ionanthum","Paspalum ionanthum","Chase","J. R. Swallen","7215","1945","10","27","South America","Brazil","Rio Grande do Sul","Instituto Agronomico do Sul, Pelotas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=108198' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787109","NY00787109_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:54:05-03","EAO","IAN","103998","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","guaraniticum","Paspalum guaraniticum","Parodi","Sacco, JC da","234","1954","11","12",NA,NA,NA,NA,NA,NA,"IAN103998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:54:05-03","EAO","IAN","69416","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","guaraniticum","Paspalum guaraniticum","Parodi","Black, GA; Parodi, L","11584","1951","03","12","Southern America","Argentina",NA,"Universidade Nacional; ex Horto L. Parodi.",NA,NA,"IAN069416",NA,"Parodi, LH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296205","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","guaraniticum","Paspalum guaraniticum","Parodi","Pedersen TM",NA,"1974","12","05","Southern America","Argentina",NA,"Estancia 'Buena Vista', Dep. Concepcion, Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296205 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296205","NL-L1296205",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:19:22-03","NBC","NL-BOTANY","U.1520792","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","guaraniticum","Paspalum guaraniticum","Parodi","Ullmann; et al.",NA,"1972","10","14","Southern America","Brazil",NA,"Pelotas - Rio Grande do Sul, RS: pelotas, ''campus'' Ipeas-Ufpel.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1520792 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1520792","NL-U1520792",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:19:22-03","NBC","NL-BOTANY","U.1520900","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","guaraniticum","Paspalum guaraniticum","Parodi","Petersen TM",NA,"1951","12","15","Southern America","Argentina",NA,"Estancia santa Teresa, Dep. Mburucuyá, Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1520900 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1520900","NL-U1520900",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:19:22-03","NBC","NL-BOTANY","U.1520901","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","guaraniticum","Paspalum guaraniticum","Parodi","Petersen TM",NA,"1954","02","03","Southern America","Argentina",NA,"Estancia Santa Maria, Dep. Mburucuyá, Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1520901 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1520901","NL-U1520901",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:19:27-03","NBC","NL-BOTANY","L 0819918","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","ionanthum","Paspalum ionanthum","Chase","Hassler E",NA,"1913","01","01","Southern America","Paraguay","Central",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200819918 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0819918","NL-L0819918","Henrard JT",NA,"-57.35","-25.3",NA,NA,"Magnoliopsidae","type","-57.35","-25.3","9208616",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:19:27-03","NBC","NL-BOTANY","L.1296075","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","ionanthum","Paspalum ionanthum","Chase","Pedersen TM",NA,"1976","11","13","Southern America","Brazil",NA,"Plantas Brasilienses. Rio Grande do Sul, mun. Julio de Castilhos: BR 158, between Abacatu and Vendo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296075 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296075","NL-L1296075",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:19:27-03","NBC","NL-BOTANY","L.3800753","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","ionanthum","Paspalum ionanthum","Chase","Rua GH; Gróttola MC; Frank LG",NA,"1996","03","23","Southern America","Argentina",NA,"prov. Corrientes, ruta 123.1 km al W de Chavarria.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3800753 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3800753","NL-L3800753",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:19:27-03","NBC","NL-BOTANY","L.3877731","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","ionanthum","Paspalum ionanthum","Chase","Rua GH; Gróttola MC; Frank LG",NA,"1996","03","10","Southern America","Paraguay",NA,"Dpto. Crodillera, sitio rocoso al N de Piribebuy, aproc a 3 km de la ruta 2.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3877731 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3877731","NL-L3877731",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:19:27-03","NBC","NL-BOTANY","WAG.1394275","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","ionanthum","Paspalum ionanthum","Chase","Pedersen TM",NA,"1976","11","13","Southern America","Brazil",NA,"Plantas Brasilienses. Rio Grande do Sul, mun. Julio de Castilhos: BR 158, between Abacatu and Vendo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1394275 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1394275","NL-WAG1394275",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:19:27-03","NBC","NL-BOTANY","L.3811972","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","ionanthum","Paspalum ionanthum guaraniticum",NA,"Pedersen TM",NA,"1982","10","28","Southern America","Argentina",NA,"Estancia La Yela. dep. Empedrado, prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3811972 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3811972","NL-L3811972",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"guaraniticum",NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:19:27-03","NBC","NL-BOTANY","WAG.1394276","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","ionanthum","Paspalum ionanthum guaraniticum",NA,"Pedersen TM",NA,"1982","10","28","Southern America","Argentina",NA,"Estancia La Yela. dep. Empedrado, prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1394276 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1394276","NL-WAG1394276",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,"guaraniticum",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 12:18:51-03","ESALQ","ESA","49906","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Paspalum","ionanthum","Paspalum ionanthum","Chase","Sacco, J.C.","233.0","1992","03","01",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,"ESA049906","ESA049906","Canto-Dorow, T.","Pelotas","-52.3424987792969","-31.771900177002",NA,NA,NA,NA,NA,NA,NA,NA,"51462","auto",NA,NA,NA,NA,NA
"19","2020-11-04 12:18:51-03","ESALQ","ESA","49907","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Paspalum","ionanthum","Paspalum ionanthum","Chase","Sacco, J.C.","232.0","1992","07","01",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,"ESA049907","ESA049907","Canto-Dorow, T.","Pelotas","-52.3424987792969","-31.771900177002",NA,NA,NA,NA,NA,NA,NA,NA,"51462","auto",NA,NA,NA,NA,NA
"20","2020-11-04 12:18:51-03","ESALQ","ESA","49909","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Paspalum","ionanthum","Paspalum ionanthum","Chase","Sacco, J.C.","234.0","1992","07","01",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,"ESA049909","ESA049909","Canto-Dorow, T.","Pelotas","-52.3424987792969","-31.771900177002",NA,NA,NA,NA,NA,NA,NA,NA,"51462","auto",NA,NA,NA,NA,NA
"21","2019-02-15 11:48:16-02","IPA","IPA","20650","S","Plantae","Plantae",NA,"Poaceae","Paspalum","guaraniticum","Paspalum guaraniticum","Parodi","Morais; Moretti; Murat; Nobre et Tabim; Moretti; Murat; Nobre et Tabim","37","1972","10","20","Southern America","Brasil","Rio Grande do Sul","Campu IPEAS-UFPEL",NA,"Abundate, solo areno-argiloso.","IPA0020650",NA,NA,"Pelotas","-52.3424987792969","-31.771900177002",NA,NA,NA,NA,NA,NA,NA,NA,"51462","auto",NA,NA,NA,NA,NA
