"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","532853","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.","R. T. Pennington","J. G. Kuhlmann","528","1927","09","29","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Hôrto Florestal","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532853","NY00532853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00981997","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.","R. T. Pennington","J. G. Kuhlmann","s.n.","1938","11","08","South America","Brazil","Paraná",NA,"Pandia, Calogeras, Fazenda São José.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981997","NY00981997_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","532855","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.","R. T. Pennington","G. T. Prance","59051","1964","09","17","South America","Brazil","Distrito Federal","Brasília","Grounds of Cia Fercal, 20 km. E of Brasília","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532855","NY00532855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","5110","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.",NA,"A. C. V. Schott","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Tinagua.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00005110","NY00005110_01","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","532856","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.","R. T. Pennington","J. G. Kuhlmann","29",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Paty do Alferes","Avellar","-43.4183","-22.4286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532856","NY00532856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","532854","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.","R. T. Pennington","J. G. Kuhlmann","528","1927","09","29","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Hôrto Florestal","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532854","NY00532854_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","532857","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.","H. C. de Lima","H. F. Martins","335","1963","09","03","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, estrada Vista Chinesa, Km. 5","-43.278912","-22.969605","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532857","NY00532857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01132036","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.",NA,"H. C. de Lima","6483","2006","12","13","South America","Brazil","Rio de Janeiro","Nova Iguaçú","Rebio do Tinguá, Boa Esperança, cerca de 1 km. após o portão da Rebio.","-43.4508","-22.7594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287148' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132036","NY01132036_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","684643","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.","R. T. Pennington","N. D. d. Cruz","13","1960","07","26","South America","Brazil","São Paulo","Ubatuba","Proximo a base Norte do Instituto Oceanografico","-45.0697","-23.4303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684643","NY00684643_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1039102","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.","R. T. Pennington","T. S. Pereira","6","1992","11","12","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso, Arredores do CPRJ. Área FP12.","-42.88333","-22.48333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1481812' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039102","NY01039102_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 11:30:21-03","UFRJ","RFA","39539","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.","R. D. Ribeiro","Finotti R.; Caruzo J.","5",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Antigo assentamento do INCRA","-42.845833","-22.577222",NA,"Arvore de 12 metros de altura e PAP de 73,5 cm.","RFA24502",NA,NA,"42º50'45''W","22º34'38''S","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:30:21-03","UFRJ","RFA","29164","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.","Lima, H.C.","Folli, D.A.","164","1979","11","08",NA,"Brasil","Espírito Santo","Linhares","Estrada da Gávea ant. X-2, ao lado da torre. Reseva Florestal da CVRD","-40.0722007751465","-19.3910999298096",NA,"Árvore ca. 25m de altura e fuste de ca. 15m, DAP 81cm, diam. da copa ca. 20m. Com flor rosa e botão marrom. Fuste cilíndrico e casca lisa","RFA43820",NA,NA,NA,NA,NA,NA,"1990","48094","auto",NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:11:31-03","NBC","NL-BOTANY","L 0573979","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Andira","ormosioides","Andira ormosioides","Benth.",NA,"Pennington RT; Carvalho FA de",NA,"1991","06","20","Southern America","Brazil","Bahía",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200573979 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0573979",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"14","2020-11-04 11:08:24-03","ESALQ","ESA","101239","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Andira","ormosioides","Andira ormosioides",NA,NA,"Neto, E.T.","3643.0","2003","10","20",NA,"Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,"ESA101239","ESA101239",NA,NA,NA,NA,NA,NA,"16300","auto",NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:08:24-03","ESALQ","ESA","111897","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Andira","ormosioides","Andira ormosioides",NA,"Scalon, V.R.","Augustin, J.O.",NA,"2001","11","10",NA,"Brasil","Minas Gerais","Descoberto",NA,"-42.9674987792969","-21.4596996307373",NA,NA,"ESA111897","ESA111897",NA,NA,NA,NA,NA,NA,"11991","auto",NA,NA,NA,NA,NA,NA
