"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","imagecode","identifiedBy","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","typeStatus","eventTime","fieldNumber","infraspecificEpithet","relatedCatalogItem","sex"
"1","2020-09-23 10:36:37-03","E","E","144264","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","Harley, R.M.; Mayo, S.J.; Storr, R.M.; Santos, T.S. & Pinheiro, R.S.","18641","1977","02","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:153114","<a href=http://data.rbge.org.uk/herb/E00144264 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00144264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:37-03","E","E","102319","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.",NA,"1998","11","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110610","<a href=http://data.rbge.org.uk/herb/E00102319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:37-03","E","E","102300","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.",NA,"1998","11","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110645","<a href=http://data.rbge.org.uk/herb/E00102300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:37-03","E","E","55821","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","Ratter, J.A.; Bridgewater, S.; Fonsêca Filho, J. & Lima, J.C.M.",NA,"1997","10","31","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:62999","<a href=http://data.rbge.org.uk/herb/E00055821 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:36:37-03","E","E","102320","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.",NA,"1998","11","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110599","<a href=http://data.rbge.org.uk/herb/E00102320 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:37-03","E","E","161918","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","Melo & Franca",NA,"1991","01","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170329","<a href=http://data.rbge.org.uk/herb/E00161918 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:36:37-03","E","E","102321","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","Bridgewater, S., Ratter, J.A. & Filho, J.F.",NA,"1998","11","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110586","<a href=http://data.rbge.org.uk/herb/E00102321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00858104","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","P. Clausen",NA,"1840","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858104","Magnoliophyta","Boraginales","Cham.","Minas Gerais","NY00858104_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","448583","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","R. M. Harley","15225","1972","01","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=74608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448583","Magnoliophyta","Boraginales","Cham.","Bahia","NY00448583_01","C. Grey-Wilson","On road to Abaira ca. 8 km to N of the town of Rio de Contas","-41.78","-13.55","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","448574","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","G. Gardner","1082","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=74626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448574","Magnoliophyta","Boraginales","Cham.",NA,"NY00448574_01 NY00448574_02",NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02862387","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","G. Martinelli","17888","2013","02","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3270518' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862387","Magnoliophyta","Boraginales","Cham.","Piauí","NY02862387_01",NA,"Parque Nacional da Serra das Confusões. trilha entre o Lajedo do Canto Verde e a Lagoa do Jacu.","-43.4491666","-8.9005556","560","560","Caracol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-27 17:48:00-03","NY","NYBG","1144850","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","D. B. O. S. Cardoso","383","2005","03","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299474' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144850","Magnoliophyta","Boraginales",NA,"Bahia","NY01144850_01","M. N. Sánchez de Stapf","Rui Barbosa: Serra do Orobó. Trilha para o Pátio das Orquídeas.","-40.4875","-12.3025","477","477","Ruy Barbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","482690","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","G. E. Schatz","785","1983","03","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=74612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482690","Magnoliophyta","Boraginales","Cham.","Maranhão","NY00482690_01","J. A. Kallunki","Cachoerinha, 57 km SSW of Barra do Corda, along the Rio Corda","-45.37","-5.88",NA,NA,"Barra do Corda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-27 17:05:00-03","NY","NYBG","1462299","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","J. D. García-González","1194","2010","09","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1740776' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462299","Magnoliophyta","Boraginales",NA,"Pernambuco","NY01462299_01","J. D. García-González","Usina São José. Mata de Piedade, area protegida de propriedade de Usina São José.","-35","-7.83","100",NA,"Igarassu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-27 17:05:00-03","NY","NYBG","1016326","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","M. N. S. Stapf","237","2004","03","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146032' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016326","Magnoliophyta","Boraginales",NA,"Bahia","NY01016326_01","M. N. S. Stapf","Itatim: A 20 m da Ponte sob o Rio Paraguassú, na BR 101.","-39.48","-12.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","482689","PreservedSpecimen","Plantae","Boraginaceae","Cordia","superba","Cordia superba","T. C. Plowman","9159","1980","02","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=74611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482689","Magnoliophyta","Boraginales","Cham.","Tocantins","NY00482689_01","J. A. Kallunki","10 km north of Guaraí along Belém-Brasília highway (BR-153)","-48.52","-8.73","400","400","Guaraí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
