"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:48-03","E","E","346700","PreservedSpecimen","Plantae","Leguminosae","Senna","angulata","Senna angulata","possible type","Sellow, Friedrich","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:433392","<a href=http://data.rbge.org.uk/herb/E00346700 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00346700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","582605","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata angulata",NA,"H. C. de Lima","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=379216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582605","Magnoliophyta","Fabales","angulata","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","2832","1987","04","25","Rio de Janeiro","Saquarema","Praia de Itaunas","-42.5103","-22.9203","NY00582605_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00979862","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata angulata",NA,"H. S. Irwin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979862","Magnoliophyta","Fabales","angulata","(Vogel) H.S.Irwin & Barneby",NA,"30520","1971","01","16","Minas Gerais",NA,"Serra do Espinhaço, middle slopes of Serra da Piedade, ca. 40 km E. of Belo Horizonte, BR-31","-43.67613","-19.82237","NY00979862_01","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00979765","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"Martii Herbar. Florae Brasil.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979765","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"128",NA,NA,NA,"Rio de Janeiro",NA,"Prov. Sebastianopolis",NA,NA,"NY00979765_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00979813","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata angulata",NA,"E. Santos","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979813","Magnoliophyta","Fabales","angulata","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","1","1990","05","16","Minas Gerais",NA,"Est. Ecológica UFMG. 1a estaçao de coleta",NA,NA,"NY00979813_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","582603","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582603","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"16200","1967","03","20","Paraná","Campina","Mun. Campina Gde. do Sul. Serra Capivari Gde.",NA,NA,"NY00582603_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","582601","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"L. A. Mattos Silva","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582601","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","389","1979","05","18","Bahia","Belmonte","Km. 26 da Rod. Belmonte/Itapebi","-38.9843792","-16.0318701","NY00582601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 19:53:00-03","NY","NYBG","00979764","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"J. R. Pirani","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979764","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","2550","1989","10","24","Minas Gerais","Caparaó","Encosta da Serra do Caparão, abaixo do Parque Nacional","-41.9042","-20.5233","NY00979764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","582590","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"R. P. Belém","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582590","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"2448","1966","06","30","Bahia","Belmonte",NA,"-38.88","-15.86","NY00582590_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","582597","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata",NA,"H. C. de Lima","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582597","Magnoliophyta","Fabales",NA,"(Vogel) H.S.Irwin & Barneby",NA,"2844","1987","05","04","Rio de Janeiro","Maricá","Barra de Maricá, Sao José do Imbassaí. Estrada p/ Peixao","-42.8183","-22.9194","NY00582597_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","582593","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"S. A. Mori","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426135' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582593","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","11871","1979","05","17","Bahia","Santa Cruz Cabrália","Estrada velha para Sta. Cruz de Cabrália, entre a Estaçao Ecológica Pau-Brasil e Sta. Cruz de Cabrália","-39.1332364","-16.3567685","NY00582593_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","582602","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582602","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"16200","1967","03","20","Paraná","Campina","Mun. Campina Gde. do Sul. Serra Capivari Gde.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00979889","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"L. Riedel","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979889","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"161","1832","03",NA,NA,NA,"In sylv. montosis Serra Estrella",NA,NA,"NY00979889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
