"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","infraspecificEpithet","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00982484","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","acreana","Amburana acreana","(Ducke) A.C.Sm.","C. H. Stirton","M. G. da Silva","4800","1979","06","06","South America","Brazil","Mato Grosso","Juína","Aripuanã, Projeto Juína, ramal paralelo a BR-174, a partir do aeroporto","-58.7408","-11.3783","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982484","NY00982484_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01302068","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","acreana","Amburana acreana","(Ducke) A.C.Sm.","V. E. Rudd","C. A. Cid Ferreira","8980","1987","05","01","South America","Brazil","Rondônia","Alvorada d'Oeste","Linha 64, a 04 km da BR-429 em direção a Costa Marques.","-62.5","-11.416667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1583873' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00982459","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","acreana","Amburana acreana","(Ducke) A.C.Sm.","C. H. Stirton","M. G. da Silva","4800","1979","06","06","South America","Brazil","Mato Grosso","Juína","Aripuanã, Projeto Juína, ramal paralelo a BR-174, a partir do aeroporto","-58.7408","-11.3783","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982459","NY00982459_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","868764","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","acreana","Amburana acreana","(Ducke) A.C.Sm.","H. C. de Lima","K. Kainer","49",NA,NA,NA,"South America","Brazil","Acre","Xapuri","Seringal Cachoeira, Col. Chora Menino, Sucam 41","-68.5042","-10.6519","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868764","NY00868764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00868762","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","acreana","Amburana acreana","(Ducke) A.C.Sm.","R. C. Barneby; H. C. de Lima","D. C. Daly","6789","1991","05","29","South America","Brazil","Acre","Brasiléia","Seringal Porongaba, Colocaçào Sào José","-68.8","-10.85","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868762","NY00868762_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01302069","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","acreana","Amburana acreana","(Ducke) A.C.Sm.","W. Mantovani","S. Romaniuc Neto","687","1987","05","21","South America","Brazil","Rondônia",NA,"Eixo JP-14.","-61.83","-9.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1583878' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302069","NY01302069_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","33875","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Torresea","acreana","Torresea acreana","Ducke",NA,"W. A. Ducke","23769","1933","05",NA,"South America","Brazil","Acre","Xapuri","Seringal Tracema, Rio Acre","-68.13","-10.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=476335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00033875","NY00033875_01","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:41:13-03","EAO","IAN","141786","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Amburana","acreana","Amburana acreana","(Ducke) A.C.Sm.","Queiroz, LP de","Silva, NT da","3537a","1972","07","27","Southern America","Brasil","Acre",NA,"Seringal boa água. Mata de terra firme.",NA,NA,NA,"1-4-41. árvore de 21m e 101cm de diãmetro. Esteril.","IAN141786",NA,NA,"2007","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:41:13-03","EAO","IAN","146511","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Amburana","acreana","Amburana acreana","(Ducke) A.C.Sm.","Queiroz, LP de","Pena, BS","s.n.","1975","01","19","Southern America","Brasil","Acre",NA,"Rio Macacau, afluente do Rio Jaco.",NA,NA,NA,"Amostra química no. 356.; Árvore de 15m e 1.20m de circunferência. Estéril.","IAN146511",NA,NA,"2007","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:41:13-03","EAO","IAN","6188X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Amburana","acreana","Amburana acreana","(Ducke) A.C.Sm.",NA,"Silva, MG da; Rosário, CS","s.n.","1979","06","06","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN06188X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
