"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1487553","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","acrocarpum","Elaphoglossum acrocarpum","(Mart.) T.Moore","Determiner unspecified","W. Rodriguez","7855","2013","07","15","South America","Colombia","Caquetá","Florencia","Alto Gabinete, carretera antigua Florencia - Neiva.","-75.68056","1.88181","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2435483' target='other'> <mi>dwc_moreinfo</mi></a>","NY01487553","NY01487553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3815182","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","acrocarpum","Elaphoglossum acrocarpum","(Mart.) T.Moore",NA,"J. A. Steyermark","75656","1953","06","05","South America","Venezuela","Bolívar",NA,"Chimantá Massif. Estado Bolívar. Slopes of quebrada. Between Bluff Camp and low promontory north of Bluff Camp, along west-facing portion of Chimantá-tepuí (Torono-tepuí).",NA,NA,"1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4101579' target='other'> <mi>dwc_moreinfo</mi></a>","NY03815182","NY03815182_01","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3815180","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","acrocarpum","Elaphoglossum acrocarpum","(Mart.) T.Moore",NA,"J. A. Steyermark","1206","1955","03","01","South America","Venezuela","Bolívar",NA,"Chimantá Massif. Torono-tepuí. Clusia forest on slopes of Middle Falls of Rio Tirica below Summit Camp.",NA,NA,"1760","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4101577' target='other'> <mi>dwc_moreinfo</mi></a>","NY03815180","NY03815180_01","1880",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3815183","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","acrocarpum","Elaphoglossum acrocarpum","(Mart.) T.Moore",NA,"B. Maguire","27739","1948","12","17","South America","Venezuela",NA,NA,"Cerro Sipapo (Paráque), Territorio Amazonas. Phelps Camp to North Savanna.",NA,NA,"1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4101580' target='other'> <mi>dwc_moreinfo</mi></a>","NY03815183","NY03815183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1628590","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","acrocarpum","Elaphoglossum acrocarpum","(Mart.) T.Moore","J. T. Mickel","B. Maguire","33875","1952","12","17","South America","Venezuela","Bolívar",NA,"Ptari-tepuí, southwest slopes","-61.819188","5.760962","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1604173' target='other'> <mi>dwc_moreinfo</mi></a>","NY01628590","NY01628590_01","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3815173","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","acrocarpum","Elaphoglossum acrocarpum","(Mart.) T.Moore",NA,"J. A. Steyermark","107347","1973","05","04","South America","Venezuela","Bolívar",NA,"Sierra Pakaraima: Cabeceras del Río Paragua (Agua-pira), a lo largo de la frontera Venezolana-Brasilera.","-63","3.67","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4101570' target='other'> <mi>dwc_moreinfo</mi></a>","NY03815173","NY03815173_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3815178","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","acrocarpum","Elaphoglossum acrocarpum","(Mart.) T.Moore",NA,"J. A. Steyermark","107347","1973","05","04","South America","Venezuela","Bolívar",NA,"Sierra Pakaraima: Cabeceras del Río Paragua (Agua-pira), a lo largo de la frontera Venezolana-Brasilera.","-63","3.67","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4101575' target='other'> <mi>dwc_moreinfo</mi></a>","NY03815178","NY03815178_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3815179","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","acrocarpum","Elaphoglossum acrocarpum","(Mart.) T.Moore",NA,"R. L. Liesner","21738","1987","03","07","South America","Venezuela","Amazonas",NA,"Dpto. Atures. Along stream on plateau north of unnamed 1760 m peak, 9 km NW of settlement of Yutaje, 4 km W of Rio Coro-Coro, W of Serranía de Yutaje.","-66.17","5.68","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4101576' target='other'> <mi>dwc_moreinfo</mi></a>","NY03815179","NY03815179_01","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","891473","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","acrocarpum","Elaphoglossum acrocarpum","(Mart.) T.Moore",NA,"G. G. Hatschbach","36449","1975","02","24","South America","Brazil","Minas Gerais","Diamantina","BR 269, Km 10.","-43.6003","-18.2494",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891473","NY00891473_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3815176","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","acrocarpum","Elaphoglossum acrocarpum","(Mart.) T.Moore",NA,"B. Maguire","27739","1948","12","17","South America","Venezuela",NA,NA,"Cerro Sipapo (Paráque), Territorio Amazonas. Phelps Camp to North Savanna.",NA,NA,"1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4101573' target='other'> <mi>dwc_moreinfo</mi></a>","NY03815176","NY03815176_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
