"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","dayIdentified","typeStatus","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","00942128","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Akrosida","macrophylla","Akrosida macrophylla","(Ulbr.) Fryxell & Fuertes","J. Fuertes Aguilar","M. Kuhlmann","s.n.","1939","04","22","South America","Brazil","Minas Gerais","Serraria da Serra, Fazenda Córrego Alegre.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942128","NY00942128_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:12:48-03","ESALQ","ESA","33840","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Abutilon","clausenii","Abutilon clausenii",NA,"Esteves, G.L.","Árbocz, G.F. Koch, I.; Macias, L.; Goldenberg, R.; Belinello, R.","2840.0","1996","05","25",NA,"Brasil","São Paulo",NA,NA,NA,"ESA033840","ESA033840","São Francisco dos Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 09:30:45-03","UFRRJ","RBR","37608","S","Plantae",NA,NA,"Malvaceae","Akrosida","macrophylla","Akrosida macrophylla","(Ulbr.) Fryxell & Fuertes","T.A. Amorim","E. Ule","3660","1895","04","12",NA,"Brasil","Rio de Janeiro","Perto de Nova Friburgo.",NA,NA,"RBR00037608","RBR00037608","Nova Friburgo","2018","08","23","Isotipo","-42.5311012268066","-22.2819004058838","33190","auto",NA,NA
"4","2019-11-13 11:24:42-03","USP","SPF","116321","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","claussenii","Abutilon claussenii","Krapov.","Esteves, GL","Árbocz, GF","2840","1996","05","25",NA,"Brasil","São Paulo","Margem da estrada para São Francisco dos Campos.",NA,NA,"SPF00116321","SPF00116321","Piquete","1999","06",NA,NA,"-45.1699981689453","-22.6100006103516","13434","auto",NA,NA
"5","2020-07-23 10:20:56-03","IBt","SP","79665","S","Plantae",NA,NA,"Malvaceae","Akrosida","macrophylla","Akrosida macrophylla","(Ulbr.) Fryxell & Fuertes","Esteves, GL","Kuhlmann, M; Gehrt, A","s.n.","1939","04","22",NA,"Brasil","Minas Gerais","Fazenda Corrego Alegre",NA,NA,NA,NA,"Serraria da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-23 10:20:56-03","IBt","SP","76562","S","Plantae",NA,NA,"Malvaceae","Akrosida","macrophylla","Akrosida macrophylla","(Ulbr.) Fryxell & Fuertes","Esteves, GL","Kuhlmann, M","2391","1950","06","06",NA,"Brasil","Minas Gerais","São Francisco dos Campos",NA,NA,NA,NA,"Delfim Moreira","2001",NA,NA,NA,"-45.2799987792969","-22.5091991424561","20219","auto",NA,NA
"7","2020-07-23 10:20:56-03","IBt","SP","46869","S","Plantae",NA,NA,"Malvaceae","Akrosida","macrophylla","Akrosida macrophylla","(Ulbr.) Fryxell & Fuertes","Esteves, GL","Kuhlmann, M; Kuehn, E","1209","1942","05","09",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"Lindóia","2001",NA,NA,NA,"-46.6500015258789","-22.5200004577637","6377","auto",NA,NA
"8","2020-07-23 10:20:56-03","IBt","SP","356739","S","Plantae",NA,NA,"Malvaceae","Akrosida","macrophylla","Akrosida macrophylla","(Ulbr.) Fryxell & Fuertes","Esteves, GL","Nicolau, SA; et al.","2461","2000","06","23",NA,"Brasil","São Paulo","Bairro do Ribeirão Grande, Fazenda São Sebastião do Ribeirão Grande, trilha da plataforma",NA,NA,NA,NA,"Pindamonhangaba","2005","09",NA,NA,"-45.4599990844727","-22.9200000762939","24176","auto",NA,NA
"9","2020-07-23 10:20:56-03","IBt","SP","310528","S","Plantae",NA,NA,"Malvaceae","Akrosida","macrophylla","Akrosida macrophylla","(Ulbr.) Fryxell & Fuertes","Esteves, GL","Cordeiro, I; et al.","1313","1994","03","30",NA,"Brasil","São Paulo","Ribeirão Grande, Fazenda São Sebastião do Ribeirão Grande, beira de rio",NA,NA,NA,NA,"Pindamonhangaba","2011","05",NA,NA,"-45.4599990844727","-22.9200000762939","24176","auto","900","900"
"10","2020-07-23 10:20:56-03","IBt","SP","299523","S","Plantae",NA,NA,"Malvaceae","Akrosida","macrophylla","Akrosida macrophylla","(Ulbr.) Fryxell & Fuertes","Esteves, GL","Árbocz, GF; et al.","2840","1996","05","25",NA,"Brasil","São Paulo","Margem da estrada para São Francisco dos Campos",NA,NA,NA,NA,"Piquete","2000",NA,NA,NA,"-45.1699981689453","-22.6100006103516","13434","auto",NA,NA
