"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","02320958","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","A. J. Henderson","2058","1995","12","06","South America","Trinidad and Tobago","Trinidad. Aripo Savanna","-61.193151","10.611195","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531154' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320958","NY02320958_01 NY02320958_02 NY02320958_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01136900","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","M. H. Nee","34853","1987","04","15","South America","Brazil","Along hwy. BR 364, 16 km. ENE of junction with hwy. BR 325, 19 km. (by air) ESE of Abuna. [In the field book of M. Nee's the hwy BR 325 of this locality was corrected to BR 425] (McNee's personal communication, 2010).","-65.18","-9.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1284102' target='other'> <mi>dwc_moreinfo</mi></a>","NY01136900","NY01136900_01 NY01136900_02","A. J. Henderson","Rondônia","Porto Velho","140","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01136895","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","A. J. Henderson","1713","1992","02","17","South America","Brazil","@5km W of Mancio Lima","-72.92","-7.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617943' target='other'> <mi>dwc_moreinfo</mi></a>","NY01136895","NY01136895_01","A. J. Henderson","Acre","Mâncio Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1075293","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","M. Pinard","855","1989","11","07","South America","Brazil","Seringal Cachoeira, 35 km south-south-east of Xapuri; 4 mins. east of house at Colocação Altamira near farina trail.","-68.5044","-10.6517","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299491' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075293",NA,NA,"Acre","Xapuri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 19:07:00-03","NY","NYBG","02320949","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"M. Huaman","280","2008","08","24","South America","Peru","Dist. Palcazú. Trayecto carretera Comunidad Nativa Santa Rosa de Chuchurras a Iscozacín.","-75.2625","-10.3219","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531145' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320949","NY02320949_01",NA,"Pasco","Oxapampa","370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 19:07:00-03","NY","NYBG","02320948","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"J. P. Janovec","1358","2000","09","14","South America","Ecuador","Nearest town: Sinti. Road E of Tena, along Río Napo, at Sinti Pueblo.","-77.67","-1.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531144' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320948","NY02320948_01",NA,"Napo",NA,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02622991","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","H. T. Beck","524","1987","11","15","South America","Brazil","Ilha de Marajó. Rio Anajás. Above the rio Cururu. Forest on river margin. overhanging water. Two individuals collected along margin of river. Common in groups along river, but patchy distribution along rio Anajás. Not seen in any quantity above the town","-50.183333","-0.7","wood sample","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2939251' target='other'> <mi>dwc_moreinfo</mi></a>","NY02622991",NA,NA,"Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02320935","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","W. D. Richardson","557","1959","02","13","South America","Trinidad and Tobago","Aripo Savanna.","-61.193151","10.611195","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531130' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320935","NY02320935_01",NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01136897","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","P. von Luetzelburg","22051",NA,NA,NA,"South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298765' target='other'> <mi>dwc_moreinfo</mi></a>","NY01136897","NY01136897_01",NA,"Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 19:07:00-03","NY","NYBG","02320973","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"J. G. Wessels Boer","661","1963","02","13","South America","Suriname","Brownsweg, near km 114","-55.17","4.92","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531181' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320973","NY02320973_01 NY02320973_02 NY02320973_03 NY02320973_04 NY02320973_05",NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
