"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","decimalLongitude","decimalLatitude","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","593450","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","G. H. Shimizu","H. M. de Souza","s.n.","1970","10","13","South America","Brazil","São Paulo","Jundiaí; nativa na Estaçao Experimental de Jundiaí (ex DEMA)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=283913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593450","NY00593450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","593454","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","H. F. Martins","M. Koscinsky","252",NA,NA,NA,"South America","Brazil","São Paulo","Serra do Japy","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593454","NY00593454_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","76909","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins",NA,"F. C. Hoehne","31011","1933","10","04","South America","Brazil","São Paulo","Cabreúva, S. Paulo. Arvore de Serra do Japy","sheet","date as: 4/10/933 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272273' target='other'> <mi>dwc_moreinfo</mi></a>","NY00076909","NY00076909_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","76908","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins",NA,"F. C. Hoehne","31011","1933","10","04","South America","Brazil","São Paulo","Cabreúva, S. Paulo. Arvore de Serra do Japy","sheet","date as: 4/10/933 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00076908","NY00076908_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","528871","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","M. C. H. Mamede","F. C. Hoehne","s.n.","1933","10","04","South America","Brazil","São Paulo","Cabreúva, Serra do Japy","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528871","NY00528871_01",NA,"Cabreúva","-47.13","-23.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:08:04-03","NBC","NL-BOTANY","U 0102697","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Mamede MCH","Hoehne FC",NA,"1933","10","04","Southern America","Brazil","São Paulo","BRASIL; Estado de São Paulo: Cabreúva, Serra do Japy.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102697 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102697","NL-U0102697","isotype",NA,NA,NA,"Magnoliopsidae","2000","10","01",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:08:04-03","NBC","NL-BOTANY","U 0102698","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Mamede MCH","Hoehne FC",NA,"1933","10","04","Southern America","Brazil","São Paulo","BRASIL; Estado de São Paulo: Cabreúva, Serra do Japy.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102698 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102698","NL-U0102698","isotype",NA,NA,NA,"Magnoliopsidae","2000","10","01",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:20:47-03","ESALQ","ESA","71392","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii",NA,NA,"Hoehne, F.C.",NA,"1933","03","04",NA,"Brasil","São Paulo",NA,NA,NA,"ESA071392",NA,NA,"Cabreúva","-47.1300010681152","-23.2999992370605",NA,NA,NA,NA,"16877","auto",NA,NA,NA,NA,NA
"9","2020-11-04 11:20:47-03","ESALQ","ESA","3606","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F. Martins","Shimizu, G.H.","Catharino, E.L.M.","863.0","1986","07","09",NA,"Brasil","São Paulo",NA,NA,NA,"ESA003606","ESA003606",NA,"Ipeúna","-47.7099990844727","-22.4300003051758",NA,"2011",NA,NA,"12906","auto",NA,NA,NA,NA,NA
"10","2015-07-02 14:04:31-03","JBP","HPL","12057","S","Plantae",NA,NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii",NA,"K. Yamamoto","J.B. Baitello","320","1989","09","24",NA,"Brasil","SP","Coletado na Serra do Japi, região de Hermida.",NA,NA,NA,NA,NA,"Jundiaí","-46.88","-23.18",NA,"2007","10","10","17840","auto",NA,NA,NA,NA,NA
"11","2021-03-01 16:43:02-03","UNICAMP","UEC","173836","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Martins, HF","Kuhlmann, M","903","1943","08","20",NA,"Brazil","São Paulo","Margem do Rio Camanducaia.",NA,"Árvore muito bonita.; Sobre pedras.","UEC089521","UEC089521",NA,"Amparo","-46.75","-22.7",NA,"1988",NA,NA,NA,NA,"-46.75","-22.7",NA,NA,NA
