"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","stateProvince","imagecode","maximumElevationInMeters","class","identifiedBy","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","3935411","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Polytaenium","feei","Polytaenium feei","(W.Schaffn. ex Fée) Maxon","J.-J. de Granville","8499","1986","01","09","South America","French Guiana","Pied du Mont Galbao. Crique Canal Panama. 10 km a l'ouest de S[rest of label cut off]","-53.28","3.62","180","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4219078' target='other'> <mi>dwc_moreinfo</mi></a>","NY03935411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03935409","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Polytaenium","feei","Polytaenium feei","(W.Schaffn. ex Fée) Maxon","J. A. Steyermark","89258","1961","02","05","South America","Venezuela","Cloud forest on summit of southeast-facing escarpment, east of Cerro El Picacho, N. of Las Nieves and Las Chicharras, 45 kms. N. of Tumeremo, vicinity of Deborah. Altiplanicie de Nuria. Just below summit.",NA,NA,"550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4218952' target='other'> <mi>dwc_moreinfo</mi></a>","NY03935409","Bolívar","NY03935409_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3935418","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Polytaenium","feei","Polytaenium feei","(W.Schaffn. ex Fée) Maxon","J.-J. de Granville","9024","1986","01","27","South America","French Guiana","Mont Galbao. Secteur Sud. Versant nord.","-53.33","3.58","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4219085' target='other'> <mi>dwc_moreinfo</mi></a>","NY03935418",NA,"NY03935418_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3935413","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Polytaenium","feei","Polytaenium feei","(W.Schaffn. ex Fée) Maxon","N. Marshall","134","1987","08","05","South America","French Guiana","Saul. In vicinity of village and airport.","-53.2","3.62","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4219080' target='other'> <mi>dwc_moreinfo</mi></a>","NY03935413",NA,"NY03935413_01","250",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3935412","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Polytaenium","feei","Polytaenium feei","(W.Schaffn. ex Fée) Maxon","B. M. Boom","10850","1994","09","13","South America","French Guiana","Säul [Saül] and vicinity: Mt. Galbao, SE peak. Mossy cloud forest on summit.","-53.27","3.58","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4219079' target='other'> <mi>dwc_moreinfo</mi></a>","NY03935412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3935419","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Polytaenium","feei","Polytaenium feei","(W.Schaffn. ex Fée) Maxon","G. S. Jenman","s.n.","1897",NA,NA,"South America","Guyana","British Guiana. Macouria Creek, Essequibo River.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4219086' target='other'> <mi>dwc_moreinfo</mi></a>","NY03935419",NA,"NY03935419_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3935410","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Polytaenium","feei","Polytaenium feei","(W.Schaffn. ex Fée) Maxon","W. Meier","4480","1999","01",NA,"South America","Venezuela","Estado: borde Aragua/Miranda: alrededores de Las Dolores: área boscosa al sur de la Loma de Hierro: remanente de bosque en la fila.","-67.1","10.1","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4219077' target='other'> <mi>dwc_moreinfo</mi></a>","NY03935410",NA,"NY03935410_01","1050",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3935416","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Polytaenium","feei","Polytaenium feei","(W.Schaffn. ex Fée) Maxon","J. T. Mickel","9525","1984","07","09","South America","Trinidad and Tobago","Trinidad. Aripo Cave trail.",NA,NA,"610","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4219083' target='other'> <mi>dwc_moreinfo</mi></a>","NY03935416",NA,"NY03935416_01",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 20:48:43-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","10321","S","Plantae","Tracheophyta","Polypodiales","Pteridaceae","Polytaenium","feei","Polytaenium feei","(W.Schaffn. ex Fée) Maxon","Granville, J.J. de","12115","1993","08","07","América do Sul","Suriname","arredores",NA,NA,NA,NA,"GEOGRAFIA: epiphyte de sous-bois;",NA,"Inselberg Talouakem",NA,NA,"Polypodiopsida","F.R. Nonato","Massif des Tumuc-Humac",NA,NA,NA,NA
"10","2021-04-05 09:59:25-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","10366","S","Plantae","Tracheophyta","Polypodiales","Pteridaceae","Polytaenium","feei","Polytaenium feei","(W.Schaffn. ex Fée) Maxon","Cremers G.","10330","1989","01","22","América do Sul","Guiana Francesa","arredores",NA,NA,NA,NA,"GEOGRAFIA: rhizome courtement rampant;",NA,"mont Atachi Bacca",NA,NA,"Polypodiopsida","F.R. Nonato","Région de l'Inini",NA,NA,NA,NA
"11","2021-03-24 17:09:50-03","UFES","SAMES","5909","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Polytaenium","feei","Polytaenium feei","(W.Schaffn. ex Fée) Maxon","Coelho,R.; Ribeiro,M.;Marcarini,L.","155","2012","01","12",NA,"Brasil","Reserva Biológica do Córrego Grande. Km 2 ao 4.","-39.7322006225586","-18.5932998657227",NA,NA,"Beira do corpo d#?#água. Habito: Erva epífita","SAMES05909","Espírito Santo",NA,NA,NA,NA,"Conceição da Barra","-398050000.0","-182625000.0","41644","auto"
