"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","coordinatePrecision","geoFlag","phylum","continentOcean","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","fieldNumber","preparationType","dayIdentified","class","order","typeStatus","individualCount","imagecode"
"1","2021-03-02 11:47:58-03","UNESP-IBB","BOTU","17293","PreservedSpecimen","Plantae","Poaceae","Chascolytrum","itatiaiae","Chascolytrum itatiaiae","(Ekman) Essi, Longhi-Wagner & Souza-Chies","Viana, P.L.","2008","11","Carmello, S.M.","68","1987","11","09","Brasil","São Paulo","Campos do Jordão","Pico do Itapeva e arredores. Campo rupestre.","-45.5","-22.751389","45°30'w","22°45'05s","BOTU017293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:32:00-03","UFRJ","RFA","30723","PreservedSpecimen","Plantae","Poaceae","Briza","itatiaiae","Briza itatiaiae","Ekman",NA,NA,NA,"K.T.Ribeiro","284",NA,NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Planalto do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"RFA31230","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:53:09-03","EAO","IAN","66779","PreservedSpecimen","Plantae","Poaceae","Briza","itatiaiae","Briza itatiaiae","Ekman",NA,NA,NA,"Kuhlmann, M","s.n.","1922","10","19","Brasil","Rio de Janeiro",NA,"Alto de Itatiaia.",NA,NA,NA,NA,"IAN066779",NA,NA,"Monocotiledônea","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:53:09-03","EAO","IAN","66906","PreservedSpecimen","Plantae","Poaceae","Briza","itatiaiae","Briza itatiaiae","Ekman","Chase",NA,NA,"Kuhlmann, M","s.n.","1922","10","19","Brasil","Rio de Janeiro",NA,"Alto de Itatiaia.",NA,NA,NA,NA,"IAN066906",NA,NA,"Monocotiledônea","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:42:09-03","UFJF","CESJ","70233","PreservedSpecimen","Plantae","Poaceae","Chascolytrum","itatiaiae","Chascolytrum itatiaiae","(Ekman) Essi; Longhi-Wagner & Souza-Chies","L.V.V. Cruz","2017",NA,"L.V.V. Cruz; S.G. Furtado; A. Magro; L. Menini Neto","201","2017","10","20","Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia, Circuito 5 Lagos","-45.163056","-22.617778","-45.163056","-22.617778","CESJ070233",NA,NA,"Angiosperma","América do Sul","2471","2471","Erva, frutos passados, circundando a 1° lagoa do circuito",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-25 12:12:28-03","UFSM","SMDB","18038","S","Plantae","Poaceae","Briza","itatiaiae","Briza itatiaiae","Ekman","Longhi-Wagner, HM","2016",NA,"Winge, H","1546","1981","01","09","Brasil","Rio de Janeiro","Parque Nac. Itatiaia",NA,NA,NA,NA,NA,"SMDB018038",NA,NA,NA,NA,NA,NA,"Com sementes, mais dois indivíduos coletadas. ICN 49094 /2",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-25 12:12:28-03","UFSM","SMDB","18052","S","Plantae","Poaceae","Briza","itatiaiae","Briza itatiaiae","Ekman","Longhi-Wagner, HM",NA,NA,"Winge, H","1545","1981","01","09","Brasil","Rio de Janeiro","Macieiras","Parque Nacional de Itatiaia",NA,NA,NA,NA,"SMDB018052",NA,NA,NA,NA,NA,NA,"Com sementes, mais dois indivíduos coletadas. ICN 49094 /1",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 12:21:48-03","MNHN","RECOLNAT_MNHN_P","P00506552","PreservedSpecimen",NA,"Poaceae","Briza","itatiaiae","Briza itatiaiae","Ekman","Essi",NA,NA,"Glaziou, A.",NA,"1873","1","23","Brésil",NA,NA,"Campos del Itatiaia",NA,NA,NA,NA,"P00506552",NA,NA,NA,NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00506552' target='other'> <mi>dwc_moreinfo</mi></a>","6774","hb",NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:45:18-03","UFMG","BHCB","137029","PreservedSpecimen","Plantae","Poaceae","Poidium","itatiaiae","Poidium itatiaiae","(Ekman) Nicora & Rúgolo",NA,NA,NA,"Martins da Costa, IR; Borsali, EF; Miranda, MD; Toledo, MM","338","2010","03","09","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Trilha do Pico da Bandeira.","-41.799444","-20.431389","-41.799444","-20.431389",NA,NA,NA,"Monocotyledon","Southern America","2635","2635","Coletada na trilha para o Pico da Bandeira, com inflorescências jovens e velhas. Ramos da inflorescência vináceo.",NA,NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","231784","PreservedSpecimen","Plantae","Poaceae","Briza","itatiaiae","Briza itatiaiae","Ekman",NA,NA,NA,"Per Dusén","Dusén 292","1902","5","19","Brazil","Minas Gerais",NA,"Serra do Itatiaia, in monticulo Serra da Pedra Assentada",NA,NA,NA,NA,NA,NA,NA,NA,"South America","2400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2014-02-23 21:21:00-03","MO","MOBOT","2703098","PreservedSpecimen","Plantae","Poaceae","Briza","itatiaiae","Briza itatiaiae","Ekman","L. Essi (ICN)",NA,NA,"Edmundo Pereira","Pereira 7059","1962","3","6","Brazil",NA,NA,"E. do Rio-Itatiaia-Planal",NA,NA,NA,NA,NA,NA,NA,NA,"South America","2200.00000000","2400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
