"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","locality","imagecode","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2020-09-23 10:44:28-03","E","E","210975","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","minor","Callisthene minor","Ratter, J.A.","8287","2000","08","07","E. Tropical South America","BR","Minas Gerais","herbarium specimen of unspecif","BGBASE:230881","<a href=http://data.rbge.org.uk/herb/E00210975 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00210975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","593447","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","minor","Callisthene minor","G. P. Lewis","CFCR7105","1984","12","17","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=283915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593447","Magnoliophyta","Myrtales","Mart.","F. França","Estrada Mucujê-Andaraí","NY00593447_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","593452","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","minor","Callisthene minor","J. A. Ratter","R.6522","1991","03","02","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=283919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593452","Magnoliophyta","Myrtales","Mart.",NA,"Fazenda Jatobá (Floryl S.A.), in Gerais area of Bahia, close to the Brasilia-Barreiros highway","NY00593452_01","-46","-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00922972","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","minor","Callisthene minor","R. de Mello-Silva","1047","1995","04","10","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003113' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922972","Magnoliophyta","Myrtales","Mart.","R. de Mello-Silva","10 km da Curvelo-Diamantina (BR-367), em estrada vicinal não pavimentada (MG220) em direção a Conselheiro Mata. Margens arenosas do riacho Trommba d'Anta.","NY00922972_01","-43.6003","-18.2494","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","593449","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","minor","Callisthene minor","G. G. Hatschbach","39951","1977","05","27","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=283916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593449","Magnoliophyta","Myrtales","Mart.","K. Yamamoto","Rio Itararé","NY00593449_01","-49.4633","-24.1131","Sengés",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","593453","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","minor","Callisthene minor","J. A. Ratter","R.6522","1991","03","02","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=283920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593453","Magnoliophyta","Myrtales","Mart.",NA,"Fazenda Jatobá (Floryl S.A.), in Gerais area of Bahia, close to the Brasilia-Barreiros highway","NY00593453_01","-46","-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02026589","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","minor","Callisthene minor","C. C. Berg","517","1977","10",NA,"South America","Brazil","Pará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165570' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026589","Magnoliophyta","Myrtales","Mart.",NA,"Serra dos Carajás, Serra Norte. Pacth of disturbed low forest near AMZA Exploration Camp","NY02026589_01","-50.25","-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","593451","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","minor","Callisthene minor","J. Cordeiro","1110","1993","10","21","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=283917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593451","Magnoliophyta","Myrtales","Mart.","G. G. Hatschbach","Canyon Rio Iapó, Guatelá","NY00593451_01","-50.4133","-24.5094","Tibagi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00922975","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","minor","Callisthene minor","G. G. Hatschbach","51653","1987","10","25","South America","Brazil","Mato Grosso do Sul","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922975","Magnoliophyta","Myrtales","Mart.","M. L. Kawasaki","Caracol, arredores.","NY00922975_01","-57.0242","-22.0142","Caracol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00922973","PreservedSpecimen","Plantae","Vochysiaceae","Callisthene","minor","Callisthene minor","H. S. Irwin","21080","1968","03","13","South America","Brazil","Tocantins","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922973","Magnoliophyta","Myrtales","Mart.","L. Marcano-Berti","Land of George Yunes & Cia., Rio das Lontras.","NY00922973_01","-48.22","-7.22","Araguaína","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
