"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","month","day","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","imagecode","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","class","order","verbatimLongitude","verbatimLatitude","typeStatus","previousCatalogNumber"
"1","2019-02-15 11:36:39-02","IPA","IPA","41469","S","Plantae","Plantae","Combretaceae","Combretum","rupicola","Combretum rupicola","Ridl.","Ridley; Léa; Ramalho; Léa; Ramalho","59","1837","Southern America","Brasil","Pernambuco","Ilha de Fernando de Noronha","East hills.","IPA0041469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:36:39-02","IPA","IPA","88651","S","Plantae","Plantae","Combretaceae","Combretum","rupicola","Combretum rupicola","Ridl.","Miranda, A.M.","3653","2000","Southern America","Brasil","Pernambuco","Fernando de Noronha","Morro do Francês","IPA0088651","Miranda, A.M.","2000","02","24","02","24","-32.4108009338379","-3.84028005599976","8269","Liana estolonífera; caule verde-amarronzado; folhas coriáceas; flores cremes; frutos imaturos verdes na maturação marrons.; Sobre rochas vulcânicas.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:36:39-02","IPA","IPA","88738","S","Plantae","Plantae","Combretaceae","Combretum","rupicola","Combretum rupicola","Ridl.","Miranda, A.M.","4215","2003","Southern America","Brasil","Pernambuco","Fernando de Noronha","Morro do Francês","IPA0088738","Miranda, A.M.","2003","10","15","10","15","-32.4108009338379","-3.84028005599976","8269","Liana; caule amarronzado; folhas coriáceas; inflorescência em botões esverdeados.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-21 19:33:43-03","UFC","EAC","61040","PreservedSpecimen","Plantae","Dicotyledon","Combretaceae","Combretum","rupicola","Combretum rupicola","Ridl.","Miranda, A.M.","4027","2002","Southern America","Brasil","Pernambuco","Fernando de Noronha","Morro do Francês.","EAC0061040","Miranda, A.M.","2002","10","01","10","01","-32.4108009338379","-3.84028005599976","8269","Liana estolonífera; caule amarronzado; folhas coriáceas; flores femininas, esverdeadas.; Sobre rochas vulcânicas de basalto.","auto","EAC0061040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-02 16:23:09-03","Cenargen","CEN","69739","PreservedSpecimen","Plantae",NA,"Combretaceae","Combretum","rupicola","Combretum rupicola","Ridl.","Aldicir Osni Scariot","77","1988",NA,"Brasil","PE","RECIFE","Entre o Morro 2 Abraços e Morro da Quixaba. Na altura da Baia da Viração.Território Federal de Fernando de Noronha.","CEN00069739",NA,NA,NA,NA,"07","28","-34.8810997009277","-8.05389022827148","18865",NA,"auto","CEN00069739","85","85","Unicata","1",NA,NA,NA,NA,NA,NA
"6","2019-11-13 11:18:01-03","USP","SPF","201650","PreservedSpecimen","Plantae",NA,"Combretaceae","Combretum","rupicola","Combretum rupicola","Ridl.","Miranda, AM","3634","1999",NA,"Brasil","Pernambuco","Fernando de Noronha","Morro do Francês","SPF00201650","Miranda, AM","1999","12","17","12","17","-32.4108009338379","-3.84028005599976","8269",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-18 17:22:43-03","UEFS","HUEFS","161259","PreservedSpecimen","Plantae","Angiospermae","Combretaceae","Combretum","rupicola","Combretum rupicola","Ridl.","Correia, C.","545","2010",NA,"Brasil","Pernambuco","Fernando de Noronha","Morro dos Francês.","HUEFS0161259",NA,NA,NA,NA,"04","12","-32.400278","-3.846389",NA,NA,NA,"HUEFS0161259","169","169",NA,NA,"Rosanae","Myrtales","32W24'1''","3S50'47''",NA,NA
"8","2019-10-18 17:22:43-03","UEFS","HUEFS","96514","PreservedSpecimen","Plantae","Angiospermae","Combretaceae","Combretum","rupicola","Combretum rupicola","Ridl.","Miranda, A.M.","3561","1999",NA,"Brasil","Pernambuco","Fernando de Noronha","Morro do Francês.","HUEFS0096514",NA,NA,NA,NA,"08","12","-32.4108009338379","-3.84028005599976","8269","Sobre rochas vulcânicas.","auto","HUEFS0096514",NA,NA,NA,NA,"Rosanae","Myrtales",NA,NA,NA,NA
"9","2019-10-07 09:33:47-03","UEFS","HUEFS","96513","PreservedSpecimen","Plantae","Angiospermae","Combretaceae","Combretum","rupicola","Combretum rupicola","Ridl.","Miranda, A.M.","3653","2002",NA,"Brasil","Pernambuco","Fernando de Noronha","Morro do Francês.","HUEFS0096513","C.A.Stace","2006","09",NA,"02","24","-32.4108009338379","-3.84028005599976","8269","Sobre rochas vulcânicas.","auto","HUEFS0096513",NA,NA,NA,NA,"Rosanae","Myrtales",NA,NA,NA,NA
"10","2019-10-18 17:22:43-03","UEFS","HUEFS","96515","PreservedSpecimen","Plantae","Angiospermae","Combretaceae","Combretum","rupicola","Combretum rupicola","Ridl.","Miranda, A.M.","3634","1999",NA,"Brasil","Pernambuco","Fernando de Noronha","Morro do Francês.","HUEFS0096515",NA,NA,NA,NA,"12","17","-32.4108009338379","-3.84028005599976","8269","Sobre rochas vulcânicas.","auto","HUEFS0096515",NA,NA,NA,NA,"Rosanae","Myrtales",NA,NA,NA,NA
