"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","individualCount","class","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2021-03-01 16:39:39-03","UNICAMP","UEC","83887","S","Plantae","Magnoliopsida","Rubiaceae","Manettia","pauciflora","Manettia pauciflora","Dusén","Macias, L","2001","08","Macias, L; Goldenberg, R; Koch, I; Árbocz, GF; Belinello, R","9672","1996","05","24","Brazil","Rio de Janeiro","Itatiaia","Estrada vicinal de acesso ao Pico das Agulhas Negras.","-44.5633010864258","-22.4960994720459","19648","Liana herbácea, volúvel, flores brancas com traços róseos, estígma a altura da fauce, anteras inclusas, frutos imaturos verdes e maduros marrons.; Mata de altitude.","UEC118701","UEC118701","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:39:39-03","UNICAMP","UEC","183573","S","Plantae","Magnoliopsida","Rubiaceae","Manettia","pauciflora","Manettia pauciflora","Dusén","Silveira, MF","2002","10","Parra, LR; Giulietti, AM; Sano, PT; Sztutman, M","s.n.","1995","06","04","Brazil","São Paulo","Cruzeiro","Alto do Pico Itaguaré. Limite entre os Estados de São Paulo e Minas Gerais.","-44.9599990844727","-22.5699996948242","17702","Planta trepadeira entre pedras. Cálice verde-claro. Corola alva com tubo com tricomas róseos na face externa, lobos com tricomas alvos. Anteras alvas. Frutos velhos.; Campo rupestre.","UEC107378","UEC107378","auto","2400","2400",NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-02-25 05:30:00-03","MO","MOBOT","3151317","PreservedSpecimen","Plantae",NA,"Rubiaceae","Manettia","pauciflora","Manettia pauciflora","Dusén","L. Macias",NA,NA,"Rosângela Simão-Bianchini|S. Bianchini","Simão-Bianchini 722","1995",NA,NA,"Brazil","Rio de Janeiro",NA,"Rio de Janeiro, municipio de Itatiaia. Entrada da Reserva do Itatiaia, divisa com MG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"4","2020-09-02 16:38:55-03","Cenargen","CEN","51766","PreservedSpecimen","Plantae",NA,"Rubiaceae","Manettia","pauciflora","Manettia pauciflora","Dusén","L. Macias","1996","07","Rosângela Simão-Bianchini","722","1995","06","18","Brasil","RJ","ITATIAIA","Entrada da Reserva do Itatiaia, divisa com MG.","-44.5633010864258","-22.4960994720459","19648","Trepadeira no interior da mata. Ramos jovens com ápice roxo e botões florais com interior vinho. Doação do Instituto de Botânica - SP. São Paulo.","CEN00051766","CEN00051766","auto",NA,NA,NA,"Exsicatas","1",NA,NA,NA,NA,NA
"5","2017-04-07 11:08:31-03","F","FMNH-SEEDPLANTS","V0422097F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Manettia","pauciflora","Manettia pauciflora",NA,NA,NA,NA,"Brade",NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0422097F","V0422097F_01",NA,NA,NA,"South America",NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"6","2017-04-07 11:08:31-03","F","FMNH-SEEDPLANTS","V0422098F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Manettia","pauciflora","Manettia pauciflora",NA,NA,NA,NA,"E. Pereira","7582","1963","3","13","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0422098F","V0422098F_01",NA,NA,NA,"South America",NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"7","2017-04-07 11:09:55-03","F","FMNH-SEEDPLANTS","V0422329F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Manettia","pauciflora","Manettia pauciflora",NA,NA,NA,NA,NA,"2704",NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0422329F","V0422329F_01",NA,NA,NA,"South America",NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"8","2020-02-20 14:37:25-03","IAC","IAC","44229","S","Plantae",NA,"Rubiaceae-207.Rubioideae-Spermacoceae","Manettia","pauciflora","Manettia pauciflora","Dusén","L. Macias","1996","07","R. Simão-Bianchini & S. Bianchini","722","1995","06","18","Brasil","Rio de Janeiro","Itatiaia","Entrada da Reserva do Itatiaia, divisa com MG","-44.5633","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02","-44.5633","-22.4961",NA
"9","2021-02-23 13:23:04-03","MN","R-TIPOS","86532","PreservedSpecimen","Plantae",NA,"Rubiaceae","Manettia","pauciflora","Manettia pauciflora","Dusén","Dusén, P.",NA,NA,"Ule, E.H.G.","s.n. [=136]","1894","03",NA,"Brasil","Rio de Janeiro","Itatiaia","Serra da Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,"R000086532","R000086532_001","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isosyntypus"
"10","2019-11-21 10:18:05-03","IBt","SP","287945","S","Plantae",NA,"Rubiaceae","Manettia","pauciflora","Manettia pauciflora","Dusén","Silveira, MF","2013","02","Simão Bianchini, R; Bianchini, S","722","1995","06","18","Brasil","Rio de Janeiro","Itatiaia","Entrada da Reserva do Itatiaia, divisa com MG","-44.5633010864258","-22.4960994720459","19648",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
