"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","yearIdentified","coordinatePrecision","geoFlag","class","infraspecificEpithet","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","615733","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","gertii","Myrceugenia gertii","Landrum","L. R. Landrum","G. G. Hatschbach","35725","1975","01","10","South America","Brazil","Paraná","Piraquara","-49.0631","-25.4419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615733","NY00615733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","615732","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","gertii","Myrceugenia gertii","Landrum","L. R. Landrum","G. G. Hatschbach","35717","1975","01","02","South America","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615732","NY00615732_01","Borda do Campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615734","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","gertii","Myrceugenia gertii","Landrum","L. R. Landrum","R. Kummrow","2149","1983","01","05","South America","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615734","NY00615734_01","Rio Pequeno, Serra Azul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615731","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","gertii","Myrceugenia gertii","Landrum","M. Sobral","J. M. Silva","1612","1995","12","15","South America","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615731","NY00615731_01","Zinco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:24-03","UFRJ","RFA","11662","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","gertii","Myrceugenia gertii","Landrum","M. Sobral","G.G. Hatschbach","24198","1970","04","28",NA,"Brasil","Paraná","Piraquara","-49.0633010864258","-25.4416999816895",NA,"Arvoreta 5 m de altura; flor alva","RFA46829",NA,"Nova Tirol","2001","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:05:51-03","NBC","NL-BOTANY","L.2511082","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptrogenia","hatschbachii","Calyptrogenia hatschbachii","D.Legrand",NA,"Hatschbach GG",NA,"1961","12","14","Southern America","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2511082 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2511082","NL-L2511082","Est. Parana, Mun. Campina Gde.do Sul, Mandassaia.",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:05:51-03","NBC","NL-BOTANY","WAG.1114385","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptrogenia","hatschbachii","Calyptrogenia hatschbachii","D.Legrand",NA,"Hatschbach GG",NA,"1975","01","02","Southern America","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1114385 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1114385","NL-WAG1114385","Borda do Campo (mun. S. José dos Pinhaes Paraná.",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:05:51-03","NBC","NL-BOTANY","L.2511083","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptrogenia","hatschbachii","Calyptrogenia hatschbachii robustior",NA,NA,"Hatschbach GG",NA,"1957","12","18","Southern America","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2511083 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2511083","NL-L2511083","Est. Parana, Mun. Becaiuva do Sul, Cabeça D'Anta.",NA,NA,NA,"Magnoliopsidae","robustior",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:43-03","ESALQ","ESA","52211","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrceugenia","gertii","Myrceugenia gertii","Landrum","Sobral, M.","Barbosa, E. et al.","948.0","2004","02","29",NA,"Brasil","São Paulo","Barra do Turvo","-48.5046997070312","-24.7563991546631",NA,NA,"ESA052211",NA,NA,"2005","38172","auto",NA,NA,"01","01",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:31:26-03","IAP","PACA-AGP","36885","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","gertii","Myrceugenia gertii","Landrum","Molz, M.","Hatschbach, G.","577","1946","12","25",NA,"Brasil","PR","Piraquara","-49.0633010864258","-25.4416999816895",NA,"ISOTYPUS de Calyptrogenia hatschbachii Legr. Fenofase: flor","PACA036885","PACA036885","Florestal","2017","12577","auto","Magnoliatae",NA,"03","17","Isotipo",NA,NA,NA,NA,NA,NA
