"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1519569","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","paniculata","Luehea paniculata","Mart.","B. S. Amorim","B. S. Amorim","547","2010","01","27","South America","Brazil","Pernambuco","Goiana","RPPN Fazenda Tabatinga. Borda da mata","-34.8206","-7.6061","57","57","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551764' target='other'> <mi>dwc_moreinfo</mi></a>","NY01519569","NY01519569_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02339705","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","paniculata","Luehea paniculata","Mart.",NA,"R. Spruce","4880","1855",NA,NA,"South America","Peru",NA,NA,"Prope Taraputo, Peruviae orientalis",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2515540' target='other'> <mi>dwc_moreinfo</mi></a>","NY02339705","NY02339705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","628951","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","paniculata","Luehea paniculata","Mart.",NA,"G. Gardner","1477","1836",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628951","NY00628951_01 NY00628951_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00996534","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","paniculata","Luehea paniculata","Mart.",NA,"G. C. G. Argent","6753","1968","08","21","South America","Brazil","Mato Grosso",NA,"Base Camp Square, Terra preta camp', end of Picarda. In high cerrado at transition to 'Terra preta forest'.","-51.77","-12.82",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996534","NY00996534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00996545","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","paniculata","Luehea paniculata","Mart.","H. L. Setser","G. Pabst","7114","1962","10","13","South America","Brazil","Minas Gerais","Várzea da Palma","35 km de Pirapora, rumo Corinto.","-44.7306","-17.5983",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996545","NY00996545_01 NY00996545_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00996524","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","paniculata","Luehea paniculata","Mart.","J. A. Ratter","J. A. Ratter","R.157","1967","07","24","South America","Brazil","Mato Grosso",NA,"1 km E of Xavantina.","-52.33","-14.73",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996524","NY00996524_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","628953","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","paniculata","Luehea paniculata","Mart.","W. Meijer","P. Núñez","8582","1987","11","14","South America","Peru","Cusco",NA,"Prov. La Convención, aprox. 150 km de Cusco en la vía carretera Cusco-Quillabamba","-72.67","-12.95","1100","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187677' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00996542","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","paniculata","Luehea paniculata","Mart.","H. L. Setser","G. Gardner","490","1841",NA,NA,"South America","Brazil","Piauí",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996542","NY00996542_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00996531","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","paniculata","Luehea paniculata","Mart.","Illegible Determiner Name","G. G. Hatschbach","21852","1969","07","13","South America","Brazil","Mato Grosso do Sul","Campo Grande","Estr. Campo Grande - Rochedo.","-54.6464","-20.4431",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996531","NY00996531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00996521","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","paniculata","Luehea paniculata","Mart.","H. L. Setser","H. S. Irwin","6638","1964","10","03","South America","Brazil","Mato Grosso",NA,"10 km. S. of Garapú.","-52.57","-13.3","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996521","NY00996521_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
