"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus"
"11","2020-12-20 21:19:27-03","UFV","VIC","25112","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Valente, G.E.","583",NA,NA,NA,NA,"Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,"VIC025112","VIC025112","16385","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:18:06-03","UFV","VIC","2032","PreservedSpecimen","Plantae",NA,NA,"Liliaceae","Smilax","japicanga","Smilax japicanga","Griseb.","Andreata, R.H.P.","Kuhlmann, J.G.","s.n.","1935","08","13",NA,"Brasil","Minas Gerais","Viçosa","UFV","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"VIC002032","VIC002032","13937","auto",NA,"1998",NA,NA,"02","11",NA
"13","2020-12-20 21:19:27-03","UFV","VIC","8873","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,NA,"s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Viçosa","UFV","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"VIC008873","VIC008873","13937","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:18:06-03","UFV","VIC","355","PreservedSpecimen","Plantae",NA,NA,"Liliaceae","Smilax","japicanga","Smilax japicanga","Griseb.","Andreata, R.H.P.","Mexia, Y.","5165-a",NA,NA,NA,NA,"Brasil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"VIC000355","VIC000355","13937","auto",NA,"1998",NA,NA,"02","12",NA
"15","2021-03-24 17:10:04-03","UFES","SAMES","5499","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","Ribeiro,M.","Oliveira,I.R.; Rocha,T.L.;Broggio,I.S.;Thais;A,Marllon.","43","2010","04","17",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre tabuleiro, Km 4 da estrada interna.","-39.7322006225586","-18.5932998657227",NA,NA,NA,"Com frutos alaranjados. Habito: Liana","SAMES05499",NA,"41644","auto",NA,NA,"-398050000.0","-182625000.0",NA,NA,NA
"16","2019-11-21 14:45:08-03","UFJF","CESJ","19685","PreservedSpecimen","Plantae","Angiosperma",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","L. Krieger","L. Krieger; R. Mello-Silva","CESJ19685","1983","06","01","América do Sul","Brasil","Minas Gerais","São João Del Rei",NA,"-44.2616996765137","-21.1355991363525",NA,NA,NA,"Cipó robusto, vários metros, escandente por gavinha estipulares. Flores esverdeadas. O decocto do rizoma e do caule é usado como depurativo do sangue. Nome vulgar: Japecanga","CESJ019685",NA,"39093","auto",NA,NA,NA,NA,NA,NA,NA
"17","2019-11-19 14:09:32-03","UFRPE","PEUFR","46095","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","J. Cruz","S. I. da Silva","32","2002","04","20",NA,"Brasil","Pernambuco","São Caetano",NA,NA,NA,NA,NA,NA,NA,"PEUFR046095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-19 14:09:32-03","UFRPE","PEUFR","16489","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","L. P. Félix","A.M. Miranda; L. P. Félix","1654","1994","04","21",NA,"Brasil","Pernambuco","Lagoa dos Gatos","Chã de Panela","-35.9000015258789","-8.65832996368408",NA,NA,NA,"Escandente, ramos verde-arroxeados, flores arroxeadas, frutos maduros marrons.","PEUFR016489",NA,"14934","auto",NA,NA,NA,NA,NA,NA,NA
"19","2019-11-19 14:09:32-03","UFRPE","PEUFR","16443","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","L. P. Félix","A.M. Miranda; L. P. Félix","1647","1994","04","21",NA,"Brasil","Pernambuco","Lagoa dos Gatos","Pau Ferrado","-35.9000015258789","-8.65832996368408",NA,NA,NA,"Volúvel, ramos verdesm inflorescência arroxeada.","PEUFR016443",NA,"14934","auto",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-21 19:38:56-03","UFC","EAC","44192","PreservedSpecimen","Plantae","Dicotyledon",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","Lima-Verde, L.W.; Moro, M.F.","Moro, M.F.","589","2008","07","17","Southern America","Brasil","Ceará","Fortaleza","Fragmento de vegetação de cerca de 25 ha na zona urbana de Fortaleza (CE), adjacente à Av. Oliveira Paiva, pertencente aos Correios; bairro Cambeba.","-38.486111","-3.798611",NA,NA,NA,"Trepadeira com acúleos. Coleta realizada durante os trabalhos de campo para a dissertação do Mestrado em Desenvolvimento e Meio Ambiente (PRODEMA - UFC) de Marcelo Freire Moro.; Tabuleiro pré-litorâneo","EAC0044192","EAC0044192",NA,NA,NA,"2008","-38.486111","-3.798611","12","23",NA
"21","2021-03-21 19:38:56-03","UFC","EAC","51023","PreservedSpecimen","Plantae","Dicotyledon",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","Gomes, V.","Silveira, A.; Oliveira, R.F.","1028","2003","03","14","Southern America","Brasil","Ceará","Guaramiranga","Sítio Arvoredo","-38.931806","-4.218056","935","935",NA,NA,"EAC0051023","EAC0051023",NA,NA,NA,"2010","-38.931806","-4.218056","08","24",NA
"22","2021-03-21 19:38:56-03","UFC","EAC","52376","PreservedSpecimen","Plantae","Dicotyledon",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","Lima-Verde, L.W.; Loiola, M.I.B.","Loiola, M.I.B.; Soares Neto, R.L.; Nogueira, C.","1596","2012","04","27","Southern America","Brasil","Ceará","Tianguá","entrada para o Sítio do Bosco","-40.988306","-3.655278",NA,NA,NA,"Trepadeira; flor esverdeada.","EAC0052376","EAC0052376",NA,NA,NA,"2012","-40.988306","-3.655278","08","29",NA
