"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","coordinatePrecision","geoFlag","typeStatus","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00909063","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","riedeliana","Leandra riedeliana","(O.Berg ex Triana) Cogn.","M. Reginato","H. S. Irwin","29148","1971","01","26","South America","Brazil","Minas Gerais","Serra do Espinhaço, base of Serra da Caraça","-43.4927778","-20.1263","1500","1750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909063","NY00909063_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1522639","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","riedeliana","Leandra riedeliana","(O.Berg ex Triana) Cogn.","M. Reginato","L. de S. Leoni","5880","2004","07","08","South America","Brazil","Minas Gerais","Itaponga. Parque Estadual do Brigadeiro - Pico fo Boné.",NA,NA,"1760",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776294' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522639","NY01522639_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01874844","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","riedeliana","Leandra riedeliana","(O.Berg ex Triana) Cogn.","M. Reginato","M. Reginato","1354","2012","02","17","South America","Brazil","Minas Gerais","P.E. do Ibitipoca, trilha da Ponte de Pedra","-43.894264","-21.714958",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085165' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874844","NY01874844_01","Lima Duarte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:03:07-03","NBC","NL-BOTANY","L.2534380","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.",NA,"Glaziou AFM",NA,"1888","01","01","Southern America","Brazil",NA,"Prov. Rio de Janeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2534380 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2534380","NL-L2534380",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:31:36-03","MN","R","10040","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.",NA,"Glaziou, A.F.M.","13846","1877","07","07",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000010040","R000010040_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:31:36-03","MN","R","10082","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.",NA,"Glaziou, A.F.M.","16919","1882","08","29",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000010082","R000010082_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:39:30-03","UFJF","CESJ","72005","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","(O.Berg ex Triana) Cogn.","L.L. Justino","L.N. Gonçalves; P. Duffles","383","2017","07","22","América do Sul","Brasil","Minas Gerais","Pico do Itaguaré, Antecume","-45.080278","-22.482222","2060","2060",NA,"Folhas simples, opostas, cruzadas; flores com pétalas alvas a róseas, cálice levemente esverdeado;","CESJ072005",NA,"Passa-Quatro",NA,"2018","04","01","-45.080278","-22.482222",NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:39:30-03","UFJF","CESJ","68592","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","(O.Berg ex Triana) Cogn.","B. Moreira","B. Moreira; L.C.D. Dias","258","2015","05","22","América do Sul","Brasil","Minas Gerais","Parque Estadual do Ibitipoca, Nanofloresta nebular, trilha da janela do céu, próxima ao areal","-43.878056","-21.679444","1600","1600",NA,"Arbusto, fruto maduro lilás, 2m. Interior de mata","CESJ068592",NA,"Lima Duarte",NA,"2016",NA,NA,"-43.878056","-21.679444",NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:39:30-03","UFJF","CESJ","69182","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","(O.Berg ex Triana) Cogn.","L.L. Justino","G.B. Oliveira; A. Cabral; M.C.A. Mota","202","2016","06","26","América do Sul","Brasil","Minas Gerais","Parque Estadual do Ibitipoca, Nanofloresta Nebular, Gruta dos Fugitivos, 15-20m da entrada da gruta","-43.883056","-21.677778","1670","1670",NA,"Folhas levemente discolores, frutos roxos","CESJ069182",NA,"Lima Duarte",NA,"2017","06",NA,"-43.883056","-21.677778",NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:39:30-03","UFJF","CESJ","72026","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","(O.Berg ex Triana) Cogn.","L.L. Justino","L.N. Gonçalves; P. Duffles","405","2017","07","29","América do Sul","Brasil","São Paulo","Pico dos Marins, Cume do maciço principal","-45.120278","-22.5025","2417","2417",NA,"Folhas simples, opostas; flores brancas com pétalas triangulares; igual à coletada na travessia Itaguaré-Marins;","CESJ072026",NA,"Piquete",NA,"2018","04","01","-45.120278","-22.5025",NA,NA,NA,NA,NA,NA
