"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01420422","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Macrosamanea","prancei","Macrosamanea prancei","(Barneby) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","G. T. Prance","29854","1985","07","26","South America","Brazil","Amazonas","N margin of rio Aracá just above Igarapé Sauadaua","80","80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1315822' target='other'> <mi>dwc_moreinfo</mi></a>","NY01420422","NY01420422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01420423","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Macrosamanea","prancei","Macrosamanea prancei","(Barneby) Barneby & J.W.Grimes","J. F. Ramos","E. L. Sette Silva","183","1985","07","01","South America","Brazil","Amazonas","Matas de ambas as margens do rio Aracá perto do rio Jauari.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314735' target='other'> <mi>dwc_moreinfo</mi></a>","NY01420423","NY01420423_01","Barcelos","-63.5","0.5",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01420421","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Macrosamanea","prancei","Macrosamanea prancei","(Barneby) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","G. T. Prance","29407","1985","07","07","South America","Brazil","Amazonas","Rio Aracá, 5 km N of Equator",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1315820' target='other'> <mi>dwc_moreinfo</mi></a>","NY01420421","NY01420421_01",NA,"-63.25","2.5",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01420431","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Macrosamanea","prancei","Macrosamanea prancei","(Barneby) Barneby & J.W.Grimes","R. C. Barneby","G. T. Prance","29803","1985","07","25","South America","Brazil","Amazonas","Margin of rio Aracá near Serrinha","80","80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1314785' target='other'> <mi>dwc_moreinfo</mi></a>","NY01420431","NY01420431_01",NA,"-63.383333","0.416667",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","334693","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pithecellobium","prancei","Pithecellobium prancei","Barneby",NA,"G. T. Prance","29744","1985","07","24","South America","Brazil","Amazonas","Margin of Rio Aracá near Serrinha","80","80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00334693","NY00334693_01",NA,"-63.38","0.42","isotype",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","334694","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pithecellobium","prancei","Pithecellobium prancei","Barneby",NA,"G. T. Prance","29744","1985","07","24","South America","Brazil","Amazonas","Margin of Rio Aracá near Serrinha","80","80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00334694","NY00334694_01 NY00334694_02",NA,"-63.38","0.42","isotype",NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","2912080","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Macrosamanea","prancei","Macrosamanea prancei","(Barneby) Barneby & J.W. Grimes","D.A. Neill","Ghillean T. Prance","Prance 29854","1985","7","26","South America","Brazil","Amazonas","N margin of Rio Aracá just above Igarapé Sauadaua. Flooded savanna.","80.00000000",NA,NA,NA,NA,NA,NA,"-63.13333","0.21666",NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","2911922","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Macrosamanea","prancei","Macrosamanea prancei","(Barneby) Barneby & J.W. Grimes",NA,"Ghillean T. Prance","Prance 29744","1985","7","24","South America","Brazil","Amazonas","Margin of Rio Aracá near Serrinha; sandy river margin.","80.00000000",NA,NA,NA,NA,NA,NA,"-63.38333","0.41666",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-08-31 09:14:55-03","INPA","INPA","201119","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Mim","Macrosamanea","prancei","Macrosamanea prancei","(Barneby) Barneby & J.W.Grimes","Ramos, JF","Silva, ES da","183","1985","07","01","Southern America","Brasil","Amazonas","Rio Aracá just above Igarapé Sauadaua., Matas de ambas as margens do rio Aracá perto do rio Jauari.",NA,NA,NA,NA,"INPA0201119","INPA0201119 INPA0201119_e INPA0201119_e1","Barcelos","-68.5","0.5",NA,"2002","-68.5","0.5",NA,NA,NA,NA
"10","2020-08-31 09:14:55-03","INPA","INPA","207498","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Mim","Macrosamanea","prancei","Macrosamanea prancei","(Barneby) Barneby & J.W.Grimes","Silva, W","Roosmalen, MGM van","1442","1999","08","16","Southern America","Brasil","Amazonas",NA,NA,NA,NA,NA,"INPA0207498",NA,"Santa Isabel do Rio Negro","-65","-0.666667",NA,"2015","-65","-0.666667","11","16",NA,NA
