"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","class","order","monthIdentified","dayIdentified","fieldNumber","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber"
"1","2019-08-20 10:00:46-03","UNICAMP","UEC","137627","S","Plantae","Liliopsida","Orchidaceae","Gomesa","pectoralis","Gomesa pectoralis","(Lindl.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2015","Koehler, S","s.n.","Brazil","São Paulo","Jundiaí","Orquidário do Vico","-46.8800010681152","-23.1800003051758","17840","Data de floração: X.2004. Material coletado para extração de DNA.","UEC027359","UEC027359","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-01-17 11:24:01-02","PUCRS","MPUC","14760","S","Plantae",NA,"Orchidaceae","Gomesa","pectoralis","Gomesa pectoralis","(Lindl.) M.W.Chase & N.H.Williams","J.B. Castro","2017",NA,NA,"Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333",NA,"Epífita, próximo a estrada da Serraria, à caminho da sede",NA,NA,NA,"Magnoliopsida","Asparagales","01","01","524","2009","11","07","South America","-50.1744444000","-29.4808333000","1",NA,NA,NA
"3","2020-10-01 14:26:00-03","JBB","HEPH","21034","S","Plantae","Monocotyledon","Orchidaceae","Gomesa","pectoralis","Gomesa pectoralis","(Lindl.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2014","Salles, AEH; Moreira, KRS; Azevedo, INC de; Oliveira, MS; Jesus, FPR de; Carvalho, FJ de","3235A,B","Brasil","Minas Gerais","Conceição do Mato Dentro","Serra do Cipó","-44.353722","-19.124178",NA,"Cultivada no banco de germoplasma do Jardim Botânico de Brasília ORQ-2133",NA,NA,NA,NA,"Asparagales",NA,NA,NA,"2004","11","12","Southern America","-44.353722","-19.124178",NA,"741","741",NA
"4","2020-12-11 11:44:33-03","UFMG","BHCB","64888","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Gomesa","marshalliana","Gomesa marshalliana","(Rchb) Chase",NA,NA,"Lombardi, JA","4497","Brasil","Minas Gerais","Belo Vale","ca. 10km pela estrada que liga a BR-040 a Belo Val","-43.936111","-20.443611",NA,"encosta de mata circundando corrego. Erva epífita, labelo amarelo, mais escuro internamente e maculado de castanho, calosidade amarela com pontos castanhos. Tépalas amarelas com centro maculado de castanho.",NA,NA,NA,NA,NA,NA,NA,NA,"2001","10","23","Southern America","-43.936111","-20.443611",NA,"1320","1320",NA
"5","2016-08-23 09:46:23-03","NHMLondon","NHM-LONDON-BOT","BM000534465","S","Plantae",NA,"Orchidaceae","Gomesa","pectoralis","Gomesa pectoralis","(Lindl.) M.W.Chase & N.H.Williams","Thiago Erir Cadete Meneguzzo; Jardim Botanico do Rio de Janeiro; b.1987; Meneguzzo","2014","George Gardner; b.1812; d.1849; Gardner","s.n.","Brasil","Rio de Janeiro",NA,NA,"-42.989594","-22.510275",NA,NA,NA,NA,NA,NA,"Asparagales",NA,NA,NA,"1836","01",NA,NA,"-42.989594","-22.510275",NA,NA,NA,"NHMUK:ecatalogue:4651898"
"6","2016-08-23 09:46:23-03","NHMLondon","NHM-LONDON-BOT","BM000534466","S","Plantae",NA,"Orchidaceae","Gomesa","pectoralis","Gomesa pectoralis","(Lindl.) M.W.Chase & N.H.Williams","Thiago Erir Cadete Meneguzzo; Jardim Botanico do Rio de Janeiro; b.1987; Meneguzzo","2014","H_545; Herb John Miers - Bequeathed 1879","3544","Brasil",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,"Asparagales",NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,"NHMUK:ecatalogue:4651899"
"7","2016-08-23 10:23:09-03","NHMLondon","NHM-LONDON-BOT","BM000534467","S","Plantae",NA,"Orchidaceae","Gomesa","pectoralis","Gomesa pectoralis","(Lindl.) M.W.Chase & N.H.Williams","Thiago Erir Cadete Meneguzzo; Jardim Botanico do Rio de Janeiro; b.1987; Meneguzzo","2014","Collaboration; J. Bowie & A. Cunningham","1","Brasil","São Paulo",NA,NA,"-46.601","-23.514",NA,"Habitat: Parasite",NA,NA,NA,NA,"Asparagales",NA,NA,NA,"1815","05","02",NA,"-46.601","-23.514",NA,NA,NA,"NHMUK:ecatalogue:4651900"
"8","2016-08-23 10:23:09-03","NHMLondon","NHM-LONDON-BOT","BM000534497","S","Plantae",NA,"Orchidaceae","Gomesa","pectoralis","Gomesa pectoralis","(Lindl.) M.W.Chase & N.H.Williams","Thiago Erir Cadete Meneguzzo; Jardim Botanico do Rio de Janeiro; b.1987; Meneguzzo","1916","Per Karl Hjalmar Dusén; b.1855; d.1926; Dusén","11570","Brasil","Paraná",NA,NA,"-49.7","-24.25",NA,"Habitat: In silvula",NA,NA,NA,NA,"Asparagales",NA,NA,NA,"1911","02","27",NA,"-49.7","-24.25",NA,NA,NA,"NHMUK:ecatalogue:4651933"
"9","2019-11-01 15:15:23-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae","Orchidaceae","Gomesa","pectoralis","Gomesa pectoralis","(Lindl.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2014","Irwin, HS; et al.","28568","Brasil","Minas Gerais","Serra do Espinhaço","Ca. 7km N of São João da Chapada, road to Campo do Sampaio",NA,NA,NA,"Epiphyte, the inflorescences to ca. 50cm tall. Perianth dark yellow-brown, the labellum yellow at base; Tree branches, gallery shade. Cerrado on outcrops, brejo, and gallery forest","UB0018522","UB0018522",NA,NA,NA,NA,NA,NA,"1970","03","29","Southern America",NA,NA,NA,"1150","1150",NA
"10","2019-11-01 15:15:23-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae","Orchidaceae","Gomesa","pectoralis","Gomesa pectoralis","(Lindl.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2014","Heringer, EP","5923","Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711","17082","Recebida por presente em B. Horizonte.&nf;Uma única muda com sr. Otávio; Epífita","UB0018523","UB0018523","auto",NA,NA,NA,NA,NA,"1958","02","19","Southern America",NA,NA,NA,NA,NA,NA
"11","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Oncidium","pectorale","Oncidium pectorale","Lindl.",NA,NA,"Binot, PM","s.n.","Brazil","Rio de Janeiro",NA,"In prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Oncidium","pectorale","Oncidium pectorale","Lindl.",NA,NA,"Williams, S","s.n.","Brazil",NA,NA,"In Brasilia locis accuratis haud indicatis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"13","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Oncidium","pectorale","Oncidium pectorale","Lindl.",NA,NA,"W. Bull","s.n.(Hort.","Brazil",NA,NA,"In Brasilia locis accuratis haud indicatis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
