"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","coordinatePrecision","geoFlag","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","594246","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Desmodium","craspediferum","Desmodium craspediferum","A.M.G.Azevedo & Abruzzi de Oliveira","M. Blasco Capdevila","G. G. Hatschbach","16050","1967","02","24","South America","Brazil","Paraná","Ponta Grossa","Parque Vila Velha","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594246","NY00594246_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-26 10:25:09-03","EPAMIG","PAMG","39910","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Desmodium","craspediferum","Desmodium craspediferum","A.M.G. Azevedo & Abruzzi de Oliveira","L.C.P. Lima","G. Hatschbach; O. Guimarães","16050","1967","02","24",NA,"Brasil","Paraná","Ponta Grossa","Parque Vila Velha","-50.163333","-25.094444",NA,"Campo seco, limpo. Xilopodífera, reptante, flor purpúrea. Doação do Museu Botânico Municipal da Prefeitura Municipal de Curitiba. Unicata",NA,NA,"2011","07","50° 9' 48W","25° 5' 40S","956","956",NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:29:26-03","IAP","PACA-AGP","35064","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Fabaceae","Desmodium","craspediferum","Desmodium craspediferum","Azevedo & Oliveira","A.M.G.A. Tozzi","Rambo, B.",NA,"1947","01","11",NA,"Brasil","RS","Vacaria","Fazenda da Ronda","-50.9338989257812","-28.5121994018555",NA,"PROVAVELMENTE EXTINTO&nf;HOLOTYPUS. Habitat: in campestribus siccis dumetosis Fenofase: flor e fruto","PACA035064","PACA035064","1982",NA,NA,NA,NA,NA,"Magnoliatae","Holotipo","63451","auto",NA,NA
"4","2021-04-07 11:44:05-03","UFMS","CGMS","36773","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Desmodium","craspediferum","Desmodium craspediferum","A.M.G.Azevedo & Abruzzi de Oliveira","L.C.P. Lima","L.C.P. Lima; M. Grings; R.B. Setubal","546","2009","02","28",NA,"Brasil","Rio Grande do Sul","Bom Jesus","Fazenda do Cilho, caminho de acesso ao Lageado Arroio dos Touros.","-50.4166667","-28.5105556",NA,"Papilionoideae. Corola lilás. Fruto castanho. DNA","CGMS1066185",NA,NA,NA,"-50,4166667","-28,5105556",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:30:29-03","UNICAMP","UEC","173445","S","Plantae","Magnoliopsida",NA,"Fabaceae","Desmodium","craspediferum","Desmodium craspediferum","Tozzi & Abruzzi de Oliveira","Lima, LCP","Lima, LCP; Grings, M; Setubal, RB","546","2009","02","28",NA,"Brazil","Rio Grande do Sul","Bom Jesus","Fazenda do Cilho, caminho de acesso ao lageado Arroio dos Touros.","-50.43","-28.510556",NA,"Subarbusto prostrado. Corola lilás. Fruto Castanho. DNA.","UEC084022","UEC084022","2009","02","-50.43","-28.510556",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-16 17:52:07-03","UCS","HUCS","34449","PreservedSpecimen","Plantae","Angiospermae","Fabales","Fabaceae","Desmodium","craspediferum","Desmodium craspediferum","A.M.G. Azevedo & Abruzzi de Oliveira","Grings, M.","Grings, M.","475","2009","02","28",NA,"Brasil","Rio Grande do Sul","Bom Jesus","Bandeirinhas, Fazenda do Cilho","-50.4166984558105","-28.6678009033203",NA,"Herbario ICN 159863; Em campo pedregoso seco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55856","auto",NA,NA
"7","2020-12-21 16:26:19-03","MBM","MBM","236214","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Desmodium","craspediferum","Desmodium craspediferum","A.M.G. Azevedo & Abruzi de Oliveira","Romero, R.","Hatschbach, G.; et al.; et al.","16050","1967","02","24","Southern America","Brazil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,"Xilopodífera, reptante do campo seco, limpo, Flor purpúrea; Xilopodífera, reptante, flor purpúrea.; Campo seco, limpo.","MBM236214","MBM236214","1999",NA,NA,NA,NA,NA,NA,"PARATYPE","46557","auto",NA,NA
"8","2020-12-21 16:26:19-03","MBM","MBM","401310","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Desmodium","craspediferum","Desmodium craspediferum","A.M.G. Azevedo & Abruzi de Oliveira","Lima, L.C.P.","Lima, L.C.P.; Grings, M.; Setubal, R.B.; Grings, M.; Setubal, R.B.","546","2009","02","28","Southern America","Brazil","Rio Grande do Sul","Bom Jesus","Fazendo do Cilho, Caminho de acesso ao Lageado Arroio dos Touros","-50.43","-28.510556",NA,"Subarbusto prostrado; corola lilás; fruto castanho; DNA.","MBM401310","MBM401310","2009","02","-50.43","-28.510556",NA,NA,NA,NA,NA,NA,NA,NA
"9","2009-08-21 06:32:00-03","MO","MOBOT","2459276","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Desmodium","craspediferum","Desmodium craspediferum","A.M.G. Azevedo & Abruzzi de Oliveira","Alonso Paz, E.","Balduino Rambo","Rambo 35064","1947","1","3","South America","Brazil","Rio Grande do Sul",NA,"Bom Jesus. Fazenda Bernardo Velho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2564145","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Desmodium","craspediferum","Desmodium craspediferum","A.M.G. Azevedo & Abruzzi de Oliveira",NA,"G. Hatschbach & O. Guimarães","16050","1967","2","24","South America","Brazil","Paraná",NA,"Mun. Ponta Grossa, Parque Vila Velha",NA,NA,NA,NA,"US02244803","US02244803_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
