"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00836082","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","rigida","Licania rigida","Benth.","H. C. Cutler","8264","1944","10","12","South America","Brazil","Ceará","Caridade, near Caninde","175","175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836082","NY00836082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00836056","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","rigida","Licania rigida","Benth.","Collector unspecified","s.n.","1977","08","25","South America","Brazil","Ceará","Lambedouro- General Tiburcio.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836056","NY00836056_01","G. T. Prance","Viçosa do Ceará","-41.0919","-3.5622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","823313","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","rigida","Licania rigida","Benth.","J. G. Kuhlmann","s.n.","1939","10","11","South America","Brazil","Rio de Janeiro","Jardim Botânico.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823313","NY00823313_01","J. G. Kuhlmann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378681","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","rigida","Licania rigida","Benth.","P. von Luetzelburg","26642","1935","09","01","South America","Brazil","Paraíba","San Gonçalo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378681","NY00378681_01",NA,"Marizópolis","-38.317464","-6.828117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00836057","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","rigida","Licania rigida","Benth.","H. C. Cutler","8375","1945","07","06","South America","Brazil","Ceará","10 km. northwest of Iracuba","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836057","NY00836057_01",NA,"Irauçuba","-39.7831","-3.7461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00836081","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","rigida","Licania rigida","Benth.","V. Virgilius","s.n.","1936",NA,NA,"South America","Brazil","Ceará","Russas- Uniao (Limites)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836081","NY00836081_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00836080","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","rigida","Licania rigida","Benth.","Chefe da Sec. de Fom. Agricola","s.n.","1940",NA,NA,"South America","Brazil","Ceará","Iguatú- Sobral",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836080","NY00836080_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00836058","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","rigida","Licania rigida","Benth.","R. de Lemos Fróes","11687","1940","01",NA,"South America","Brazil","Piauí","Therezina",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836058","NY00836058_01","P. C. Standley","Teresina","-42.8017","-5.0894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00836054","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","rigida","Licania rigida","Benth.","G. F. J. Pabst","9559","1974","01","22","South America","Brazil","Ceará","Margens do rio Jaguariba",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836054","NY00836054_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","378680","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","rigida","Licania rigida","Benth.","J. C. de Moraes Vasconcelos","892","1953","09","25","South America","Brazil","Paraíba","Sao Gonçalo, Souza. Regiao de sertao",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378680","NY00378680_01","A. N. Lima",NA,"-38.317464","-6.828117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
