"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","previousCatalogNumber","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01420420","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Macrosamanea","macrocalyx","Macrosamanea macrocalyx","(Ducke) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","J. G. Kuhlmann","2035","1924","04","20","South America","Brazil","Pará","Altamira","Forte.","-52.333333","-3.333333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1712064' target='other'> <mi>dwc_moreinfo</mi></a>","NY01420420","NY01420420_01 NY01420420_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:10:06-03","NBC","NL-BOTANY","U 0003395","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Macrosamanea","macrocalyx","Macrosamanea macrocalyx","(Ducke) Barneby & J.W.Grimes","Barneby RC; Grimes JW","Ducke A",NA,"1916","12","16","Southern America","Brazil","Pará",NA,"Rio Xingú super regionem Volta Grande, fanci fluminis Ambé. Civit Pará.",NA,NA,NA,"prope ripas inundatas<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003395 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003395","NL-U0003395","Magnoliopsidae","isotype","64412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:17:34-03","UFV","VIC","051989","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Macrosamanea","macrocalyx","Macrosamanea macrocalyx","(Ducke) Barneby & J.W.Grimes",NA,"Fernandes, J.M.","1385","2011","12","02",NA,"Brasil","Pará","Marabá","Margem do Rio Tocantins","-49.1178016662598","-5.36860990524292",NA,"Floresta Amazônica, capoeira alagada,várzea, arvoreta de 2 m, cálice verde e corola branca,filetes brancos, flores de cheiro adocicado.","VIC051989","VIC051989",NA,NA,NA,"262883","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-03-09 18:11:32-03","MNHN","RECOLNAT_MNHN_P","P01818537","PreservedSpecimen",NA,NA,NA,"Fabaceae","Macrosamanea","macrocalyx","Macrosamanea macrocalyx","(Ducke) Barneby & J.W.Grimes","Barneby & Grimes","Ducke, A.",NA,"1916","12","16",NA,"Brésil",NA,NA,"Moyen Xingu, Altamira. Etat de Para",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818537' target='other'> <mi>dwc_moreinfo</mi></a>","P01818537","P01818537_01",NA,NA,NA,NA,NA,"16622",NA,NA,NA,NA,NA,NA,NA
"5","2011-03-24 10:03:00-03","MO","MOBOT","2911619","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Macrosamanea","macrocalyx","Macrosamanea macrocalyx","(Ducke) Barneby & J.W. Grimes",NA,"A. Ducke","Ducke 16622","1916",NA,NA,"South America","Brazil","Pará",NA,"Mayen Xingú, Stamira.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","1040947","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Pithecellobium","macrocalyx","Pithecellobium macrocalyx","Ducke",NA,"A. Ducke","16622","1916","12","16","South America - Neotropics","Brazil","Pará",NA,"Altamira, Moyen Xingu.",NA,NA,NA,NA,"US00000317","US00000317_01","Dicotyledonae","Isotype",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"7","2019-09-04 18:33:29-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Pithecellobium","macrocalyx","Pithecellobium macrocalyx",NA,NA,"A. Ducke","s.n.","1916","12","16","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-09-04 18:20:43-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Pithecellobium","macrocalyx","Pithecellobium macrocalyx",NA,NA,"A. Ducke","s.n.","1916","12","16","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-01-23 11:23:14-02","F","FMNH-SEEDPLANTS","V0058731F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Pithecellobium","macrocalyx","Pithecellobium macrocalyx",NA,NA,"A. Ducke","s.n.","1916","12","16","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0058731F","V0058731F_01","Dicotyledoneae","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-01-23 11:23:14-02","F","FMNH-SEEDPLANTS","V0058732F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Pithecellobium","macrocalyx","Pithecellobium macrocalyx",NA,NA,"A. Ducke","s.n.","1916","12","16","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0058732F","V0058732F_01","Dicotyledoneae","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
