"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01459877","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","subulata","Marlierea subulata","McVaugh","B. K. Holst","A. Rosas Jr.","270","1985","09","12","South America","Brazil","Acre","Cruzeiro do Sul","BR 364 km 42, ramal 4 do Projeto Santa Luzia (INCRA)","-72.67","-7.63111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701645' target='other'> <mi>dwc_moreinfo</mi></a>","NY01459877","NY01459877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","405305","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","subulata","Marlierea subulata","McVaugh",NA,"G. Klug","1341","1930","05",NA,"South America","Peru","Loreto",NA,"Mishuyacu, near Iquitos","-73.412281","-3.792532","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405305","NY00405305_01","isotype","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0033128","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","subulata","Marlierea subulata","McVaugh","L. R. Landrum","Juan Revilla","1436","1976","9","10",NA,"Peru","Loreto",NA,"Prov. Maynas. Vicinity of Iquitos.","-73.841906","-2.668406",NA,"Arbol de la ribera, flores blanca. 6 m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0033129","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","subulata","Marlierea subulata","McVaugh","L. R. Landrum","Juan Ruiz; Honora Murphy","277","1981","11","20",NA,"Peru","Loreto",NA,"Maynas. Caserio Mishana, Rio Nanay, Campamento No.2.","-73.5","-3.83333",NA,"Arbusto 4 m de alto. Flores oscuras. Guayabilla.",NA,NA,NA,"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0033121","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","subulata","Marlierea subulata","McVaugh","L. R. Landrum","R. Vasquez; N. Jaramillo, J. Ruiz","5556","1984","9","26",NA,"Peru","Loreto",NA,"Prov. Maynas. Moronillo (Iquitos).","-73.3333","-3.83333",NA,"Arbol, 7 m; flores amarillentas.",NA,NA,NA,"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0033130","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","subulata","Marlierea subulata","McVaugh","L. R. Landrum","C. Peters","89","1985","9","3",NA,"Peru","Loreto",NA,"Rio Aucayacu. Jenaro herrera. Prov. Requena.","-73.8333","-5.05",NA,"Small tree, 6 m; dark purple fruit. Edible fruit is extremely sweet and agreeable.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0032800","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","subulata","Marlierea subulata","McVaugh","L. R. Landrum","R. Vasquez; N. Jaramillo","8383","1986","11","16",NA,"Peru","Loreto",NA,"Maynas, Iquitos, Buena Suerte (Rio Itaya). Seasonally flooded forest (Tahuampa)","-73.5","-4.16667",NA,"Shrub 4m tall; fruits green",NA,NA,NA,"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0033131","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","subulata","Marlierea subulata","McVaugh","B. K. Holst","R. Vasquez; J. Ruiz","2959","1982","3","21",NA,"Peru","Loreto",NA,"Prov. Maynas. Quebrada Santa Cruz (tributario del Rio Nanay).","-73.5833","-3.83333",NA,"Arbusto 4 m; frutos negros.",NA,NA,NA,"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0033122","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","subulata","Marlierea subulata","McVaugh","L. R. Landrum","R. Vasquez; N. Jaramillo","13573","1990","3","21",NA,"Peru","Loreto",NA,"Maynas Province. Indiana, Explorama Reserve.","-72.8333","-3.46667",NA,"Arbol, 5 m; frutos negros.",NA,NA,NA,"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0033124","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","subulata","Marlierea subulata","McVaugh","L. R. Landrum","R. Vazquez; N. Jaramillo, J. Ruiz","5556","1984","9","26",NA,"Peru","Loreto",NA,"Prov. Maynas, Moronillo (Iquitos).","-73.25","-3.91667",NA,"Arbol, 7 m; flores amarillentas.",NA,NA,NA,"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
