"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","county","minimumElevationInMeters","imagecode","decimalLongitude","decimalLatitude","identifiedBy","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber"
"1","2020-09-23 10:42:48-03","E","E","48071","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides","unspecified kind of","Jameson, William (of Quito)","1905","01","05","W. Tropical South America","EC","Azuay","Surucucho near Cuenca","herbarium specimen of unspecif","BGBASE:55751","<a href=http://data.rbge.org.uk/herb/E00048071 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00048071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:48-03","E","E","417514","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"Matthews, Andrew",NA,NA,NA,"W. Tropical South America","PE",NA,NA,"herbarium specimen of unspecif","BGBASE:452282","<a href=http://data.rbge.org.uk/herb/E00417514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00417514","1091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3913889","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"E. P. Killip","1929","05","04","South America","Peru","Ayacucho","Pampalca, between Huanta and Río Apurimac","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197835' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913889","23249","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon","Huanta","3200","NY03913889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3913880","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"J. Steinbach","1929","04","18","South America","Bolivia","Cochabamba","Quebrada de Corani","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197826' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913880","9857","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon","Chapare","2400","NY03913880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3913876","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"W. Jameson",NA,NA,NA,"South America","Ecuador",NA,"Quito","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197822' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913876","s.n.","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3913891","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"H. H. Rusby","1885",NA,NA,"South America","Bolivia","La Paz","Yungas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197837' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913891","408","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon",NA,"1829","NY03913891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3913886","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"J. D. Boeke","1978","07","20","South America","Ecuador","Azuay","Parróquia Baños. Hacienda Yanasacha. Deep sunken trail, on wall of gulley.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197832' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913886","2449","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon","Cuenca","3140",NA,"-79.075314","-2.917677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3913863","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"E. Bonino","2003","07","14","South America","Peru","Cusco","La Convención Province. Dist. Huayopata, Carrizales.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197809' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913863","870","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon",NA,"3250",NA,"-72.3842","-13.0889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","803258","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"M. H. Nee","1999","11","25","South America","Bolivia","Santa Cruz","7.5 km (by air) N of Comarapa, vicinity of Tinque Laguna","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803258","50620","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon","Manuel María Caballero","2625","NY00803258_01","-64.53","-17.85","R. C. Moran","2625",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3913873","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"J. D. Boeke","1978","07","20","South America","Ecuador","Azuay","Parróquia Baños. Hacienda Yanasacha. Deep sunken trail, on wall of gulley.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197819' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913873","2449","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon","Cuenca","3140",NA,"-79.075314","-2.917677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","3913868","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"H. H. Rusby","1885","10",NA,"South America","Bolivia","La Paz","Unduavi","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197814' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913868","329","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon",NA,"3048","NY03913868_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3913859","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"S. Lægaard","1984","08","31","South America","Ecuador","Azuay","Km 10 on road Sigsig-Gualaquiza.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197805' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913859","52784","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon",NA,"3000",NA,"-78.8","-3.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3913882","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"R. S. Williams","1901","09","11","South America","Bolivia","La Paz","Above Jolapampa [Challapampa]","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197828' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913882","1151","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon",NA,"3658","NY03913882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3913894","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"M. A. Sundue","2002","04","16","South America","Bolivia","Cochabamba","Near pond along road from Cochabamba to Comarapa, 5.5 km E of El Churro.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197840' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913894","638","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon","Carrasco","2975",NA,"-64.73","-17.8378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3913871","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"J. Steinbach","1928","10","21","South America","Bolivia","Santa Cruz","Comarapa","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197817' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913871","8567","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon","Manuel María Caballero","3400","NY03913871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3913878","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"O. Buchtien","1914","02",NA,"South America","Bolivia","La Paz","Unduavi, Nordyungas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197824' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913878","424","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon","Nor Yungas","3200","NY03913878_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","3913895","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"R. Núñez C.","2003","06","20","South America","Bolivia","Santa Cruz","Ceja de Monte. En El Locotal sobre el camino a San Mateo a 9 km del cruce El Empalme","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197841' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913895","239","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon","Manuel María Caballero","2170","NY03913895_01","-64.72","-17.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","03913857","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"R. Núñez C.","2004","03","26","South America","Bolivia","Santa Cruz","Bosque Yungueño","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197785' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913857","600","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon","Manuel María Caballero","2483","NY03913857_01","-64.7017","-17.8389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","3913893","PreservedSpecimen","Plantae","Pteridaceae","Eriosorus","cheilanthoides","Eriosorus cheilanthoides",NA,"L. Arroyo P.","2004","04","09","South America","Bolivia","Santa Cruz","Siberia, entre El Empalme y Locotal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4197839' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913893","2750","Pteridophyta","Polypodiales","(Sw.) A.F.Tryon","Manuel María Caballero","2100","NY03913893_01","-64.6917","-17.8439",NA,"2850",NA,NA,NA,NA,NA,NA,NA,NA
