"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","infraspecificEpithet","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount"
"1","2021-04-08 15:16:32-03","UNESC","CRI","15126","PreservedSpecimen","Plantae","Malvaceae","Waltheria","communis","Waltheria communis","A.St.-Hil.","Renato Colares","2016","08","25","Renato Colares; Felipe Patel & Jader Lima Pereira","2016","08","25","Brasil","Santa Catarina","Treviso","Campo Morozini","-49.454444","-28.5375","49º27'16''W","28º32'15''S","Habito: Subarbustivo","CRI014540","CRI014540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:41-03","UNESC","CRI","2850","PreservedSpecimen","Plantae","Malvaceae","Waltheria","douradinha","Waltheria douradinha","A.St.-Hil.","C. L. Cristóbal","1982",NA,NA,"Reitz; Klein","1962","12","20","Brasil","Santa Catarina","Campos Novos",NA,"-51.225833","-27.400833","51º13'33''W","27º24'3''S",NA,"CRI003900","CRI003900","14.264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:41-03","UNESC","CRI","2854","PreservedSpecimen","Plantae","Malvaceae","Waltheria","douradinha","Waltheria douradinha","A.St.-Hil.","C. L. Cristóbal","1982",NA,NA,"R. M. Klein","1962","12","05","Brasil","Santa Catarina","Curitibanos",NA,"-50.581944","-27.282778","50º34'55''W","27º16'58''S",NA,"CRI007588","CRI007588","3.239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:41-03","UNESC","CRI","2777","PreservedSpecimen","Plantae","Malvaceae","Waltheria","douradinha","Waltheria douradinha","A.St.-Hil.","C. L. Cristobal","1982",NA,NA,"Reitz; Klein","1962","12","20","Brasil","Santa Catarina","Campos Novos",NA,"-51.225833","-27.400833","51º13'33''W","27º24'3''S",NA,"CRI003897","CRI003897","14.264","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","628244","PreservedSpecimen","Plantae","Malvaceae","Waltheria","communis","Waltheria communis","A.St.-Hil.","J. G. Saunders",NA,NA,NA,"J. G. Saunders","1990","05","01","Brazil","Bahia","Porto Seguro","6 km from Estrada de Arraial a Ayuda para Transcoso","-39.0644","-16.4497",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628244","NY00628244_01","3227",NA,NA,"Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00971951","PreservedSpecimen","Plantae","Malvaceae","Waltheria","communis","Waltheria communis","A.St.-Hil.","J. G. Saunders",NA,NA,NA,"H. S. Irwin","1964","08","30","Brazil","Distrito Federal","Brasília","Ca. 15 km E. of Brasília.","-47.85","-15.68",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971951","NY00971951_01","5742","700","1000","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00971955","PreservedSpecimen","Plantae","Malvaceae","Waltheria","communis","Waltheria communis","A.St.-Hil.","G. T. Prance",NA,NA,NA,"H. S. Irwin","1964","10","12","Brazil","Mato Grosso",NA,"Ca. 90 km. N. of Xavantina.","-52.4","-13.83",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971955","NY00971955_01","6804","300","400","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00971972","PreservedSpecimen","Plantae","Malvaceae","Waltheria","communis","Waltheria communis","A.St.-Hil.",NA,NA,NA,NA,"U. Lôbo de Anhanguera","1967","07","18","Brazil","Distrito Federal","Brasília","Campus Universitário.","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971972","NY00971972_01","30",NA,NA,"Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00971969","PreservedSpecimen","Plantae","Malvaceae","Waltheria","communis","Waltheria communis","A.St.-Hil.","J. G. Saunders",NA,NA,NA,"G. T. Prance","1973","10","13","Brazil","Mato Grosso","Chapada dos Guimarães","Cerradão behind Colegio de Buriti.","-55.80725","-15.415111",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062736' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971969","NY00971969_01","18902","720","720","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","628257","PreservedSpecimen","Plantae","Malvaceae","Waltheria","communis","Waltheria communis","A.St.-Hil.","L. Y. T. Westra",NA,NA,NA,"J. C. Lindeman","1967","01","26","Brazil","Paraná",NA,"3 km N. of Campo Mourao",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628257","NY00628257_01","4513",NA,NA,"Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
