"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","dayIdentified","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","495264","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","T. B. Croat","P. J. M. Maas","3342","1977","10","20","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgaos, Rio Beijaflor","-42.9656","-22.4122","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495264","NY00495264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:44:36-03","EAO","IAN","72895","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.",NA,"Glaziou, AFM","11639",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN072895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:44:36-03","EAO","IAN","72972","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Anthurium","theresiopolitanum","Anthurium theresiopolitanum","Engl.",NA,"Schenck","2604",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN072972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:42:48-03","NBC","NL-BOTANY","L.1409890","PreservedSpecimen","Plantae",NA,"Alismatales","Araceae","Anthurium","nanospadix","Anthurium nanospadix","Engl.",NA,"Ule EHG",NA,"1899","08","01","Southern America","Brazil",NA,NA,"Im waldo bei Serra dos Orgãos. Estado de Rio Janeiro. *.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1409890 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1409890","NL-L1409890","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:42:48-03","NBC","NL-BOTANY","U.1103848","PreservedSpecimen","Plantae",NA,"Alismatales","Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.",NA,"Maas PJM; Martinelli G",NA,"1977","10","20","Southern America","Brazil",NA,NA,"Edo. Rio de Janeiro, Mun. Terezepolis, Parque Nacional da Serra dos Orgaõs, Rio Beijaflor.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103848","NL-U1103848","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:42:48-03","NBC","NL-BOTANY","WAG.1901576","PreservedSpecimen","Plantae",NA,"Alismatales","Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.",NA,"Nadruz M; et al.",NA,"2009","04","28","Southern America","Brazil",NA,NA,"Rio de Janeiro (RJ), Teresópolis. Parque Nacional da Serra dos Orgãos. Trilha para pedra do sino.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1901576 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1901576","NL-WAG1901576","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:00:14-03","ESALQ","ESA","95550","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.","Temponi, L.G.","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","5872.0","2006","07","13",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha para a Pedra do Sino","-43","-22.45","1170","1170",NA,"Terrestre, espata verde-rosada, espádice vináceo","ESA095550","ESA095550",NA,"-43","-22.45",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:37:44-02","BGBM","B","B 10 0001457","S","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum",NA,NA,"Pabst","5655",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100001457 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100001457","B100001457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-02-02 14:37:44-02","BGBM","B","B 10 0001459","S","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum",NA,NA,"A. Engler","298",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"cult. hort. bot. universitatis Breslau.",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100001459 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100001459","B100001459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:37:44-02","BGBM","B","B 10 0001460","S","Plantae",NA,NA,"Araceae","Anthurium","theresiopolitanum","Anthurium theresiopolitanum",NA,NA,"Schenck","257","1887","02","22","Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100001460 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100001460","B100001460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
