"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount"
"1","2016-10-21 19:03:00-02","NY","NYBG","245916","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Chuncoa","triflora","Chuncoa triflora","type","P. G. Lorentz","9","1873","South America","Argentina","Palo Amarillo (Bran?)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245916","NY00245916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","565771","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","reitzii","Terminalia reitzii","paratype","R. Reitz","16138","1963","South America","Brazil","Serra do Matador, Rio do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565771",NA,"Exell","A. A. Alwan; C. A. Stace","09","11","Santa Catarina","Rio do Sul","-49.6431","-27.2144","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","245981","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","reitzii","Terminalia reitzii","isotype","R. Reitz","12194","1962","South America","Brazil","Serra de Matador, Rio do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245981","NY00245981_01","Exell",NA,"02","21","Santa Catarina",NA,NA,NA,"550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 13:50:00-03","NY","NYBG","565794","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","triflora","Terminalia triflora",NA,"H. de F. Leitão Filho","12933","1981","South America","Brazil","Nativo em mata, ás margens do Rio Batalha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565794","NY00565794_01",NA,"C. A. Stace","09","09","São Paulo","Baurú","-49.06","-22.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 16:40:00-03","NY","NYBG","565774","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","triflora","Terminalia triflora",NA,"I. Y. A. Ludewigs","48","1988","South America","Brazil","Mogi-Guaçu, Martinho Prado, Fazenda Campininha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565774","NY00565774_01",NA,NA,"09","19","São Paulo","Moji-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","565777","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","triflora","Terminalia triflora",NA,"T. J. Killeen","2696","1987","South America","Bolivia","Rancho Huayco 8 km N of road to Villamontes W of Entre Rios","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565777",NA,"(Griseb.) Lillo","M. H. Nee","09","04","Tarija","Burnet O'Connor","-64.25","-21.33","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 20:30:00-03","NY","NYBG","565775","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","triflora","Terminalia triflora",NA,"M. Kuhlmann","4234","1957","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=904053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565775","NY00565775_01",NA,"A. A. Alwan; C. A. Stace","10","18","São Paulo","Tatuí","-47.8497","-23.3503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-28 13:21:00-03","NY","NYBG","565703","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","triflora","Terminalia triflora",NA,"E. L. Little Jr.","40151","1984","South America","Paraguay","Itakyry, 75 km NO Stroesnner","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=51969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565703",NA,NA,"C. A. Stace","02","06","Alto Paraná",NA,"-55.12","-24.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00997903","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","triflora","Terminalia triflora",NA,"G. G. Hatschbach","25172","1970","South America","Brazil","Rio Vacaria.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997903","NY00997903_01","(Griseb.) Lillo","A. A. Alwan","10","24","Mato Grosso do Sul","Rio Brilhante","-54.5464","-21.8019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","565776","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","triflora","Terminalia triflora",NA,"G. G. Hatschbach","39279","1976","South America","Brazil","Joaquim Tavora, arredores","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565776","NY00565776_01","(Griseb.) Lillo","C. A. Stace","11","30","Paraná","Joaquim Távora","-49.9044","-23.4994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
