"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","class","scientificNameAuthorship","identifiedBy","dayIdentified","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber"
"1","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3905","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","brevipedunculata","Cattleya brevipedunculata","2016","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3817","S","Plantae","Magnoliophyta","Asparagales","Orchidadeceae","Cattleya","wittigiana","Cattleya wittigiana","2016","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3756","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sophronitis","brevipedunculata","Sophronitis brevipedunculata","2016","06","3","254","Equisetopsida","(Cogn.) Fowlie","Carlos Alberto Ferreira Júnior","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3775","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sophronitis","brevipedunculata","Sophronitis brevipedunculata","2016","06","1","254",NA,NA,"Carlos Alberto Ferreira Júnior","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","910909","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sophronitis","brevipedunculata","Sophronitis brevipedunculata",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989282' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"(Cogn.) Fowlie","G. F. J. Pabst",NA,"E. Waras","63218","1975","05","South America","Brazil","Minas Gerais","Pr. Antonio Pereira","sheet","NY00910909","NY00910909_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:29-03","ESALQ","ESA","120070","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Cattleya","wittigiana","Cattleya wittigiana",NA,NA,NA,NA,NA,NA,"Koehler, S.",NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Cultivo no orquidário do Intituto de Botânica SP.",NA,"ESA120070","ESA120070","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","auto",NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:19-03","MN","R","2986","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophronitis","brevipedunculata","Sophronitis brevipedunculata","1988","05",NA,NA,NA,"(Cogn.) Fowl.","Alves, R.J.V.","31","Ule, E.H.G.",NA,"1892","02",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:41:19-03","MN","R","36504","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophronitis","wittigiana","Sophronitis wittigiana","1988","05",NA,NA,NA,"Barb. Rodr.","Alves, R.J.V.","31","Rosa, M.",NA,"1943","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:18:43-03","UFV","VIC","023576","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cattleya","brevipedunculata","Cattleya brevipedunculata",NA,NA,NA,"Epífita á vezes rupícola, preferencialmente habita as canelas de ema Vellloziaceae,heliófila, em floração, sépalas e pétalas e labelo vermelhos que se tornam lilases no inicio da frutificação.",NA,"(Cogn) Van den Berg",NA,NA,"Nakajima, R.T.; Paula, C.C. de","6","1999","06",NA,"Brasil","Minas Gerais","PEI, Trilha Nova do Baú, em campo rupestre.",NA,"VIC023576",NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","02",NA,NA,NA,NA,NA
"10","2021-03-01 16:20:15-03","UNICAMP","UEC","138065","S","Plantae","Liliopsida",NA,"Orchidaceae","Hadrolaelia","brevipedunculata","Hadrolaelia brevipedunculata","2015","03",NA,"Epífita sobre Vellozia, flor vermelha, somente um indivíduo observado.",NA,"(Cogn.) Chiron & V.P.Castro","Vieira, TL","03","Meireles, LD; Verola, CF; Caiafa, AN; Martins, FM","1397","2003","04",NA,"Brazil","Minas Gerais","Serra do Ouro Branco",NA,"UEC091753","UEC091753","Ouro Branco","-43.720278","-20.499944",NA,NA,"20","-43.720278","-20.499944","1500","1500",NA
