"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","2862065","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","microstrigosa","Pouteria microstrigosa","T.D.Penn.","A. Alves-Araújo","W. W. Thomas","7410","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769528' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862065","NY02862065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","375361","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","microstrigosa","Pouteria microstrigosa","T.D.Penn.","A. Alves-Araújo","S. C. de Sant'Ana","362","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Divisa da Fazenda Maruim com Faz. Dois de Julho ca. 20 km d a BA-001 em direçao a Vila Brasil, entrada a 40 km S de Ilhéus","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375361","NY00375361_01","1993","09","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375360","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","microstrigosa","Pouteria microstrigosa","T.D.Penn.","A. Alves-Araújo","J. G. Jardim","116","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375360","NY00375360_01","1993","04","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","375498","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","microstrigosa","Pouteria microstrigosa","T.D.Penn.","T. D. Pennington","S. A. Mori","13974","South America","Brazil","Bahia","Una","Maruim border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 111-B","-39.1202492","-15.1148921","sheet","Voucher for ecological study of forest diversity <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375498","NY00375498_01","1981","05","12","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01805935","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","microstrigosa","Pouteria microstrigosa","T.D.Penn.","A. Alves-Araújo","P. Fiaschi","2050","South America","Brazil","Bahia","Uruçuca","Estrada de Serra Grande para Uruçuca. Area do inventário do plano de manejo","-39.115","-14.4997","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2125073' target='other'> <mi>dwc_moreinfo</mi></a>","NY01805935","NY01805935_01","2004","03","18","380","380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1198331","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","microstrigosa","Pouteria microstrigosa","T.D.Penn.","A. Alves-Araújo","A. Q. Lobão","752B","South America","Brazil","Bahia","Una","Ecoparque de Una. Rodovia BA-001 (Ilhéus-Una). Entorno da REBIO de Una","-39.0547","-15.1597","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107920' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198331","NY01198331_01","2005","07","26","80","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2862066","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","microstrigosa","Pouteria microstrigosa","T.D.Penn.","A. Alves-Araújo","W. W. Thomas","7326","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=730603' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862066","NY02862066_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:24:58-03","UFBA","ALCB","043796","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pouteria","microstrigosa","Pouteria microstrigosa","Penn.","Alves-Araújo, A","Guedes, ML; Cabral, L; Oliveira, H","6692","Southern America","Brasil","Bahia","Santa Cruz Cabrália","Extremo Sul, Projeto Cedro da Veracel Celulose","-39.016667","-16.266667",NA,"de ca. 8 m. de altura, latescente. Folhas caetáceas, discolores. Flores em botões.; Mata ombrófila densa em estádio médio de regeneração.",NA,NA,"1997","04","03",NA,NA,"2009","03","25","-39.016667","-16.266667",NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:24:58-03","UFBA","ALCB","06331","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pouteria","microstrigosa","Pouteria microstrigosa","Penn.","Alves-Araújo, A","Lordêlo, RP","56-551","Southern America","Brasil","Bahia","Cruz das Almas","Recôncavo Sul, Bosque do Instituto Bahiano de Fumo","-39.1","-12.666667",NA,NA,NA,NA,"1956","09","13",NA,NA,"2009","03",NA,"-39.1","-12.666667",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:24:58-03","UFBA","ALCB","90261","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pouteria","microstrigosa","Pouteria microstrigosa","Penn.",NA,"Queiroz, EP; Oliveira, PRC de","2708","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, bairro de São Marcos, Jardim Botânico de Salvador - JBSSA","-38.427222","-12.927222",NA,"ca 15 m. Folhas subcoriáceas, glabras. Frutos amarelos com a base verde.; Remanescente de Mata Atlântica.",NA,NA,"2008","03","13",NA,NA,NA,NA,NA,"-38.427222","-12.927222",NA,NA,NA,NA,NA,NA
