"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","recordNumber","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","typeStatus","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","previousCatalogNumber","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount","relatedCatalogItem"
"1","2017-05-17 10:20:00-03","NY","NYBG","02711713","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","fontinaloides","Huperzia fontinaloides","Ducke, A.","1919","12","07","South America","Brazil","Pará","Rio Tapajóz, estrada das cachoeiras inferiores abaixo do Pimental. Lugar Poção, capoeira na terra firme.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2998335' target='other'> <mi>dwc_moreinfo</mi></a>","NY02711713","NY02711713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788947","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","fontinaloides","Huperzia fontinaloides","R. Schmalz","1904","10",NA,"South America","Brazil","Santa Catarina","Queimados.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788947","NY00788947_01","(Spring) Trevis.","B. Øllgaard; P. G. Windisch","154.8`","274","274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788945","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","fontinaloides","Huperzia fontinaloides","A. C. Brade","1941","10","01","South America","Brazil","Minas Gerais","Serra do Caparão.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788945","NY00788945_01","(Spring) Trevis.",NA,"17093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 18:46:00-03","NY","NYBG","788948","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","fontinaloides","Huperzia fontinaloides","V. A. de O. Dittrich","2000","01","12","South America","Brazil","Paraná","Parque Estadual das Lauráceas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788948","NY00788948_01",NA,"V. A. de O. Dittrich","727","1150","1150","Adrianópolis","-49","-24.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","921321","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","fontinaloides","Huperzia fontinaloides","Mrs. Walter H. Webb",NA,NA,NA,"South America","Brazil",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00921321","NY00921321_01","(Spring) Trevis.",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1017041","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Lycopodium","fontinaloides","Lycopodium fontinaloides","A. F. M. Glaziou",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1197167' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017041","NY01017041_01 NY01017041_02","Spring",NA,"17455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","143982","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Lycopodium","fontinaloides","Lycopodium fontinaloides","F. Sellow",NA,NA,NA,"South America","Brazil",NA,"Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00143982","NY00143982_01","Spring",NA,"s.n.",NA,NA,NA,NA,NA,"type fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","143983","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Lycopodium","fontinaloides","Lycopodium fontinaloides","F. Sellow",NA,NA,NA,"South America","Brazil",NA,"Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637220' target='other'> <mi>dwc_moreinfo</mi></a>","NY00143983","NY00143983_01","Spring",NA,"s.n.",NA,NA,NA,NA,NA,"type fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","788946","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Lycopodium","fontinaloides","Lycopodium fontinaloides","A. C. Brade","1914","02",NA,"South America","Brazil","São Paulo","Campo Grande, Sa. do Mar.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788946","NY00788946_01","Spring",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 18:46:00-03","NY","NYBG","788949","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Urostachys","fontinaloides","Urostachys fontinaloides","A. Gehrt","1924","01","24","South America","Brazil","São Paulo","Parque Jabaquara.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788949","NY00788949_01",NA,"H. Nessel","6644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
